주요 업무,자격요건 및 우대사항
Who We AreSaaS Platform 팀은 SSPSupplySide Platform의 백엔드 시스템 개발과 운영을 담당합니다 SSP 서비스에 필요한 인증 광고 할당 광고 참여 리워드 적립 정산 등 다양한 플랫폼을 개발하고 있고 대형 매체사와 광고 플랫폼 연동을 위한 개발을 하고 있습니다 또한 MAU 1500만 규모의 대규모 트래픽 환경에서 시스템을 효율적으로 운영하기 위한 노력도 지속해서 기울입니다What Youll Do SDK와 통신하기 위한 API를 개발 및 운영합니다 카카오페이 카카오뱅크 등 대형 매체사에 연동된 서비스를 운영합니다 신규 대형 매체사와 버즈빌 광고 시스템 연동 개발을 지원합니다 인증 광고 할당참여 리워드 적립 정산 등 팀에서 운영하고 있는 플랫폼을 개선하고 관리합니다 MAU 1500만 규모의 대규모 트래픽 환경에서 안정적으로 서비스 운영이 가능하도록 운영 환경을 지속적으로 개선합니다, 하나 이상의 서버 프로그래밍 언어에 능숙합니다 테스트하기 좋은 코드를 작성합니다 문제 해결 후 재발 방지를 위한 해법을 고민합니다 REST gRPC 등의 통신 모델을 이해하고 사용성 높은 API 설계 및 개발이 가능합니다 대규모 트래픽의 라이브 서비스 운영 경험이 있습니다 미션 크리티컬 한 서비스 운영 환경에서 높은 책임감으로 안정적인 서비스를 같이 만들어 갑니다 Go 또는 Python 을 능숙하게 사용합니다 헥사고날 아키텍처와 같은 소프트웨어 아키텍처를 적용한 설계를 할 수 있습니다 MySQL DynamoDB Redis Elasticsearch를 높은 수준으로 다룰 수 있습니다 AWS  Kubernetes 등 cloud native 환경에 대해 이해하고 있습니다 Kafka를 활용한 시스템 설계를 할 수 있습니다
 VitalCare의 벡엔드 시스템 설계 및 개발 Python Golang을 이용한 서비스 구축 및 유지보수 MySQL MongoDB 와의 통합 및 데이터 처리 병원 내의 의료 데이터를 안전하게 처리하고 저장하기 위한 기술적인 솔루션 제공 성능 최적화 및 보안 이슈에 대한 지속적인 모니터링과 개선 테스트 코드 작성 및 유지보수 테스트 자동화를 통한 서비스와 코드 품질 보장, Python 또는 Golang을 활용한 백엔드 개발 경험이 5년 이상 또는 그에 준하는 경험 FastAPI 경험 또는 그에 준하는 프레임워크 경험 MySQL및 MongoDB 를 사용한 데이터베이스 설계 및 구현 경험  MongoDB는 중요도 낮음 테스트 코드 작성 경험 백엔드 아키텍처 설계 및 최적화에 대한 이해 ithub을 통한 CI 및 docker 이미지를 통한 CD 경험 또는 이해 의료 데이터 처리에 대한 경험 및 의료 환경에 대한 지식 우대 테스트 코드 작성 및 테스트 자동화에 익숙 Onpremise 환경 및 Cloud 환경에서의 작업 경험 AWS GCP Azure 등 팀 성장을 고민하시는 분
VAN 서버 관리VAN 다중화가상계좌 연동결제수단 관리 시스템, 관련 업무 최소 4년 이상대규모 시스템 업무 최소 6년 이상은행 VAN 시스템 업무 경험PG 시스템 업무 경험대규모 시스템 업무 경험Kafka 기반 MSA 업무 경험
백엔드 API 개발 및 아키텍쳐링 백엔드 API 개발 및 서비스 개편 DBPostgresql 설계 및 구축 Message streaming service environment 설계 및 구축  Redis  Kafka  MQ 서버 및 인프라 자동화 단계적 마이크로 서비스 전환 배포 및 운영 관리 , 백엔드 업무 경력 5년 이상 보유하신 분 RDB NoSQL 설계 및 활용 능력 NodeJS GraphQL 프레임워크 활용 능력 Web Socket Message Streaming Service우대사항 대규모 서비스 운영 경험 Optimization 역량 및 경험 Server Side Cache 활용 능력 RESTful API 설계 역량 Database Architecture 능력
 백엔드 아키텍처 설계 및 개선 MSA 기반의 서비스 개발 프론트엔드백엔드 API 서버 개발 운영 대용량 데이터를 실시간으로 처리하는 아키텍처 설계 구축 운영 문제 해결을 위해 새로운 기술 검토 도입 오토위니 개발 그룹을 소개합니다  오토위니가 운영 중인 플랫폼을 관리하는 개발그룹은 백엔드프론트엔드 개발자 총 16명으로 구성되어 있습니다 플랫폼오토위니 옥션위니 위니로지스 등에 따라 세부 조직이 구성되어 있습니다 협업 툴을 통한 효율적인 업무 관리를 선호합니다 Jira Confluence Figma 등 DevOps 문화를 정착하고자 합니다 코드 리뷰 세션을 통해 개발 지식 공유에 힘쓰고 같이 성장하고자 합니다 원한다면 서버 DB 네트워크 등 업무 전환도 가능합니다 플랫폼을 만드는 모든 구성원과의 소통과 협업이 원활합니다 전체 , Java Spring Framework 기반 실무 개발 경력 5년 이상 주도적으로 백엔드 아키텍쳐를 설계해본 경험이 있으신 분 AWS 등 클라우드 환경에서 서비스 개발운영 경험이 있으신 분 유저가 겪는 문제점을 찾고 기술로 해결하는데 관심 있으신 분 Jira Confluence 등 협업툴 사용에 익숙하신 분 아키텍처 변경에 따른 마이그레이션 경험이 있으신 분 꾸준한 학습과 내가 아는 것을 공유하는 것을 좋아하시는 분
1 이미지 인식 AI 기술 기반 APISaaS 서비스를 개발합니다     대량의 실시간 Inference 작업을 안정적으로 처리하기 위한 분산처리 시스템 개발 및 운영     고객이 편하게 사용할 수 있는 웹서비스의 백엔드를 개발     부하 상황에 따라 고성능 서버에서 동작하는 Workload를 Auto Scaling 할 수 있는 컨테이너 기반       인프라 구축2 생성형 언어모델 LLM 기반의 대화형 서비스를 개발합니다     언어모델의 프롬포트를 동적으로 관리하고 안정적으로 Inference 하기 위한 Serving 시스템       개발 및 운영     대량의 실시간 Inference 작업을 안정적으로 처리하기 위한 분산처리 시스템 개발 및 운영     여러 사용자가 안정적으로 편하게 사용할 수 있는 서비스의 백엔드 개발, 7년 이상의 실무 웹 서비스 개발 python  java  C 및 운영 경험이 있으신 분  실제 서비스의 기획 개발 배포 운영의 모든 과정을 경험해보신 분 RDB에 대한 설계 및 운영 경험이 있으신 분 Data Lake DW 관련 설계 및 운영 경험이 있으신분 Container Docker Kubernetes 기반 서비스의 개발 및 배포 경험이 있으신 분 다양한 배경을 가진 팀원들과 협업을 위한 원활한 커뮤니케이션이 가능하신 분 AWSGCP 클라우드 환경에서 서비스 설계 및 구현 경험이 있으신 분 Python 기반의 상용 서비스 개발 경험이 있으신 분 데이터 기반의 서비스에 대한 개발 및 상용화 경험이 있으신 분 RESTful Interface 기반 서비스 개발 경험이 있으신분 AI 기술이 실생활의 문제를 해결하는 제품으로 만들어지기까지의 과정에 기여하고자 하는 분 백엔드 엔지니어로서 빠르게 성장하고자 하는 분
   클라우드 네이티브 서비스 개발   클라우드 네이티브 환경으로 마이그레이션 수행   MSA 프레임워크 관련 개발   클라우드 서비스 개발   백엔드Java 및 프론트엔드Vuejs 개발,   백엔드프론트 개발 경력 1년 이상 또는 그에 준하는 역량을 갖추신 분 전공무관   유연한 커뮤니케이션 능력을 보유하신 분   형상관리 툴을 활용한 소스 관리 경험이 있으신 분   Java SpringFramework Javascript 활용 가능하신 분   JAVA Spring Boot 기반의 Restful 서비스 개발 경험이 있으신 분   JPAHibernate를 통한 개발 경험이 있으신 분   Vuejs 활용 가능하신 분    책임감이 투철하고 배우려는 열정을 보유하신 분   오픈소스 활용에 능숙하신 분    가상화 관련 지식을 갖추신 분   OpenStack VMware Kubernetes 등 클라우드 환경을 사용하거나 활용이 가능하신 분   Kubernetes를 활용한 Container 기반의 서비스 CICD 경험이 있으신 분   신기술에 대한 검색 능력과 두려움이 없으신 분
 Private 및 Public PaaS 기반의 통합 클러스터 관리 서비스 개발 및 프로젝트 수행 Private 및 Public PaaS 환경 연동을 위한 API Agent 프론트엔드 백엔드 개발 클러스터 배포 및 운영 서비스 카탈로그 모니터링 등 클러스터 관점의 개발 운영, 풀스택Fullstack 개발 경험이 있으신 분   Nodejs Javascript Typescript를 이용한 웹서비스 개발 경험이 있으신 분   웹서비스의 일반적인 아키텍쳐에 대한 이해 및 RESTful API 설계 역량을 보유하신 분   PaaS에 대한 이해와 이를 활용한 개발 경험이 있으신 분   관련 경력 3년 이상 경력을 보유하신 분 Kubernetes를 활용한 서비스 개발운영 경험을 보유하신 분   Prometheus Thanos Tekton ArgoCD GitOps Helm 등 클라우드 관련 기술을 활용하여 개발운영 경험 보유하신 분   OpenStack 가상화 환경에 대한 이해 및 OpenStack API를 활용하여 개발운영 경험 보유하신 분   대규모 웹 서비스 환경에서 이슈 분석 문제 해결 성능 최적화 경험을 보유하신 분   CICD를 통한 테스트 및 자동화 경험을 보유하신 분   PaaS 서비스 개발 경험을 보유하신 분
   클라우드 네이티브 관련 사업 수행   MSA 기반 분석설계개발, 백엔드프론트 개발 경력 1년 이상 또는 그에 준하는 역량을 갖추신 분   유연한 커뮤니케이션 능력을 보유하신 분   형상관리 툴을 활용한 소스 관리 경험이 있으신 분   Java SpringFramework Javascript 활용 가능하신 분   JAVA Spring Boot 기반의 Restful 서비스 개발 경험이 있으신 분 MSA에 대한 기본 이해 및 개발 경험이 있으신 분   Spring Cloud Batch 등 다양한 Spring 모듈 사용 경험이 있으신 분   빌드테스트배포 자동화 경험이 있으신 분   Kubernetes에 대한 이해가 있으신 분
 물리 Infra에 대한 제어 및 모니터링 서비스 개발 및 이를 기반한 가상 자원 융합 서비스 개발  CiSCO Network Overlay 장비ACIND 제어 및 모니터링 서비스 개발  DMTF Redfish 등의 개방형 관리 표준에 기반하여 클라우드 가상화 네트워크 서버 스토리지 등 기존 및 다양한 신흥 IT 인프라스트럭처에 대한 융합 서비스 개발  SNIA Swordfish 등의 표준에 기반한 기존 및 신흥 IT 생태계의 데이터 관리 서비스 개발    SNMP  LLDP  ART  RARP 등에 기반한 망내 물리 및 가상 장비 검색제어모니터링 서비스 개발  BackEnd 개발 및 유지 보수와 이에 기반한 서비스 설계,  Golang 개발 경력 1년 이상 경험이 있으신 분  Java Spring Framework 기반 개발 경력 1년 이상 경험이 있으신 분  클라우드 기반 솔루션 개발 경험이 있으신 분   RDB 또는 NoSQL 기반 개발 경험이 있으신 분  SNMP 프로토콜 기반 개발 경험이 있으신 분   물리가상 네트워크에 대한 이해와 기본 지식을 보유하신 분   RedFish SwordFish에 대한 이해와 기본 지식을 보유하신 분  
