회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)버디네트웍스,정규직,"['디자인', '시각디자인', '포토샵', '광고', '그래픽디자인', '일러스트', '광고디자인']","NO.1 미디어커머스 기업 '버디네트웍스' 
'버디네트웍스' 는 뷰티, 패션, 생활용품 등의 다양한 브랜드를 개발하고 성공적으로 안착시킨 경험을 보유한 전문가 기업입니다.

대표적인 브랜드로는
듀이셀, 베리맘, 밀도랩, 그램핏, 젠휴, 퓨썸, 리프밀, 닥터그램, 마이미업 등이 있으며
국내 및 해외의 소비자 최 접전 도달이 가능한 유통망에 입점하였습니다.
이로 인하여 TOP3(롯데, 신라, 신세계) 면세점 판매율 1위, 올리브영 판매율 1위의 기록 등을 보유!
2016년 설립이후 매년 괄목할 만한 성장세를 유지하여  2022년 2,200억 내외 (예상)의 매출을 달성하고 있습니다.

광고, 리테일, 마케팅의 경계가 사라지고 있는 시장에서 
'버디네트웍스'는 한걸음 나아가 브랜드 / 대행사 / 유통사의 역할을 내재화 하였으며
제품 기획, 개발, 디자인, 촬영, 브랜딩, 마케팅, 플랫폼 등의 전문인력의
최고의 기획력과 분석력을 통해 커머스시장의 미래를 개척해 나아갑니다.

""WE MAKE BRAND""
우리가 믿는것, 이루고 싶은것, 함께 만들어 가는 것 그런 즐거움을 함께 할 열정 가득한 구성원을 찾습니다.", 모먼트 GFA 등 퍼포먼스 DA 광고 기획 및 제작 리포트 작성 및 효율분석 모델촬영 및 이미지 수정 기타 마케팅 기획 및 운영,서류전형 → 1차면접 → 2차면접 → 최종선발,"• 근무시간 오전9시-오후5시30분 (근무시간 7시간30분)
• 개인 및 연간 성과에 따른 인센티브
• 연 1회 1년 근속 달성 시 50만원 복지카드 지급 (3월 기준 지급)
• 명절 연간토탈 50만원 상당의 백화점상품권 지급(연차/직급 별 차등지급)
• 년간 100만원 내 자사제품 직원할인
• 연 2회 자사몰 구매포인트 지급
• 장기 근로자 전세금 무이자 대출
• 3/6년 근속자 리프레시 휴가
• 각종 경조사 10-50만원 지급","서울 강남구 도산대로15길 18, 3층", 전문대학교 이상 졸업자 또는 졸업예정자 군필자 또는 군면제자 디자인 계열 전공자 Adobe 활용 가능자 photoshop Illustrator,904
(주)그리드위즈,정규직,"['MSSQL', 'c', 'C++', 'Oracle', 'python', 'Linux', 'ruby', 'MYSQL', 'unix', 'ESS']","• 그리드위즈는 'Heal the Earth, 누구나 깨끗한 에너지를 누리는 세상'을 위해 일하고 있습니다.
• 우리는 모든 에너지 데이터를 모으고, 연결하여 지속 가능하며 효율적이고, 안전한 Clean Energy Service 를 제공하고 있습니다.
• 지구를 위해, 지구에 사는 우리를 위해, 그리고 우리의 다음 세대를 위해 그리드위즈가 만들어가고 있는 에너지 미래에 당신과 함께하고 싶습니다", ESSEnergy Storage System의 주요 Software 개발 배터리 전력변환장치 제어 및 주변 기타 장치 모니터링 실시간 전력 데이터 수집 및 분석,,"[집중하는 그루]
• 자유로운 근무시간 : 정해진 출근시간을 맞추기 위해 쓰는 에너지를 아껴, 일에 더 집중할 수 있도록 8시에서 11시까지 유연하게 출근합니다. 출근 시간에 따라 8시간 근무 후 퇴근할 수 있도록 자유로운 출퇴근 제도를 운영하고 있습니다.
• 직위 없는 업무 문화 : 직무 중심의 평가와 보상 체계를 기반으로, 수평적인 직무 중심의 문화를
지향합니다. 직위는 없지만 대표, 본부장, 리더와 같은 직책을 맡은 그루가 있고, 직책은 의사 결정과 책임의 범위를 위해 사용합니다.
• 닉네임과 존댓말 사용 : 모든 구성원이 서로 존중할 수 있도록 어떠한 경우에도 예외없이 닉네임과 함께 존댓말을 사용합니다. 다양한 의견을 제안하고 어려움 없이 피드백을 받을 수 있도록 닉네임을 사용할 때에는 '님'자를 붙이지 않습니다.
• 식대 지원 : 맛있는 식사로 더 힘내서 일할 수 있도록 1인 12,000원의 중식 식대를 지원합니다. 불가피한 야근의 경우에도 동일하게 지원합니다.
 
[소중한 그루]
• 기념일 축하 선물 : 그루의 생일을 축하하기 위해 케이크와 축하금을, 그루의 결혼 기념일, 배우자의 생일에도 축하금을 지급합니다.
• 건강검진 : 그루의 건강을 위해 매년 1회, 그루와 가족 1명의 종합건강검진 비용을 지원하며 검진을 위한 휴가를 제공합니다.
• 명절 선물 : 그루의 풍성한 명절을 위해 설과 추석에 상품권과 선물을 지급합니다.
• 결혼과 출산 선물 : 새로운 가족의 탄생을 축하하기 위해 결혼 및 출산 시 축하금 100만원을 지급합니다.
• 경조사 지원 : 그루의 경조사 발생 시 축하와 조의의 마음을 전할 수 있도록 경조사비와 화환을 지원하며,주말에 경조휴가가 발생할 경우 주말을 제외하고 평일에 유급휴가를 지원합니다.
• 입사기념일 축하 선물 : 그루로 태어난 날을 기념하고 리프레쉬할 수 있도록 연차에 따른 선물과 축하금을 지급합니다.
 
[자라는 그루]
• 그루 도서관 : 더 다양한 시각과 자유로운 성장을 위해 그루가 원하는 도서라면 종류에 상관 없이 구매하여 자유롭게 읽을 수 있도록 지원합니다.
• 전기차 체험 : 휴일에는 운행하지 않는 그리드위즈의 전기차를 그루들이 자유롭게 사용하고 전기차와 친해지고 충전도 경험할 수 있도록 전기차 체험을 운영합니다.
• 특허 인센티브 : 업무와 관련된 아이디어의 특허출원을 지원하고 발명자로 참여하면 특허 인센티브를 지급합니다.
 
[함께하는 그루]
• 사내동호회 : 그루들이 좋아하는 다양한 취미를 함께 공유하고 즐기며 친해질 수 있도록 사내 동호회를 운영하고 있습니다.
• 인재추천 인센티브 : 채용 공고에 적임자를 알고 있다면 추천하고, 추천한 인재가 최종 합격했을 경우 인센티브를 지급합니다.
• 조직활성화비 : 함께 일하는 그루들과 서로를 더 이해하는 시간을 보낼 수 있도록 팀별 조직활성화비를 지원합니다. 조직활성화비로는 맛있는 식사, 원데이 클래스, 생일파티 등 그루들이 더 의미있는 시간을 보내는 일이라면 무엇이든지 팀 안에서 자유롭게 사용합니다.","경기 성남시 분당구 산운로208번길 25, 4층", 정보통신컴퓨터소프트웨어 등 관련 분야 학사 이상 프로그래밍 관련 경력 2년 이상  CC 프로그래밍 언어의 숙련된 활용 능력 네트워크 프로그래밍 숙련자 데이터베이스MySQL ORACLE MSSQL 등 연동 개발 경험 전력 계통 관련 개발 경험 Python Ruby 등 인터프리터 언어 숙련자 Linux UNIX 시스템 활용 능력 보유자 외국어영어 능력,3105
(주)에이아이트릭스,정규직,"['python', 'EMR', 'Linux', '유지보수', 'JIRA', 'git', '소프트웨어개발', '소프트웨어테스트', '배포', '커뮤니케이션 능력']","""AI Right Next to you”
AITRICS는 인공지능의 경계를 허물어 인류를 위한 기술로 당신과 함께하겠습니다.

AITRICS는 인공지능 원천기술을 연구/개발하고 이를 실산업영역에 접목하여 해당 분야의 혁신을 지향하는 팀입니다.

인공지능은 사람들의 삶의 양상을 근본적으로 바꿀 수 있는 파급효과가 큰 연구 분야이며 산업적으로도 아직 Early Stage로 기회가 큰 분야입니다.

AITRICS는 의료인공지능, 디지털 휴먼 등 다양한 분야에 인공지능을 활용하고 있습니다.


[ Medical AI Division ]

Medical AI는 환자의 의료 여정에서 환자와 의료진 모두에게 의미 있는 임상적 가치를 제공하는 팀입니다.
VitalCare는 AITRCIS의 기술이 적용된 첫 제품으로 환자의 의료데이터를 분석하여 병원 내 급성 중증 이벤트를 예측하는 인공지능 의료기기 소프트웨어입니다. 

조기 진단은 환자에게는 치료의 시기를 앞당기고 사망률 감소 및 예후를 향상시킬 수 있게 하고, 동시에 병원의 리소스 효율화를 가능하게 합니다.

AITRICS는 단순히 연구 주제로서의 인공지능이 아닌 의료 산업 전문 영역에서의 활용이 가능하고 이를 통해 실질적인 솔루션을 제공하는 것을 추구합니다.

아직 풀리지 않은 우리의 삶을 변화시킬 문제를 해결해 나가기 위해 함께할 팀원을 찾습니다.", 외부 커뮤니케이션 데이터 연동 Interface 협의 EMR 시스템과 제품 간 데이터 연동 소프트웨어 개발 제품 및 연동 소프트웨어 배포 유지보수 및 트러블 슈팅,,"1. Work
자율 출근제
자율 휴가제(장기 휴가 사용 가능)
대체 휴가제(주말 근무 시 연차와 별도로 제공)
고급 장비 지원
완전 자율 복장
뛰어난 동료들과 함께 일할 수 있는 환경

2. Life
중식 비용(1만원까지) 지원
야근 시 석식 비용 지원
간식(토스트, 과자, 우유 등) 무제한 제공
고급 원두와 커피머신 제공
경조 휴가와 화환 지원
출산전후휴가, 육아휴직, 임신기/육아기 단축근무제도 운영

3. Growth & Refresh
AITRICS 구성원 전용 업무/휴식 공간과 카페테리아
장기근속 휴가 제도(3/5/7/10년 근속 시 유급 휴가 각각 5/10/15/20일 추가 제공)
세미나/컨퍼런스 참가비 지원
사내 도서(역사, 인문, 자기계발, 자연과학, 경제/경영, IT 등) 구입 지원

","서울특별시 강남구 테헤란로218, AP Tower 13층", LinuxUbuntu 시스템 구축 관리가 가능하신 분 docker compose를 통해 서비스 배포 관리가 가능하신 분 python 개발 및 테스트 코드 작성이 가능하신 분 Relational Database에 대한 이해가 있으신 분 협업 도구git jira 사용 경험이 있으신 분 병원 EMR 시스템에 대한 이해가 있으신 분 의료 도메인에 대한 관심이 있으신 분 개발 및 다른 직군과의 협업 고객과의 커뮤니케이션이 능숙하신 분 꼼꼼하게 업무를 진행하시는 분 golang 개발 및 테스트 코드 작성이 가능하신 분,3106
(주)에이아이트릭스,정규직,"['python', '유지보수', 'MYSQL', '프레임워크', '시스템설계', 'MongoDB', '백엔드 개발', '데이터베이스 설계', 'Golang', 'FastAPI']","""AI Right Next to you”
AITRICS는 인공지능의 경계를 허물어 인류를 위한 기술로 당신과 함께하겠습니다.

AITRICS는 인공지능 원천기술을 연구/개발하고 이를 실산업영역에 접목하여 해당 분야의 혁신을 지향하는 팀입니다.

인공지능은 사람들의 삶의 양상을 근본적으로 바꿀 수 있는 파급효과가 큰 연구 분야이며 산업적으로도 아직 Early Stage로 기회가 큰 분야입니다.

AITRICS는 의료인공지능, 디지털 휴먼 등 다양한 분야에 인공지능을 활용하고 있습니다.


[ Medical AI Division ]

Medical AI는 환자의 의료 여정에서 환자와 의료진 모두에게 의미 있는 임상적 가치를 제공하는 팀입니다.
VitalCare는 AITRCIS의 기술이 적용된 첫 제품으로 환자의 의료데이터를 분석하여 병원 내 급성 중증 이벤트를 예측하는 인공지능 의료기기 소프트웨어입니다. 

조기 진단은 환자에게는 치료의 시기를 앞당기고 사망률 감소 및 예후를 향상시킬 수 있게 하고, 동시에 병원의 리소스 효율화를 가능하게 합니다.

AITRICS는 단순히 연구 주제로서의 인공지능이 아닌 의료 산업 전문 영역에서의 활용이 가능하고 이를 통해 실질적인 솔루션을 제공하는 것을 추구합니다.

아직 풀리지 않은 우리의 삶을 변화시킬 문제를 해결해 나가기 위해 함께할 팀원을 찾습니다.", VitalCare의 벡엔드 시스템 설계 및 개발 Python Golang을 이용한 서비스 구축 및 유지보수 MySQL MongoDB 와의 통합 및 데이터 처리 병원 내의 의료 데이터를 안전하게 처리하고 저장하기 위한 기술적인 솔루션 제공 성능 최적화 및 보안 이슈에 대한 지속적인 모니터링과 개선 테스트 코드 작성 및 유지보수 테스트 자동화를 통한 서비스와 코드 품질 보장,,"1. Work
자율 출근제
자율 휴가제(장기 휴가 사용 가능)
대체 휴가제(주말 근무 시 연차와 별도로 제공)
고급 장비 지원
완전 자율 복장
뛰어난 동료들과 함께 일할 수 있는 환경

2. Life
중식 비용(1만원까지) 지원
야근 시 석식 비용 지원
간식(토스트, 과자, 우유 등) 무제한 제공
고급 원두와 커피머신 제공
경조 휴가와 화환 지원
출산전후휴가, 육아휴직, 임신기/육아기 단축근무제도 운영

3. Growth & Refresh
AITRICS 구성원 전용 업무/휴식 공간과 카페테리아
장기근속 휴가 제도(3/5/7/10년 근속 시 유급 휴가 각각 5/10/15/20일 추가 제공)
세미나/컨퍼런스 참가비 지원
사내 도서(역사, 인문, 자기계발, 자연과학, 경제/경영, IT 등) 구입 지원","서울특별시 강남구 테헤란로218, AP Tower 13층", Python 또는 Golang을 활용한 백엔드 개발 경험이 5년 이상 또는 그에 준하는 경험 FastAPI 경험 또는 그에 준하는 프레임워크 경험 MySQL및 MongoDB 를 사용한 데이터베이스 설계 및 구현 경험  MongoDB는 중요도 낮음 테스트 코드 작성 경험 백엔드 아키텍처 설계 및 최적화에 대한 이해 ithub을 통한 CI 및 docker 이미지를 통한 CD 경험 또는 이해 의료 데이터 처리에 대한 경험 및 의료 환경에 대한 지식 우대 테스트 코드 작성 및 테스트 자동화에 익숙 Onpremise 환경 및 Cloud 환경에서의 작업 경험 AWS GCP Azure 등 팀 성장을 고민하시는 분,3107
(주)에이아이트릭스,정규직,"['react', '시스템개발', '프론트엔드 개발', 'typescript', '소프트웨어테스트', '아키텍처', 'webpack', 'Next.js', 'Recoil', 'react-query']","""AI Right Next to you”
AITRICS는 인공지능의 경계를 허물어 인류를 위한 기술로 당신과 함께하겠습니다.

AITRICS는 인공지능 원천기술을 연구/개발하고 이를 실산업영역에 접목하여 해당 분야의 혁신을 지향하는 팀입니다.

인공지능은 사람들의 삶의 양상을 근본적으로 바꿀 수 있는 파급효과가 큰 연구 분야이며 산업적으로도 아직 Early Stage로 기회가 큰 분야입니다.

AITRICS는 의료인공지능, 디지털 휴먼 등 다양한 분야에 인공지능을 활용하고 있습니다.


[ Medical AI Division ]

Medical AI는 환자의 의료 여정에서 환자와 의료진 모두에게 의미 있는 임상적 가치를 제공하는 팀입니다.
VitalCare는 AITRCIS의 기술이 적용된 첫 제품으로 환자의 의료데이터를 분석하여 병원 내 급성 중증 이벤트를 예측하는 인공지능 의료기기 소프트웨어입니다. 

조기 진단은 환자에게는 치료의 시기를 앞당기고 사망률 감소 및 예후를 향상시킬 수 있게 하고, 동시에 병원의 리소스 효율화를 가능하게 합니다.

AITRICS는 단순히 연구 주제로서의 인공지능이 아닌 의료 산업 전문 영역에서의 활용이 가능하고 이를 통해 실질적인 솔루션을 제공하는 것을 추구합니다.

아직 풀리지 않은 우리의 삶을 변화시킬 문제를 해결해 나가기 위해 함께할 팀원을 찾습니다.", 웹 기반 의료 인공지능 서비스 프론트엔드 개발 및 운영 AITRICS 정산 시스템 개발 및 운영 AITRICS 홈페이지어드민 개발 및 운영,,"1. Work
자율 출근제
자율 휴가제(장기 휴가 사용 가능)
대체 휴가제(주말 근무 시 연차와 별도로 제공)
고급 장비 지원
완전 자율 복장
뛰어난 동료들과 함께 일할 수 있는 환경

2. Life
중식 비용(1만원까지) 지원
야근 시 석식 비용 지원
간식(토스트, 과자, 우유 등) 무제한 제공
고급 원두와 커피머신 제공
경조 휴가와 화환 지원
출산전후휴가, 육아휴직, 임신기/육아기 단축근무제도 운영

3. Growth & Refresh
AITRICS 구성원 전용 업무/휴식 공간과 카페테리아
장기근속 휴가 제도(3/5/7/10년 근속 시 유급 휴가 각각 5/10/15/20일 추가 제공)
세미나/컨퍼런스 참가비 지원
사내 도서(역사, 인문, 자기계발, 자연과학, 경제/경영, IT 등) 구입 지원","서울특별시 강남구 테헤란로218, AP Tower 13층", TypeScript Reactjs Nextjs ReactQuery Recoil Zustand Webpack Yarn 동일 기술 스택 사용 경험 B2B 기반 솔루션 개발 경력 보유자  Configurable UIUX 개발 경험 보유자,3108
(주)지바이크,정규직,"['프로젝트관리', '전기', '전자', '유지보수', '기계', '펌웨어 개발', '기술지원', '프로젝트 기획', '메카트로닉스', '외국어능력']","대한민국 No.1
지바이크는 100개 도시에서 전동킥보드 공유서비스 ‘지쿠터’를 운영하는 
아시아 No.1 모빌리티 스타트업입니다. 최근 동 분야 최대규모로 Series-B 투자를 마무리했습니다.

성장 No.1
지바이크는 매년 약 4배씩 성장중이며 서비스 지역 1위, 매출 1위, MAU 1위, 성장속도 1위 등 수치적 성과 뿐만 아니라, 플랫폼 서비스 최초 도입, 기기 국산화 최초 성공, 운영의 100% 내재화 등 다양한 혁신을 통해 시장을 선도하고 있습니다.

혁신 No.1
지바이크는 생활 밀착형 플랫폼을 지향합니다. 탑승과 기기 관리에 최적화된 서비스를 만들어 온 지바이크는 이제 고객들이 찾는 역세권(G세권)을 만들고, 사람과 장소를 연결하는 온라인-오프라인 연계 플랫폼 구축을 목표로 하고 있습니다.

빠르게 변화하는 공유 모빌리티 시장에서 지쿠터의 더 큰 도약을 위한 여정을 함께 할 동료를 찾습니다.",중국 제조사와 Technical Contact Local Technical Support 퍼스널 모빌리티 신규 프로젝트 테스트퍼스널 모빌리티 하드웨어 문제해결을 위한 기술지원유지보수 프로젝트 계획 및 관리펌웨어 개발 및 유지보수,"• 영어이름으로 실현하는 수평적 조직문화!
  지쿠터엔 직위 직급 없이 영문 닉네임으로 존칭합니다.

• 화려한 장비가 나를 감싸고!
  맥북 프로 및 와이드 모니터 등 직무에 필요한 개인장비를 제공해요.

• 자유로운 환경에서 샘솟는 업무열정!
  딱딱한 복장은 No! 딱딱한 근무시간도 No!
  자유로운 복장과 시간 선택제 근무, 재택근무 제도가 편안한 업무환경을 보장합니다.

•  열심히 일한 그대, 리프레쉬는 자유!
  연차, 반차, 반반차까지 자유롭게 사용할 수 있습니다.

• 이왕 쉬는 거 좋은 곳에서 쉬겠습니다!
  편안한 휴식을 위해 법인 콘도 회원권을 통해 휴양시설을 지원합니다.
  전국 주요 호텔 및 리조트와 제휴를 통해 저렴하게 이용할 수 있도록 지원합니다.

• 그대는 일에 집중! 배고픔은 우리가 챙겨드릴게요!
  식대 제공과 더불어, 다양한 간식과 음료가 가득한 스낵바가 있습니다.

• 지쿠터와 바람만 있으면 어디든 갈 수 있어
  지바이크 직원이라면 무료로 지쿠터를 이용할 수 있습니다.
  더워지는 여름, 출퇴근길 땀냄새와 함께 가지말고 지쿠터로 슝!

• 일만 해선 우리사이 친해질 수 없잖아요!
  업무 외에도 동료 간 단합과 리프레쉬를 위해, 조기퇴근과 함께하는 사내 동호회 활동을 지원합니다.

• 기쁨도 슬픔도 우리 함께해요.
  설/추석 명절, 생일, 결혼기념일 등에 경조금, 경조휴가 지급됩니다. 

• 근로기준법은 당연히 지키기로 약속!
  4대보험, 퇴직연금, 연차 제공, 휴게시간 제공 등 권리를 누리세요.

• 나도 지쿠터 사업자!
  내 직장이 곧 황금알을 낳는 거위, 지쿠터에 투자해 수익을 공유할 기회가 있어요.",,서울,학력  대졸이상 메카트로닉스 전기 전자 기계 관련학과 졸업자경력  관련경력 2년 이상운전면허를 소지한 분근무지화성시 동탄 영천동 출퇴근이 가능한 분외국어 능통자중국 혹은 미국 업체와 메일 소통 가능한 분서비스 엔지니어 혹은 기술지원 관련 업무 경력자,3109
(주)우원기술,정규직,"['소프트웨어개발', '알고리즘 개발', '연구 개발 R&D', '컴퓨터공학']",,기업부설 연구소 소프트웨어 개발 업무,"서류전형-면접전형- 최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
급여제도 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 가족수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 생일선물/파티
교육/생활 워크샵, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 카페테리아, 전용 사옥, 장애인 전용주차장, 유니폼지급, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 자유로운 연차사용
출퇴근 기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가


복지
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,학력  대졸 이상 23년경력  무관 신입도 지원 가능컴퓨터시스템공학,3110
(주)우원기술,정규직,"['소프트웨어개발', '전장설계', '알고리즘 개발', '연구 개발 R&D', '컴퓨터공학']",,기업부설 연구소 전장설계 업무,"서류전형- 면접전형-최종합격

입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
급여제도 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 가족수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 생일선물/파티
교육/생활 워크샵, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 카페테리아, 전용 사옥, 장애인 전용주차장, 유니폼지급, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 자유로운 연차사용
출퇴근 기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가


복지
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,학력  대졸 이상 23년경력  경력 년수무관컴퓨터시스템공학,3111
(주)우원기술,정규직,"['소프트웨어개발', '알고리즘 개발', '연구 개발 R&D', '컴퓨터공학', '연구 plc 설계']",,기업부설 연구소 PLC프로그램 업무,"서류전형-면접전형- 최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
급여제도 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 가족수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 생일선물/파티
교육/생활 워크샵, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 카페테리아, 전용 사옥, 장애인 전용주차장, 유니폼지급, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 자유로운 연차사용
출퇴근 기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가


복지
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,학력  대졸 이상 23년경력  무관 신입도 지원 가능컴퓨터시스템공학,3112
(주)비밀리,정규직,"['Javascript', 'HTML', 'CSS', '유지보수', '웹개발', '반응형웹', '프론트엔드 개발', 'typescript', 'React.js', 'restful api']","[가족과 친구들을 위한 메신저 '패밀리타운']

기존 '비패밀리' 메신저가 '패밀리타운'으로 다시 태어납니다!
'패밀리타운'에서 가족이나 친구들과 함께 메신저 가족을 이루어 보세요. 
건강부터 여행, 숙박, 음악을 비롯한 다양한 콘텐츠와 이미지로 소통가능한 메신저를 통해 가족 및 친구들과 즐겁게 이야기를 나누어보세요. 
앨범과 SNS, 다양한 문화서비스가 결합된 '패밀리타운'은 친구들과의 소통부터 가족들과의 소통까지 누구나 쉽게 사용할 수 있는 커뮤니티를 제공합니다. 
 
메신저를 비롯하여 SNS와 음악 커뮤니티 플랫폼 서비스를 준비중인 비밀리는 각 분야의 실력있는 실무자들과 함께 하기 위해 기다리고 있습니다.", 자사 웹 어플리케이션 Frontend 개발 유지관리 서비스 Backoffice 개발 Pc버전 Web 개발자,,"• 호텔식 가족식당 운영, 중식 무료 제공
• 여유 있는 점심시간 1시간 반 제공 (11:30~13:00)
• 사내 라운지 간식 및 커피 무제한 제공 (로봇커피)
• 야근 교통비 및 저녁식사 지원
• 반차(4시간), 반반차(2시간) 제도 시행하여 효율적인 휴가 사용 가능 
• 코로나19 백신 휴가 제공
• 전직원 명절 성과급 지급
• 경조사 휴가 및 경조사비 지원, 장기근속자 지원
• 직무관련 교육비 및 도서 구입비 지원
• 중소기업 소득세 감면 적용 가능
• 계열사 임직원 복지몰 운영
• 그 외 수시로 제공하는 선물들이 많아요","경기 성남시 분당구 황새울로335번길 10, 2층", Reactjs 개발 4년이상 경력이 있으신 분 typescript에 대한 이해가 있으신 분 RESTful API 클라이언트 개발 경험이 있으신 분 HTML CSS Javascript 에 대한 충분한 이해가 있으신 분 크로스 브라우징과 반응형 웹에 대한 이해가 있으신 분 vuejs 가능하신 분 웹 퍼블리싱이 가능하신 분 다양한 웹개발 프레임워크 경험하신 분 코드분석에 능숙하신 분 새로운 기술에 관심이 많고 도전적이신 분 Figma를 통해 디자이너기획자와의 원활한 협업이 가능하신 분 타 팀과의 협업에 적극적이고 능동적이신 분 git jira slack 등을 통한 협업에 익숙하신 분,3113
