주요 업무,자격요건 및 우대사항
 디지털광고 상품DSP 등 전략 수립 및 기획 고객행동 데이터 분석 및 분석서비스 개발 자사 솔루션과 서비스의 Value를 고객에게 전파, 데이터 기반 솔루션 전략 수립 및 기획 5년 이상 경력이 있는 분 서비스 기획 또는 POPM 경력 5년 이상 혹은 이에 준하는 실력을 갖춘 분 원활한 커뮤니케이션 능력을 보유한 분 담당 업무를 명시한 포트폴리오를 제출한 분 산업공학 통계학 데이터 관련 학위 또는 이에 준하는 지식을 보유한 분 DataDriven 사고를 바탕으로 문제를 파악하고 해결하는 역량을 갖춘 분 RTB 광고 도메인AD Network에 대한 이해 또는 경험이 있는 분 마케팅 지표에 대한 이해도가 있는 분 AWS GAGTM 컨설팅 및 운영 경험이 있는 분
성장 포인트에 대해 알려드려요하나 기획자로서 거래소라는 복잡한 Application을 가장 빠르게 변하는 산업에서 대응하는 스킬을 향상시켜 추후 어떤 프로덕트를 기획하더라도 느리게 움직이는 효과를 체감할 수 있습니다둘 거래소는 글로벌 금융경제와 밀접하게 관련 있는 서비스이기 때문에 금융지식이 포괄적으로 상승합니다셋 Web3 생태계에서 기획자의 경험을 쌓을 수 있습니다 Web3가 미개척 산업인만큼 국내 Web3 기획자가 희귀하고 실력있는 Web3 기획자는 세계적으로도 희귀합니다넷 빈번하게 Web3 event를 스폰하고 있고 적극적으로 네트워킹하고 있습니다 정기적으로 열리는 KBW Upbit conference와 같은 Web3 행사 참여를 적극 권하고 있기 때문에 자신만의 네트워크 형성하기 좋은 환경입니다다섯 Web3 산업 특성상 고객파트너VC 모두 해외사입니다 자유롭게 해외사와 교류 할 수 있고 추후 해외 회사에서 일하고 싶다면 VC와 연결하여 Web3 해외사를 경험해 볼 수 있습니다 추후 두바이 진출도 염두해두고 있어 선택적으로 국내잔류 혹은 해외진출을 선택할 수 있습니다여섯 Web3는 타산업보다 빠르게 프로덕트 0to1을 만들 수 있습니다 스타트업 프로덕트의 모든 과정을 컴팩트하게 경험하면서 어느 단계에서 어떤 문제들이 생기고 어떻게 해결하고 어떻게 협업하는지 전체적으로 경험할 수 있습니다이런 일을 해요 개발 디자인 사업 마케팅 팀들을 매니징하며 크립토 거래소DEX Web3 기반 서비스를 기획운영합니다 가설검증 사이클들을 운영하며 핵심 피쳐들을 정의합니다 일단위 유저인터뷰를 통해 유저의 페르소나와 니즈를 세밀화하고 팀과 공유합니다 Web3 UIUX를 혁신할 새로운 기술을 리서치하고 적용합니다 ex Walletless DeFi LP Asset Flexibility etc DeFi의 장점을 살려 투명한 리스크관리 타 서비스들과 상호운용성을 적용하고 CeFi의 walletless 거래를 제공하는 크립토 거래소의 최종 형태인 end game 프로덕트를 만듭니다, 3년 이상의 경력자 0to1을 해보셨거나 하고자 하는 강한 의지가 있으신 분 가설검증 사이클을 린하게 돌려본 경험이 있으신 분 프로덕트 단계마다 데이터를 이해해가며 방향성을 유기적으로 제안할 수 있는 분 UX에 대해 높은 가치를 두고 있는 분 주도성 오너십을 가지고 업무를 이끌어 나가실 수 있는 분 새로운 걸 배우는데 두려움이 없고 폭발적으로 성장할 준비가 된 분 다른 팀원과 적극적으로 대화할 수 있는 의사소통 능력이 있으신 분 Web3와 DeFi의 철학에 공감하시거나 관심있으신 분 금융수학에 대한 관심이나 지식이 있는 분 주식크립토 트레이딩 경험이 있으신 분 글로벌 고객과 소통할 수 있는 분
전기차 충전 사업 개발 및 관리충전 및 에너지 신사업 기획제안 B2B 프로젝트 관리,경력 경력무관신입가능3개월 시용기간직급  매니저전기차 충전 사업 개발 및 관리충전 및 에너지 신사업 기획제안 B2B 프로젝트 관리전기차 충전 및 에너지 관련 업무 경험이 있으신 분관련학과를 전공하셨거나 해당 분야 이해도 및 관련 지식을 보유하신 분문서작성과 통계분석이 능숙하신 분외국어 사용이 가능하신 분
 전기차 충전 사업 사업개발Project Management 조직 리드 전국 단위 전기차 충전기 시공 프로젝트 관리 시공 공정 관리  준공 검수 사용 허가 등 충전기 설치 전 프로세스 정책 수립 및 운영 투자 주체에 따른 자산관리 및 재고관리 시공 파트너사 발굴협업  운영정책 수립, 전기 시설 관련 시공 프로젝트 관리 경험 5년 이상 보유하신 분 시공 파트너사 협업 및 관리 경험을 보유하신 분 문제해결에 흥미를 가지고 적극적으로 개선하는 성향을 보유하신 분 동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분 5인 이상 조직에서 조직인력 관리 미션 관리 구성원 피드백 등 리더 경험을 보유하신 분 새로운 시도와 실패를 두려워하지 않는 도전적인 성격을 지니신 분 전기차 충전기 등 에너지사업 시공관리 유관 경력을 보유하신 분 전기공학 등 유관 전공 학사이상 전공자 전기기사전기산업기사전기공사기사 등 전기 관련 자격을 보유하신 분 조직 신설 경험 및 주니어 육성 관련 경험을 보유하신 분 창업 혹은 스타트업 관련 커리어를 보유하신 분
사업관리기술기획IT 개발 역량,학력  대졸이상경력  경력10년이상석사학위 수여자박사학위 수여자관련학과 전공자관련 자격증 보유자영어능통자원어민수준국가공공기관 출신자장기근무 가능자유관업무 경력자 10년자격증  정보처리기사전공  전산학 컴퓨터공학 산업공학 에너지공학
IT Vendor 및 사업계획 관리정보화 전략계획수립  시스템 TO_BE 구성안 수립IT타당성 검토 및 효과분석IT도입 및 운영관리  프로젝트 Management비즈니스 프로세스 분석 업무 수행ERP  BSI JDE legacy System 운영신규 ERP 프로젝트 관리infra  AWSAmazon Web ServicesDB  mysqlsystem  java spring boot,학력  4년제 대졸 이상경력  업무경력 10년 이상ERPWMS 운영 및 PM경력자IT 시스템 통합 구축 및 운영 경력자ITHWSWDBMS 기타 솔루션 등에 대한 전반적인 지식 보유자기업체 IT기획운영 팀장 경험자더존ERP 운영자 유통 생산 및MLM 이력 우대영어능통자Cloud computing operating system database networking securityIT Project Management Global Communication Problem Solving Skill 경험자
 미래에 가장 부가가치 높은 기술스킬노하우 교육 상품 런칭의 A to Z를 진행합니다 주제에 대한 시장성을 분석하고 리포트를 작성합니다 학습자 고객관점의 강의 콘텐츠의 컨셉과 내용을 기획하고 커리큘럼을 구성합니다 영상 콘텐츠 제작을 관리하고 콘텐츠 퀄리티 검수를 담당합니다 업계 TopTier 연사를 섭외합니다 마케터와 협업해 코스를 런칭합니다신입의 경우 PM과 함께 기획 단계에 참여하여 기획력을 습득하고 전반적인 운영관리 업무를 담당하는 APMAssistant PM으로 시작하게 됩니다, 경력 신사업기획개발  리서치  상품기획  MD 등 분야에서 3년미만의 경력이 있으신 분 고객이 선택하는 교육 콘텐츠의 미묘한 차이를 이해하고 개선점을 찾을 수 있는 분  다양한 자료와 과거 성과 분석을 통해 스스로 의사결정하고 이를 기획과 실행으로 옮길 수 있는 분 엑셀 구글스프레드시트 Keynote PPT 등의 본인이 선호하는 툴을 통해 사업 방향과 시장성에 대해 논리적으로 설득하고 커뮤니케이션 할 수 있는 분  문과 계열 학과 졸업생 인문학 어학 철학 경영 상경 교육 등 사업 및 창업 경험 우대 
자동화 설비 기술 개발 및 업무 관리프로젝트 진행 및 인원 관리 예산 관리 일정 관리 유관 부서 고객과의 의사 소통 및 협업글로벌 프로젝트 커뮤니케이션 및 진행 영어가능자유럽 현지 근무,초대졸이상 공학 전공자동화 설비 프로젝트 진행 및 관리 유경험자대인관계와 커뮤니케이션 능력 우수자영어 능숙자유럽 현지 근무 가능자영어 능숙자프레젠테이션 능력 우수자
 쿡앱스에서 앞으로 담당하실 업무예요 쿡앱스 사업지원팀에서 팀배틀 RPG 장르의 프로젝트 무명기사단을 글로벌 시장에 맞춰 서브컬쳐향으로 리메이크 합니다  서브컬쳐 유저를 타겟으로 한 스텔라 나이츠의 사업PM 으로서 사업 관점에서 글로벌 서비스 전체를 고민하고 대응해야 합니다 사업계획 BM 및 상품 기획을 통한 수익화 지표 분석 등의 업무를 담당합니다,이에요 사업 PM 업무 5년 이상이신 분 사업 전략에 따라 주요 KPI를 설정하고 방향을 잡을 수 있으신 분 BM  모델 설계에 따라 상품을 기획하실 수 있으신 분 마케팅 데이터 등의 유관 부서와 원활한 커뮤니케이션이 가능하신 분 지표를 확인하고 데이터를 리딩할 수 있으신 분 필수포트폴리오 제출  업무 포트폴리오 사업계획 상품기획 BM 설계 지표분석 이런 분이면 더 좋아요 일본을 비롯한 글로벌 시장에 출시 및 라이브 경험이 있으신 분 제2외국어 활용이 가능하신 분 영어 일본어 등 수집형을 비롯한 RPG 게임의 출시 및 라이브 경험이 있으신 분
이런 팀에서 일을 합니다  사업개발팀은 사업확대를 위해 반도체 관련 사업기회를 발굴하며 MA 및 사업투자검토를 진행합니다 사업기획 특허 법무 국책과제 담당자가 협업하여 업무를 수행합니다 반도체 산업에 대한 시장분석 경쟁사 또는 인수대상기업에 대해 기술가치평가를 통해 사업기회를 찾습니다이런 업무를 합니다  신사업을 기획 및 사업전략을 수립합니다 기업의 비전을 검토하고 방향성을 수립합니다 신사업에 대한 투자 타상성을 분석하고 평가합니다 투자사를 분석합니다 신규사업을 위한 선행기술을 조합니다 신규사업을 위한 기술 및 사업성을 평가합니다 사내 신규사업의 기술로드맵을 작성합니다 경영기획을 수행합니다 경영비전 및 경영전략을 수립합니다 중장기 전략 및 장단기 사업계획을 수립합니다 연도별 경영분석 및 지표를 산출합니다 법무 특허업무를 총괄합니다 계약서를 검토합니다 경영분쟁 및 소송이슈 발생시 대응합니다 신사업 기술을 분석합니다 사내 특허 출원유지보상 프로세스를 수립합니다 본사 및 자회사 특허를 출원합니다 특허 분쟁 발생시 대응합니다, 신사업 기획 및 관리 15년 이상 경력이 필요합니다팀을 리드한 5년이상 팀장경력을 포함합니다 전기전자공학 재료공학 기계공학 화학공학 전공이 필요합니다 반도체 산업내 신사업 기획 관리 경력이 필요합니다 다양한 분야에 대한 관심 및 학습 능력이 필요합니다 문제해결 및 원인 분석능력이 필요합니다 주도적 능동적 과제를 창출할 수 있는 능력이 필요합니다 최고수준의 투명성과 도덕성이 필요합니다 기획 법무 특허 전반 수행 또는 관리 경력이 있으면 좋습니다 전략기획 프로세스 실무경력이 있으면 좋습니다 제조 유통 대기업 상장기업 경력이 있으면 좋습니다 영어회화가 가능하면 더 좋습니다
플랫폼 사업 운영 및 지표매출손익 관리 플랫폼 운영 단의 경영계획 수립 및 실적 관리 연간월간 계획 수립 플랫폼 매출 데이터 분석 통한 향후 운영 전략 수립 계획 기반 팀별 달성 목표 수립 및 관리 손익 추정 및 지표 관리 시장경쟁사 분석 및 벤치마킹 자료 분석, 경영관리매출손익 및 경영기획전략기획 관련 업무 경험 57년 이상 보유자 온라인 커머스 플랫폼 운영 경험 보유자 최소 1년 이상 단위 사업에 대한 매출기획 및 손익분석 경험 보유 조직 별 KPI 관리 경험 보유자 기획 보고서 작성 능력 우수자 관련 부서 담당자들과 커뮤니케이션 역량 보유자 다양한 유형의 서비스 경험자 우대 헬스케어 카테고리 경험자 우대
 고객이 Jober를 사용하면서 문의하는 것에 대해 안내하고 이를 기록해 요청이 많은 사항을 UX에 반영 또는 가이드를 만들어 고객 스스로 Jober를 잘 사용할 수 있도록 시스템을 개선합니다 고객이 필요로 하는 사항을 리스트업해서 가장 요청이 많이 오는 사항을 개발할 수 있게 기획을 하는 업무를 합니다 고객사의 요청사항 중 자동화가 개발되지 않은 부분을 수동으로 업무를 처리해 고객의 요구사항을 만족시키면서 본인이 업무를 자동화할 수 있도록 개발사양을 정리해 개발팀과 협업합니다 업무 고객 상담 및 시스템 운영 40  기획 업무 40  기타 업무 20, B2B  B2C IT Service에 이해도가 높고 IT 시스템 사용에 능숙한 분  고객사의 요청사항을 귀담아 듣고 원활한 의사소통이 가능하신 분 사업관리 서비스 운영 고객 대응 등 업무 융통성을 갖추신 분 IT 서비스에 대한 기술적인 이해도가 높은 분 명확하고 간결한 표현으로 의사를 전달하는 능력 IT 서비스 운영 기획 개발 경험 인사 업무 관련 경력 채용 업무 관련 경력 SQL Tableau 등 데이터 추출 및 분석 가능하신 분
1 관리손익 부서별  매장별  브랜드별 관리손익 산출2 사업계획 연간 사업계획 수립3 예산관리 사업계획 근거 예산 운영4 중장기 계획 3  5  10년 중장기 계획 수립5 경쟁사  환경분석 경쟁사 실적 및 내외부 환경 분석6 회의체 운영 기간별 회의체 운영7 지표관리 재고  손익 지표  산출 및 보고, 대학교4년 졸업 과장대리급48년 경영기획 경험 4년 이상 분석적 사고  키즈 및 주니어 패션 경력자 우대 주주 관련 업무 경험
