주요 업무,자격요건 및 우대사항
사용기술Java C C Python 산업용 장비 데이터베이스 구축 및 서버관리데이터 운영, 학력 대졸 이상 전공 컴퓨터공학과 소프트웨어과 등 경력자인 경우 프로젝트 진행이 가능한 개발언어JAVACCPython 능력 보유자 프론트엔드 및 백엔드 등 웹개발 경험 네트워크 구축 및 시스템 구축 신재생에너지 및 장비제어 관련 경력자 공공기관 프로젝트 경험
 신규 개발 프로젝트 기획 및 설계 신규 개발 프로젝트 개발 진행 관리 빌드 점검시연 QA 론칭 BtoC 라이브 서비스 유지보수 관리 서버클라이언트 개발 및 운영 관리 형상 관리 통합빌드 배포 소스품질 관리 외부 개발업체 발굴 평가 개발진행관리, Cloud Server 개발 및 운영 경험 AWSEC2 Auto Scale Cloud front S3 등 프로젝트 PLPM 등 수행 및 업무 시스템 구축 경험 테크니컬 분석설계 역량 AndroidIOS 개발 경험 네이티브 플러터 리액트 네이티브 등 모바일 크로스 플랫폼 관련 경험 서브 능력 Python JS RDB 개발 경험 Flask Django Vuejs MariaDBMySQL 사용 혹은 관련 겅험 관련 경력자
 전자영수증 솔루션 고도화 빅데이터AI 연구 개발사용 기술Java Spring   jQuery  JavaScript  Flutter    React Native  BigData  AI인공지능  Apache Tomcat, JAVA 안드로이드 IOS 앱개발 웹개발 프로토콜 설계 등 분야별 능통자 핀테크 빅데이터AI 분야 업계 종사 경력 앱 및 웹 개발 경력
 Flutter 기반 네이티브 앱 개발 윈도우 어플리케이션 개발 Google Play Store Apple 앱 스토어 등록심사 관리, C CPP Flutter 언어 중 최소 2개 개발 경력 5년 이상 Native 어플리케이션 개발 경험 Json 기반 Socket 데이터 통신 이해 가능한 분 GitHub GitLab BitBucket등 분산 버전 관리 환경에서 개발 익숙하신 분 키오스크 분야 개발 경험 보유자 Serial TCPIP 통신 기반 장치제어 어플리케이션 경험자 스타트업 경험자 및 진취적 열정을 가진 사람 데이터 통신 프로토콜에 대한 이해도가 높은 사람
 자사 호스팅클라우드 웹 서비스 개발 및 유지보수PHP 웹 서비스고도화PHP 프로젝트 관리, 경력 3년 7년 Modern PHP  PSR 개발 Laravel framework 개발 React 자바스크립트 개발 RESTful API 설계 및 개발 SVN  Git 운영 DB 설계 및 관리 SW 개발 보안시큐어 코딩 경험 조직관리 경험자 관련 학과 전공 또는 교육 이수자 호스팅  클라우드  컨테이너 시스템 이해 및 경험자 CI  CD 운영 또는 구축 경험자 ISMS  CSAP 등 인증관련 경험자 OSLinux  Network 시스템 이해 및 경험자초대졸 이상 또는 졸업예정자해외여행에 결격사유가 없는 자
 SLAMNAVIGATIONFMS 프로그램 개발 및 고도화 로봇 태스크 프로그램 개발 및 고도화 로봇 운영 및 테스트서빙로봇 AMR 등  로봇 사용 교육 및 업체 기술 지원 정부과제 수행 오더피킹 로봇, SW 로봇공학 로봇제어 관련 학과 석사 이상 SLAMNavigationFMS 프로그램 직접 개발 이력 보유 Web SW 개발 경험 보유
시스템 구축을 기반한 업무 프로세스 개선 및 시스템 기획설계운영현장 업무 환경 및 프로세스 분석을 통한 개선안 도출 효율화표준화최적화고객 서비스 프로세스 여행렌터카 기획 및 고도화내부 임직원 또는 외부 고객의 시스템 요구 사항에 대한 업무 프로세스 작성,경력  3년 이상시스템 PI관련 업무 또는 개발 경력대내외 고객 및 개발 직군과의 원활한 의사소통 능력 보유자사내외 컨설팅 유경험자프론트백엔드 웹 서비스 개발 및 운영 유경험자
미디어커넥트팀은 콘텐츠의 유통 라인 전반에 기여하는 조직으로써 인프라 엔지니어의 업무는 크게 아래의 track으로 나뉩니다  자사 사이트 워드프레스bitnami beanstalk ec2코프링 AWS 기반의 서비스 인프라 운영 및 고도화 인프라 아키텍처 관련 문제 해결속도 개선 자원 사용 최적화비용 감소 인프라 및 애플리케이션 모니터링 및 알림 개선저희는 다음과 같은 언어 및 기술 베이스로 일하고 있습니다 CICD AWS Github 언어 및 , AWS 기반 인프라 설계 및 운영 경험을 보유하신 분 최소 3년 이상 bitnami 워드프레스 또는 php기반 웹 서비스 운영 경험 보유자 스크립트 코딩 역량 보유 Shell script Python 등 AWS 환경에서 다양한 서비스를 처음부터 끝까지 구축하고 운영한 경험이 있으신 분 CloudWatch Datadog 등 Observability 플랫폼 구축 및 운영 경험이 있으신 분 Cloud Formation Terraform 등 IaC 경험이 있으신 분 기존 사용 기술의 문제점과 대체 도구 발견 또는 개발에 능숙하신 분
 자사 호스팅클라우드 웹 서비스 개발 및 유지보수PHP 웹 서비스고도화PHP 프로젝트 관리, 경력 3년 7년 Modern PHP  PSR 개발 Laravel framework 개발 React 자바스크립트 개발 RESTful API 설계 및 개발 SVN  Git 운영 DB 설계 및 관리 SW 개발 보안시큐어 코딩 경험 조직관리 경험자 관련 학과 전공 또는 교육 이수자 호스팅  클라우드  컨테이너 시스템 이해 및 경험자 CI  CD 운영 또는 구축 경험자 ISMS  CSAP 등 인증관련 경험자 OSLinux  Network 시스템 이해 및 경험자초대졸 이상 또는 졸업예정자해외여행에 결격사유가 없는 자
사용 기술 Python SW C  C Network java 산업용 장비 SW 통신 네트워크 구축 및 시스템 구축, 학력 대졸 이상 전공 컴퓨터공학과 소프트웨어과 등 경력자인 경우 프로젝트 진행이 가능한 개발언어JAVACCPython 능력 보유자 프론트엔드 및 백엔드 등 웹개발 경험 네트워크 구축 및 시스템 구축 신재생에너지 및 장비제어 관련 경력자 공공기관 프로젝트 경험
자사 보유중인 솔루션에 대한 공공 프로젝트 SI 개발 및 유지 보수인프라 네트워크 구성 및 관리 업무SI 테스트 문제해결 및 모니터링프로젝트 일정을 준수하고 협력적으로 팀원과 소통 업무 ,학력 초대졸 이상경력 4년 이상스킬 Spring Spring Boot모집인원 00명SI 프로젝트 유경험자DBMS 및 SQL 능숙하신 분 Restful API설계 및 개발 업무 유경험자웹 서비스 개발 구축 업무 유경험자
 백엔드 아키텍처 설계 및 개선 MSA 기반의 서비스 개발 프론트엔드백엔드 API 서버 개발 운영 대용량 데이터를 실시간으로 처리하는 아키텍처 설계 구축 운영 문제 해결을 위해 새로운 기술 검토 도입 오토위니 개발 그룹을 소개합니다  오토위니가 운영 중인 플랫폼을 관리하는 개발그룹은 백엔드프론트엔드 개발자 총 16명으로 구성되어 있습니다 플랫폼오토위니 옥션위니 위니로지스 등에 따라 세부 조직이 구성되어 있습니다 협업 툴을 통한 효율적인 업무 관리를 선호합니다 Jira Confluence Figma 등 DevOps 문화를 정착하고자 합니다 코드 리뷰 세션을 통해 개발 지식 공유에 힘쓰고 같이 성장하고자 합니다 원한다면 서버 DB 네트워크 등 업무 전환도 가능합니다 플랫폼을 만드는 모든 구성원과의 소통과 협업이 원활합니다 전체 , Java Spring Framework 기반 실무 개발 경력 5년 이상 주도적으로 백엔드 아키텍쳐를 설계해본 경험이 있으신 분 AWS 등 클라우드 환경에서 서비스 개발운영 경험이 있으신 분 유저가 겪는 문제점을 찾고 기술로 해결하는데 관심 있으신 분 Jira Confluence 등 협업툴 사용에 익숙하신 분 아키텍처 변경에 따른 마이그레이션 경험이 있으신 분 꾸준한 학습과 내가 아는 것을 공유하는 것을 좋아하시는 분
 보안솔루션 에이전트 개발 커스텀 프로젝트 기능 개발, MFCCC 개발 및 유지보수 경력자210년 보안 관련 에이전트 개발 경험자 새로운 언어 및 기술 환경 학습에 대한 거부감이 없는 분 원활한 커뮤니케이션 능력 보안 솔루션개인정보보호 DLP개발 경험 크로스플랫폼 Windows macOS Linux 애플리케이션 개발 경험 협업툴 경험자GitHub Gitlab Jira Confluence 등
 No Code 방식의 MLOps 플랫폼의 UIUX 개발 사용자가 머신러닝 모델을 개발하고 운영에 반영하는 과정을 빠르고 정확하게 수행할 수 있는 웹 기반 애플리케이션을 개발 인공지능 솔루션의 웹 기반 애플리케이션 UIUX 개발 써로마인드의 인공지능 기술력을 바탕으로 구현되는 다양한 도메인별 솔루션 개발, 타인과 원활한 소통이 가능하신 분 HTML CSS JavaScript에 대한 이해가 깊으신 분 ReactNextjs VueNuxt 등의 프레임워크 기반 개발 경험이 있으신 분 문제 해결을 위한 논리적 사고가 가능하신 분 REST API를 통한 개발 경험이 있으신 분 반응형 디자인 웹 접근성 웹 표준을 고려한 UI 개발 경험이 있으신 분 HTTP REST DNS OAuth 등 인터넷 기반 프로토콜과 기술에 대한 이해와 경험이 있으신 분 인공지능에 대한 관심이 크며 인공지능 기술을 실현하는 데서 보람을 느끼시는 분 머신러닝 워크플로우와 MLOps에 대한 이해가 있으신 분 Clean code를 위한 고민과 적용 경험이 있으신 분
 다양한 인공지능 응용 분야의 문제 해결을 위한 머신러닝 엔지니어링 수행 패턴 분류예측 컴퓨터 비전 자연어 처리 시계열 분석 및 예측 문제 해결을 위한 전략 수립 수행 계획 수립 실험 설계 및 수행 구체적인 방법론 도출 및 개발에 참여 자동화된 머신러닝AutoML을 위한 파이프라인데이터 준비 모델 학습 및 평가 모델 배포 구축MLOps 엔지니어와 협업 서비스 환경에서의 모델 재학습 또는 변경을 위한 자동 파이프라인 구현MLOps 엔지니어와 협업 개발 결과물의 자산화 세미나 특허 기술 리포트 논문 SW 저작권 등록 오픈소스 기여 활동 등 MLOps 플랫폼의 내장 머신러닝 모듈 개발 정해진 스키마 정책 SW 스택 하에서 데이터 전처리 학습 및 추론 배포 최적화를 위한 SW 모듈 구현과 기능 개선  머신러닝 문제의 종류별 전담 개발    예 PyTorch 기반 object detection Tensorflow 기반 audio classification PyTorch 기반 text classification XGBoost 기반 tabular regression 모델링 실험 및 프로덕션 단계의 자동화된 머신러닝을 위한 파이프라인 기능 구현 사용자가 머신러닝 모델을 개발하고 운영에 반영하는 과정을 빠르고 정확하게 수행할 수 있는 웹 기반 애플리케이션 개발에 참여, 주요 딥러닝 프레임워크Tensorflow PyTorch MXNet XGBoost 중 하나 이상에 대한 숙련도 머신러닝 모델링 경험과 능력  대회 프로젝트 등 Github 공개 오픈소스 코드에 대한 분석 수정 활용 능력 머신러닝 시스템 개발과 자동화를 통한 문제 해결과 개선에 관심이 있는 분 MLOps를 위한 머신러닝 워크플로우에 대한 이해와 경험 Detectron2 Huggingface   등 머신러닝 응용을 위한 주요 코드베이스 기반 개발 경험 인공지능 응용 서비스 개발 경험자 또는 석 박사 학위 소지자 GitHub 등 오픈소스 기여자
 AI Human SDK for JavaScript 연구개발을 합니다 Mobile Standalone 등 다양한 Platform환경에서 AI Human을 제공하기 위한 활동을 합니다 API 개발 업무를 수행합니다, 학력  무관 경력 3년 이상 병특가능 JavaScript 및 Nodejs를 이용한 개발 경험이 있으신 분 Socket Rest API 등 기본적인 네트워크 프로그래밍에 대한 이해가 있으신 분 AI Human 서비스 개발에 도전해보고 싶으신 분 SDK 또는 개발자를 위한 라이브러리를 개발해보신 분 API 설계 및 구현이 가능하신 분 코드 리뷰 등 개발 문화에 관심이 있으신 분 유연한 사고와 커뮤니케이션 능력을 보유하신 분
 데일리펀딩 서비스의 웹 프론트엔드 플랫폼 개발 크로스플랫폼 앱 개발 ReactNative, React를 통한 Frontend 개발이 가능하신 분 또는 React 개발 경력 2년 이상 or 그에 준하는 역량을 보유하신 분 React Lifecycle 과 SPA에 대한 이해가 있는 분 ES6 이상의 Modern Javascript에 대한 이해가 있으신 분 HTML CSS에 대한 이해가 있는 분 Git을 통한 협업이 가능하신 분 긍정적이고 협업에 어려움이 없는 분 팀원 및 기획운영디자인팀 등 타 팀과의 커뮤니케이션 능력이 좋으신 분 금융 프로젝트 경험이 있으신 분  Typescript 개발 경험이 있으신 분 React Hooks 개발 경험이 있으신 분 CSSinJS에 대한 지식이 있으신 분 프로젝트에 따라 Sass 또는 Styled Component를 사용합니다  SSR 개발 경험이 있으신 분 Nextjs를 사용하는 프로젝트가 있습니다 레퍼런스 체크가 가능한 포트폴리오 제출이 가능하신 분
 인공지능 서비스의 여러 단계 중 백엔드 파트 개발 웹 API 서버 개발 및 유지보수 FE 개발자 ML 개발자와 함께 협업, 웹 서버에 대한 이해 Restful API 서버 개발 가능 Docker 환경에 대한 이해 Git 사용 가능자 협업 시 커뮤니케이션이 잘 되시는 분 디자인 패턴에 관심이 있으신 분 객체지향에 대한 이해가 있으신 분 문제 해결을 위한 집념이 있으신 분 더 나은 해결 방법에 대해 끊임없이 고민하시는 분 인공지능에 관심이 있으신 분
 영상처리 알고리즘모델개발 특히 사람의 얼굴 신체 관련 landmark detection 3D reconstraction image restruction 등 음성처리 알고리즘 개발 NLP, 학력 대학원석사이상 석사 신입 가능 병특가능 경력 지원 가능 파이썬CC및 영상처리 음성처리 NLP 라이브러리ffmpegopencv dlib등 사용 개발 경험 관련 딥러닝 모델 연구개발자 우대 Tensor Flow PyTouch 알고리즘모델에 기반한 영상처리 및 컴퓨터 그래픽 전공자 또는 경력자
 백엔드 Backend 개발 기존 서비스의 유지 보수 및 신규 서비스 설계 및 개발, 학력 무관 병특가능 Nodejs React Express Nextjs 등의 Framework 사용 경험 Git 또는 SVN 등 버전 관리 사용 경험 REST API 개발 경험 DBMS Cache Data Structure 설계 경험 AWS Azure 등의 클라우드 환경 기반 개발 배포 및 운영 경험 Redis Memcached 등 메모리 캐시 사용 경험 Apache Nginx 등 서버 운영 경험 Python C Java등 다양한 언어에 대한 개발 경험 React Native Flutter Ionic 등 Hybrid 개발 경험 대용량 Log 및 데이터 처리 경험 Jenkins 를 이용한 CICD 사용 경험
 데일리펀딩 서비스 백엔드 플랫폼 개발, Backend 개발 경력 3년 이상이신 분 Python Django Rest Framework 개발 경력이 있으신 분 또는 그에 준하는 분 MySQL 또는 Postgres 등 RDBMS 사용 경험이 있으신 분 Github을 사용하여 협업 개발 경험이 있으신 분 웹 기반 서비스와 그 구조에 대한 기본적인 이해도가 있으신 분 신규 기술에 관심이 많고 업무에 맞춰 적용 가능하신 분
 의원급 EMRElectric Medical Record Windows Client 개발 CWPF, 컴퓨터 공학이나 그와 유사한 학과의 학사이상 학위 소지자  C WPF 개발 3년 이상 경력을 보유한 분  MVVM Pattern 및 XAML로 UI 개발에 능숙한 분  UI Library DevExpress Telerik등 없이 Custom Control 개발 가능한 분  NET Framework 환경에 능숙하며 기본 원리에 대해 관심이 많은 분  Client  Server 개발 모델에 익숙하며 RESTFul 개발 경험이 있는 분  Git 등 분산 버전 관리 시스템에 익숙하고 코드 리뷰를 활발히 해본 분 의원급 EMR 시스템 구축 경험  Application의 최초 출시 부터 유지보수 업데이트 등 개발 전 과정에 대한 경험
1 이미지 인식 AI 기술 기반 APISaaS 서비스를 개발합니다     대량의 실시간 Inference 작업을 안정적으로 처리하기 위한 분산처리 시스템 개발 및 운영     고객이 편하게 사용할 수 있는 웹서비스의 백엔드를 개발     부하 상황에 따라 고성능 서버에서 동작하는 Workload를 Auto Scaling 할 수 있는 컨테이너 기반       인프라 구축2 생성형 언어모델 LLM 기반의 대화형 서비스를 개발합니다     언어모델의 프롬포트를 동적으로 관리하고 안정적으로 Inference 하기 위한 Serving 시스템       개발 및 운영     대량의 실시간 Inference 작업을 안정적으로 처리하기 위한 분산처리 시스템 개발 및 운영     여러 사용자가 안정적으로 편하게 사용할 수 있는 서비스의 백엔드 개발, 7년 이상의 실무 웹 서비스 개발 python  java  C 및 운영 경험이 있으신 분  실제 서비스의 기획 개발 배포 운영의 모든 과정을 경험해보신 분 RDB에 대한 설계 및 운영 경험이 있으신 분 Data Lake DW 관련 설계 및 운영 경험이 있으신분 Container Docker Kubernetes 기반 서비스의 개발 및 배포 경험이 있으신 분 다양한 배경을 가진 팀원들과 협업을 위한 원활한 커뮤니케이션이 가능하신 분 AWSGCP 클라우드 환경에서 서비스 설계 및 구현 경험이 있으신 분 Python 기반의 상용 서비스 개발 경험이 있으신 분 데이터 기반의 서비스에 대한 개발 및 상용화 경험이 있으신 분 RESTful Interface 기반 서비스 개발 경험이 있으신분 AI 기술이 실생활의 문제를 해결하는 제품으로 만들어지기까지의 과정에 기여하고자 하는 분 백엔드 엔지니어로서 빠르게 성장하고자 하는 분
