회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
빅웨이브로보틱스(주),정규직,"['영업', '로봇', '기술영업']","■ About Bigwaverobotics
로봇 시장의 큰 파도를 일으키고 있는 빅웨이브로보틱스는 대한민국 최초 로봇 자동화 추천 플랫폼 서비스 '마로솔' 개발한 스타트업입니다.
'마로솔'은 4차 산업 시대의 핵심인 로봇의 대중화를 위해 제조사와 소비자의 정보 비대칭을 해결하기 위해 노력하고 있습니다.
로봇 산업의 필수 플랫폼으로 자리잡으며 초고속 성장중인 Team Bigwave의 일원이 되어 '마로솔'의 서비스를 빛나게 해주세요!

■ Team History
 - 설립 1년 만에 흑자 전환
 - 서비스 런칭 3분기만에 6만개 수요고객 확보
 - 2021년 12월 카카오 / KB 인베스트먼트 Pre-Series A 투자 유치
 - 2023년 2월 다종 로봇 관제 제어 시스템 SOLink 런칭
 - 2023년 3월 KB / 신한 / 미래에셋 / 위벤처스 / 에이스톤벤처스 Series-A 98억 투자 유치", 서비스로봇 판매 전략 수립 신규고객 파트너 개발 및 영업 서비스로봇 판매 전략 수립 신규고객 파트너 개발 및 영업 로봇 설치 및 시연 계약 연계진행 Key Account 발굴 및 관리,,"•  점심 식대 하루 1만원 지급 (출근시)
•  명절 선물 + 생일 선물 지급
•  기본 연차 외 리프레시 휴가 5일 추가 부여
•  무제한 간식 + 커피 제공",서울시 강남구 역삼로 542 4층, 6년10년 B2B 기술영업 경력자 운전 가능자 면허 필수 로봇Sales 경력자 우대 논리적으로 상대를 설득 할 수 있는분 목표달성에 대한 의지가 높은 분 개인역량으로 목표를 달성하거나 우수한 성과를 달성한 분,1266
(주)레이시온,정규직,"['영업기획', '영업', '기술영업', '외국어']",,기술영업,,"지원금/보험	 
건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 헬스비 지급, 통신비 지원

급여제도 
퇴직금, 성과급, 연차수당, 4대 보험

선물
명절선물 / 귀향비

교육/생활	 
워크샵, 플레이샵, 도서구입비지원, 외국어 교육 지원, 자기계발비 지원, 점심식사 제공, 간식 제공, 음료제공(차, 커피), 가족 초청 행사

근무환경 
휴게실, 회의실, 공기청정기, 카페테리아, 전용 사옥, 사내 정원, 스마트기기, 노트북, 사무용품 지급, 기숙사 제공 

조직문화
회식강요 안함, 자유복장, 자유로운 연차사용, 출산 장려

출퇴근	
주차장제공, 회사차량 있음, 출퇴근 교통비 지원

리프레시
연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원",경기 오산시 외삼미로91번길 92,학력  고졸 이상경력  신입경력운전 가능자영어가능자중국어 가능자일본어 가능자해당직무 근무경력인근 거주자,1269
(주)지란지교데이터,정규직,"['영업지원', '개인정보보호', '협력사 관리', '대응']",, 공공기관 및 기업 개인정보보호솔루션 영업 협력사리셀러 영업지원 및 대응 기타 영업 업무 지원,"서류 전형 > 실무 면접 > 임원 면접 > 최종합격 
* 기획/디자인/개발 직무의 경우 포트폴리오 제출을 요청할 수 있습니다. ","유연한 근무 환경
- 선택적 근로시간제, 부서 재량 원격 (재택)근무 운영
- 자유로운 복장 근무 

최상의 업무 환경
- 고사양 최신장비 지원
- 사내 안마의자. 마사지케어 
- 조식, 스낵바 운영(음료, 커피, 간식 무제한)
- 카페테리아 운영(직원 힐링 공간)

자기계발 지원
- 직무 교육비 무제한(외국어도 가능!)
- 도서 구매 지원(만화책, 가족도서도 구매 가능!)
- 직무 발명 보상제도 운영(특허 출원 및 등록시 지원)

직원/가족 건강지원
- 체력단련비 지원(운동하면서 지원금도 받고 내 몸도 챙기고!)
- 종합 건강 검진 지원(MRI/CT/초음파/내시경 등)
- 단체 상해/실손 보험지원
- 가족 장례 서비스 지원
- 보육료, 자녀 학자금 지원

친목 및 교류 
- 사내 동호회 운영
- 힐링 및 친목을 위한 사내 워크샵 
- 신년행사, 송년회, 팀 회식 운영

행복한 복지 
- 5년 단위 장기근속 포상, 인재 추천 포상 
- 리프레시 휴가, 휴가샵 운영
- 생일선물, 명절선물, 가정의 달 선물 지원
- 시즌 별 굿즈 선물 ","대전 유성구 테크노3로 65, 6층 603호", 한글 MSOFFICE 등 문서편집 가능자 문서 작성 및 문서 발표 가능자 운전 면허증 소지자 정보통신 및 IT관련 자격증 소지자 IT솔루션 영업 및 관련 분야 경력자 새로운 기술과 도전에 긍정적인 자,1270
(주)태진에프티,정규직,"['기계', '기술', '전기 전자', '영업.']","태진FT는 1990년에 한국그런포스펌프의 대리점으로 설립되었습니다.
사무실은 서초구 마방로 18에 위치하고 있으며, 평택에 공장 및 A/S 센터를 보유하고 있습니다.
현재는 그런포스펌프 외에도 자일럼, 에바라, 댄포스, DAB 등 다양한 종류의 펌프를 유통하고 있습니다.
인도/일본/미국/이탈리아 등 다양한 해외의 펌프 업체와 추가적인 협상을 진행중으로,
해외의 브랜드를 아우르는 종합펌프 업체로의 도약을 준비하고 있습니다.

회사의 사업 내용 등은 홈페이지 (http://www.tjtech.co.kr/about) 참고 부탁드립니다.",기술영업,서류전형 > 1차면접 및 인적성 > 2차면접 > 최종합격,,"서울 서초구 마방로 18, 2층 (양재동,마루빌딩)",경력 무관운전 가능자 관련 자격증 보유자우대전공  기계메카트로닉스로봇 전기전자공학,1271
(주)코닉글로리,정규직,"['기술영업', '보안솔루션']",,주요 공공기관 기업체 금융기관 IT보안네트워크 보안 영업채널사파트너사 관련 영업지원 및 사업관리자사 솔루션 제안서 제품소개자료 및 기타 영업활동에 필요한 문서 작성국내시장 전략수립 시장조사 경쟁사 분석 등,,,"서울 강남구 학동로 155, 3층, 4층",학력  초대졸 이상 2 3년 관련학과 전공자선호학과  컴퓨터통신보안 관련학과경력  3년이상 5년이하보안네트워크 관련 자격증 보유자보안회사 IDSIPSUTMFire wall등 경력자,1272
(주)소프트베르크,정규직,"['영업', '고객관리', '기술영업', '소프트웨어']","㈜소프트베르크에서 열정적인 인재를 모집합니다.
채용중인 포지션의 정보는 하단내용을 확인해주세요.",기업용 소프트웨어 영업기업 고객 관리    견적서 작성  고객 검토 사항 확인  발주서 작성 및 내역 관리      소프트웨어 라이선스 정책 안내신규 기업 고객 발굴,"서류 전형 ＞ 면접전형 ＞최종합격

","ㆍ전 직원 4대 보험
ㆍ명절, 여름 휴가 상여금 지급
ㆍ성과급 지급","서울 강남구 테헤란로69길 13, 2층",신입 경력1년5년  대리급워드 엑셀 PPT 포토샵 능숙자영어 회화 가능자,1273
(주)이너버스,정규직,"['영업기획', '영업', '기술영업', 'B2B']","22년간 로그데이터를 연구해 온 로그 분야 전문 기업

(주)이너버스는 [이너버스, 국내 통합로그관리 솔루션의 일인자]
정보유출 모니터링, 정규표현식, 텍스트 검색식 자동완성 방법, 대용량 로그 파일의 인덱싱 방법 등 총 8종의 특허를 보유하고 있으며, 로그 분야의 연구 개발에 정진하고 있습니다.

*국내 최다 특허보유 (8개)
*최근 10개년 평균 점유율 59% (조달청 나라장터 '13년~21년 통합로그관리부문 판매 기준)
*국내최다 고객사 보유 (700+)

-----------------------------------------------------------------------------------------------------------------------------------
인재상
ㆍ도전 고민보다는 거침없이 실행하는 도전적인 인재
ㆍ긍정 실패해도 좌절하지 않고 다시 일어서는 인재
ㆍ협업 혼자가 아닌 팀과 회사를 생각할 줄 아는 인재

고민보다는 거침없이 실행하는 도전적인 인재. 실패해도 좌절하지 않는 인재.
나 혼자가 아닌, 팀과 회사를 먼저 생각하고 협업할 줄 아는 인재
모든 일에 정답이 있는 것이 아니기에, 우리는 혼자 고민만 하기 보다는 빠르게 실행하는 인재를 원합니다. 
우리는 직접 실행하며 겪는 수많은 과정에서 함께 성공과 실패 이유를 파악하고 협업하여 더 완벽한 제품과 서비스를 만들어 나가기를 희망합니다.

-----------------------------------------------------------------------------------------------------------------------------------
LogCenter

LogCenter, 로그를 제대로 분석하고 쉽게 표현하다!
이너버스가 개발한 Log Center(로그센터)는 복잡한 로그를 심플하게 다루는 데에 최적화된 제품이다. 수집·저장·분석 • 모니터링의 핵심 기능에만 집중해 심플한 로그 분석을 가능케 하며,
IT 업무 생산성을 높인다. 특히 초당 250,000+ 로그 처리, 대용량 로그 압축률 90%, 손실률 0%,
국내 유일 Hyper Full-text Indexing 특허 보유로 강력한 성능을 자랑한다.
GS인증 1등급과 CC인증(EAL 3등급)으로 제품 안정성을 인정받기도 하였다.
로그센터는 직관적인 대시보드와 손쉬운 사용성, 20년 노하우가 녹아있는
700+ 룰&시나리오, 뛰어난 보안성으로 업계 개발자들의 적극적인 지지를 받고 있다.
현재 로그센터는 조달시장에서 10년 연속 1위를 유지하고 있으며,
공공, 기업, 교육, 의료 등 700개가 넘는 고객사를 보유하고 있다.


-----------------------------------------------------------------------------------------------------------------------------------
INTERVIEW

Q. SIEM서비스팀
A. SIEM서비스팀에서는 제품의 설치부터 사용방법, 기술지원 등 로그센터를 사용하면서 발생하는 모든 문의사항에 대해 지원하고 있습니다. 문의에 대한 해결 답변을 지원하는 것과 프로그램을 사용하면서 불편함을 겪지 않도록 기술 지원하는 것이 주된 업무입니다.
프로그램 사용 중 발생하는 문제점에 대해 개발팀과 협업하여, 프로그램 개선사항들에 대해 보고하고 검토하는 역할도 수행합니다.

Q. 제품전략팀
A. 소프트웨어 품질 관리 및 제품 기획 업무를 수행하고 있습니다. 소프트웨어 품질관리 업무로는 버그사항에 대한 디버깅 포함하여 수정 및 보완(Commit)된 소프트웨어에 대해 테스트케이스 기반한 전반적인 테스트 업무를 수행 & 관리(릴리즈 및 패치에 대한 형상관리 포함)이며, 소프트웨어 제품 기획 업무로는 시장 및 고객 요구사항이 제품에 반영될 수 있도록 요건 정의부터 기능 및 UI 기획, 특히 UX관점에 중점적으로 기획 진행을 하고 있습니다.

Q. 보안사업팀
A. 보안사업팀은 고객의 소리에 가장 발빠르게 반응하고 신속히 대응하는 부서로 요약할 수 있어요.
저희 부서의 경우, B2B 영업과 마케팅이 주가 되어, 모든 밸류체인(Value Chain)을 총괄하는 일을 하고 있기 때문에
다양한 업무를 하고 있습니다. 특히, LogCenter의 수익모델을 위해 분기/반기/연간 세일즈&마케팅 전략, 전국 파트너 채널 관리뿐만 아니라
전반적인 동향을 파악하여 대응 시나리오를 도출하고 사업 전략을 추진하고 있습니다.
",IT B2B 기술영업  세일즈 국내 사업기회 발굴을 위해 고객사와 협력사에 컨택하는 일   세일즈컨텐츠기획제작 깔끔한 설득적인 컨텐츠 기획 및 제작하는 일사업분석전략수립고객제안 PT 설득 협상 등 사업을 성공시키기 위한 액션을 실행하는 일B2B채널파트너사발굴및관리 업에 어떻게 접근할 것인가 무엇을 어필할 것인가   어떤 루트를 활용할 것인가 등 전략을 수립하는 일,"서류전형 > 1차면접 > 2차면접 > (3차면접) > 최종합격

ㆍ모집 분야별로 채용절차가 다를 수 있습니다.
ㆍ서류전형 합격자를 대상으로 1차 인성면접, 2차 직무관련 면접이 진행됩니다.
ㆍ필요 시 각 직무에 따라 테스트(과제) 3차 면접을 진행하게 됩니다.
ㆍ입사 후, 각 직무에 맞는 체계적인 교육 프로그램을 이수하게 됩니다.
","이너버스는 임직원들을 위해 지원을 아끼지 않습니다.

ㆍ볼링, 자전거 라이딩 등의 동호회 활동비 지원
ㆍ도서지원비, 교육비, 자격증시험 응시료 등 자기개발비 지원
ㆍ정보보호, IT관련 교육 프로그램 지원
ㆍ이너버스 데이, 크리스마스, 할로윈데이 등 다양한 파티로 직원간 친목 도모
ㆍ자유로운 복장 및 여유로운 출근, 눈치보지 않는 정시 칼퇴근
ㆍ고용노동부 일생활균형캠페인 참여를 통한 워라밸 실현
ㆍ최신 노트북 제공
ㆍ휴가사용 활성화 (한국관광공사 근로자 휴가지원사업 6년연속 참여기업)
ㆍ반반차제도 도입, 대체휴가, 백신휴가 제공, 휴가사유 미기재
ㆍ장기근속 및 우수사원 포상 제도 (황금열쇠, 스마트워치, 상금 등)
ㆍ퇴직금, 각종 경조금, 인센티브, 매월 팀 회식비, 야근 식대 등 지원

","서울 영등포구 양평로21길 26, 1604호,1605호,1606호,1607호 (양평동5가,선유도역1차아이에스비즈타워)",경력  신입학력  고등학교졸업이상활동경험  해당직무 근무경험,1274
(주)두잇,계약직 (정규직 전환 가능),"['영업기획', '영업', '영업관리']","폭발적으로 성장하는 배달앱 스타트업 '두잇'에서 입점계약을 진행해주실 Sales 담당 동료를 모집합니다.

안녕하세요, 배달비 없는 배달앱 두잇입니다.
두잇은 세상에 없던 '모든 가게 배달비 무료'라는 혁신적인 고객 가치로 폭발적인 성장세를 만들어내는 스타트업입니다.

세상 모든 고객이 '맛있는 음식을 가장 싸고 빠르게' 먹을 수 있도록 하는 문제를 풀고 있습니다.

이중 '맛있는 음식'을 책임져줄 영업 담당 동료를 모집합니다.

- 거절에 굴하지 않고 성과를 만들어내는 분
- 단순 프리랜서/영업직이 아니라 성장하는 스타트업의 멤버로 합류하고 싶은 분
- 설득에 자신 있는 분

본인이다 싶은 분은 지원 바랍니다.

증명해주시는 성과에 따라 더 많은 보상을 드립니다.
또한, 보여주시는 역량에 따라 더 빠른 정규직 전환을 약속합니다.

두잇과 함께 성장하실 분들의 많은 관심과 지원바랍니다.

- 자세히 살펴보기: https://bit.ly/teamdoeat", 타겟스토어 아웃바운드 영업으로 두잇 가맹점 확보 포스 프로그램 설치 담당 가맹점 관리,서류 전형 -> 면접 전형 -> 최종 합격,"- 업무시간 및 급여
    - 주5일 (10 to 7)
        - 기본급 : 3,000,000원 보장
        - 성과급 : 성과 건당 지급 (성과급 한도나 캡 없음, 잘하는만큼 무조건 많이 받아갑니다.)
   (자세한 내용은 미팅 시 안내드립니다.)

- 계약형태 및 기간
    - 최초 3개월 계약 후 정규직 전환 협의","서울특별시 관악구 남부순환로 1925, 4층", 거절에 굴하지 않고 성과를 만들어내는 분 설득에 자신 있는 분 단순 프리랜서영업직이 아니라 성장하는 스타트업의 멤버로 합류하고 싶은 분 관련 업무에서 성과를 내신 경험이 있는 분,1275
(주)케이씨인더스트리얼,정규직,"['영업', '기술영업', '물류', 'FA']","FA 물류이송시스템 기술영업 경력직원 채용
다음과 같이 유능한 인재를 채용합니다.
미래를 함께 이끌어나갈 분들의 많은 관심과 지원 바랍니다.",Rockwell 제품 기술영업 ICT PLC,서류전형 > 면접전형 > 최종합격,"ㆍ건강검진 (만 35세 이상 부터, 배우자 지원)
ㆍ복지 포인트 70만원/년
ㆍ성과금
ㆍ경조금
ㆍ휴양시설 제공
ㆍ근무복 지급
ㆍ중식, 석식 - 법인카드 결제","서울 강남구 테헤란로 534, 22층",전기전자공학 경영학 상경계열해당직무 근무경험   물류 이송 시스템 FA PLC 등2종 보통 운전면허 별도 우대사항 없음,1276
컨트롤웍스(주),정규직,"['영어', 'opic ih', '문서작성능력']","미래모빌리티를 위해 혁신적인 기술솔루션을 제공하는 컨트롤웍스!
전통자동차 산업에 테슬라가 던지는 강력한 충격파로 미래모빌리티 시대로 급변!

변화하지 않는 회사는 새로운 기회를 찾기 어려운 때에 속도가 가장 핵심 경쟁력!

신차개발기간 단축에 맞추어 짧은 시간에 소프트웨어를 개발/검증하는 것이 컨트롤웍스의 HILSmart!

현대기아자동차그룹, 한국부품업체에서 전기자동차 분야에서 독점적 우위로 최근 수주 급상승중!

신속한 기술솔루션으로 변화를 주도하는 컨트롤웍스와 미래모빌리티 시대로 함께!


👉 회사소개: https://youtu.be/Gh-oe5WYmSI
👉 [2022 인터배터리] 컨트롤웍스 전시 인터뷰 : https://www.youtube.com/watch?v=E58CVMZ5ZDg",미래 모빌리티 개발 검증 솔루션의 해외 기술영업사원팀장급 HW in the Loop 시뮬레이터 Battery Cell Simulator 친환경 모빌리티 제어기의 가상 검증 솔루션 자율원격 차량 제어 솔루션 센서인지 SW 가상 시뮬레이션,"서류심사 >> 실무 면접 >> 임원면접 >> 최종합격
제출서류: 이력서, 자기소개서, 성적증명서(90일 이내 발급), 포트폴리오(선택) / 지원서 내 희망연봉 기재 필수
","- 유연근무제(출근시간 7-10시)
- 연말 실적에 따른 인센티브 지급
- 생일자 축하금 지급
- 정규직 전환시 축하금 지급
- 콘도미니엄 회원(대명리조트, 한화리조트, 마리나베이속초호텔)
- 건강검진 지원(2년 주기, 40세이상 매년)
- 장기근속자 포상(휴가, 포상금)
- 사내 추천하여 채용시 포상금 지급
- 직원 상해 보험 가입
- 직무향상을 위한 교육비 전액 지원
- 퇴직연금 운영
- 특허 출원시, 등록시 포상금 지급
- 외부주차장 사용시 월정기권의 50% 지원
- 운전면허증 취득시 학원비의 50% 지원","서울 강남구 언주로81길 13, 5층 (역삼동,진일빌딩)", HW in the Loop 시스템 영업 경력 B2B자동차 분야 영업 경력 메카트로닉스 전기전자 또는 자동차 관련 전공 국방 분야  기관 영업 경력,1277
