회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)페셔네이트,정규직,"['퍼포먼스마케팅', '온라인마케팅', '성과관리', '매출관리', '상품기획', '온라인홍보', '상품관리', 'google analytics']",,상품 기획 및 관리온라인 마켓 운영 및 관리매출 및 성과관리온라인 마케팅 및 홍보퍼포먼스 유입 광고 관리스킬Google Analytics핵심역량성실성 꼼꼼함 계획성 메타인지,"• 서류전형 > 1차면접 > 2차면접> 임원면접 > 최종합격
면접일정은 추후 통보됩니다.
허위사실이 발견될 경우 채용이 취소될 수 있습니다","연금보험 국민연금,고용보험,산재보험,건강보험
휴무.휴가.행사  월차제도, 경조휴가, 반차제도, 공휴일 휴무, 자유로운 휴가문화
보상수당.지원  퇴직금, 경조금, 야간근로수당, 명절선물/명절상여, 성과급, 회식비 지원
사내제도.성장  수평적 문화, 유연근무제, 자율복장
","서울특별시 서초구 동산로16길 35, 3층 302호(양재동, 명애빌딩)",학력  초대졸이상경력 25년포트폴리오 제출디자인툴 사용 가능자통계 분석 능숙자 문서 작성 우수자운동에 관심이 있으신 분,3897
(주)페셔네이트,정규직,"['SNS마케팅', '홈페이지관리', '마케팅기획', '채널운영', '광고집행', '체험단']","㈜페셔네이트는 2023년에 설립된 온라인 유통 스타트업 기업입니다.
운동관련 용품을 유통하고 있으며, 현재 생활용품으로까지 카테고리를 넓혀 진행할 계획입니다.
2023년 4월부터 9월까지 매출 10억원을 달성하였으며, 앞으로도 더욱 빠르게 성장한다고 자신합니다. 서울 서초구 동산로16길 35 (양재동, 명애빌딩)에 위치하고 있으며 같이 성장하실 분들을 모집합니다.
https://fitablekorea.com/",SNS 채널 운영 및 데이터 분석SNS 포스팅 기획 및 원고 작성체험단 진행 및 관리홈페이지  소셜 광고 집행그 외 마케팅 업무,"• 서류전형 > 1차면접 > 2차면접> 임원면접 > 최종합격
면접일정은 추후 통보됩니다.
허위사실이 발견될 경우 채용이 취소될 수 있습니다","연금보험 국민연금,고용보험,산재보험,건강보험
휴무.휴가.행사  월차제도, 경조휴가, 반차제도, 공휴일 휴무, 자유로운 휴가문화
보상수당.지원  퇴직금, 경조금, 야간근로수당, 명절선물/명절상여, 성과급, 회식비 지원
사내제도.성장  수평적 문화, 유연근무제, 자율복장","서울특별시 서초구 동산로16길 35, 3층 302호(양재동, 명애빌딩)",학력  초대졸이상경력 25년포트폴리오 제출디자인툴 사용 가능자통계 분석 능숙자 문서작성 우수자SNS 트렌드를 잘 파악하는 분운동에 관심이 있으신 분,3898
티핏클래스(주),정규직,"['SNS마케팅', '제품마케팅', '컨텐츠기획', '인플루언서 마케팅', '컨텐츠제작', '글로벌마케팅', '트렌드분석', '인스타그램']","사람마다 '바르다'의 기준이 상이할 수 있습니다. 누군가는 유해 성분이 없는 친환경적인 또 누군가에겐 트렌디하고 멋진 ・・・
그래서 우리는 넘치는 정보와 제품 속 건강한 나를 위한 뷰티 즉, '바른 뷰티'의 기준을 정하고 세상의 모든 '나'들을위한 뷰티솔루션을 제공하고자 합니다.
건강한 나로 자신감 넘치는 삶을 지향하는 우리는 티핏클래스입니다.",글로벌사업팀  해외 제품마케터해외 인플루언서 섭외 및 마케팅 협업 체계 구축제품마케팅을 위한 채널별 인플루언서 시딩 및 모니터링컨텐츠 제작을 위한 인플루언서 제품 브리핑해외시장을 향한 SNS 브랜드 계정 운영 및 컨텐츠 기획 인스타그램틱톡 등글로벌 시장 트렌드 분석글로벌 사업 관련 업무 협력,"서류전형-실무자 면접-최종합격

기재사항에 허위사실이 있을 경우 합격이 취소될 수 있습니다
-전형 단계별 결과는 이메일/문자통보 예정이오니 정확한 정보 기재바랍니다","입사시 웰컴키트  필요한 사무용품과 자사제품 지급
신제품증정 신제품출시시 전직원 증정
직원할인 제공 자사제품구매시 깜짝 놀랄 할인 제공
자기계발지원 업무관련강의 &전시, 도서 등지원
슬기로운 점심시간 점심시간 90분! 식사후 티타임까지-
교통비 지원 차량유류비지원 (장거리 자차시)
인센티브제 성과에 보상하는 성과급 지급
강요없는힐링 회식 회식비 지원 & 근무시간 단축 가능
명절선물 지급 설&추석맞이 선물세트 지급
해피버스데이 당일 반차 및 생일선물 제공
듀얼모니터 사용 업무 향상을 위한 전직원 듀얼모니터
경조사지원 각종 경조금 경조휴가지원
직원 스낵바 운영  각종 음료 &간식 무한제공
자유로운 복장 편한게 최고! 개인취향존중!
자유로운 연차/반차 쉬는 것은 권리! 자유로운 연차사용
2시간 휴가제 필요할때 나눠쓰는 반반차제도시행
여성 존중 제도화 출산전/후 휴가, 육아휴직, 근로시간 단축(제한 시기)
비상약지원 진통제, 연고, 밴드 등 기본 비상약 구비
그밖에 주 5일제 근무 (주말 및 공휴일 휴무) 4대보험, 퇴직금 혜택
연장근무지양! 불가피하게 늦은 시간까지 야근시 식대 및 택시비 지원

장기근속자포상
1년-10만원 상품권/2년 - 20만원 상품권
3년-현금 30만원+유급휴가 3일 5
년-현금 300만원+유급휴가 5일
7년-동남아 여행권 (500만원 상당) + 유급휴가 7일
9년-유럽여행권 (1,000만원 상당)+유급휴가 9일 + 특별포상 지원
","인천 연수구 센트럴로 263, 14층 1,2,3호",경력 및 국적 무관 신입 지원가능 원활한 외국어 사용 가능하신 분 영어 일본어 베트남어 인도네시아어 러시아 원어민 컨텐츠 트렌드에 이해도가 있으신 분 인플루언서 마케팅에 이해도가 있으신 분,3900
(주)브이픽스메디칼,정규직,"['연구개발', '기구설계', '광학', '진동', '레이저', '조직진단', 'MEMS', '의료장비', '현미경', '내시경']","전세계 암 환자들 중 수술 후 3분의 1은 재수술 또는 재발을 경험합니다.
브이픽스메디칼은 외과의사가 더 성공적인 암 수술을 집도할 수 있도록 도와 암 환자들의 삶의 질을 향상시키는데 기여하고자 합니다.

성공적인 암 수술의 기준은 정상 조직을 최대한 보존하면서 모든 암 조직을 절제해내는 것입니다. 하지만 수술 후에 환자 몸에 남아 있을 수 있는 잔존 암세포는 육안으로 확인이 불가능하고 이를 방지하고자 정상 조직을 포함하여 과다하게 제거할 경우 수술 후 환자 삶의 질을 악화시키거나 부작용을 초래할 수 있습니다. 현존하는 수술 중 절제연 확인을 위한 조직 검사는 여러 인원이 필요하고 시간이 소요되며 비침습적인 확인이 불가능하여 사용 범위가 제한됩니다.

브이픽스메디칼은 KAIST에서 시작된 초소형 레이저 현미경 기술을 바탕으로 정상 장기 및 조직 손상을 최소화하면서 암 조직의 완전한 제거 여부 확인을 돕는 새로운 수술용 디지털 생검 플랫폼을 개발하여 암 수술의 패러다임을 바꾸겠습니다.",암수술용 초소형 공초점 현미경 개발 압전소자 기반 공진구동 엑츄에이터 설계구동 해석 초소형 프로브 패키징 개발,서류전형 > 1차 인터뷰 (전화/메일) >  2차 인터뷰 (대면/화상) > 건강검진 > 결과발표,"출퇴근
- 8~10시 사이 30분 단위로 자율출근후 출근시간에 따라 17~19시 퇴근
- 주차장 제공

보험 지원
- 단체상해보험가입
- 퇴직연금보험제도운영

조직문화
- 자유로운 연차사용
- 님 호칭 문화

급여제도
- 성과평가에 따른 성과급 지급
- 비정기성과급지급
- 스톡옵션제도운영

생활/근무환경
- 명절선물
- 자유복장
- 생일 케익 및 축하
- 야근 시 저녁식사지원
- 법인차량 운영",대전 중구 계룡로 774, 전기전자공학 기계공학 관련 전공 석사 이상 진동해석제어MEMS 관련 전공 연구 및 경험 FEM 시뮬레이션 활용 연구 경험 COMSOL ANSYS 등 광학 현미경 시스템 연구 경험 MEMS 스캐너 개발,4601
(주)브이픽스메디칼,정규직,"['연구개발', '인공지능', 'AI', '레이저', '의료영상', 'opencv', '조직진단', '의료장비', '현미경', '이미지 처리']","전세계 암 환자들 중 수술 후 3분의 1은 재수술 또는 재발을 경험합니다.
브이픽스메디칼은 외과의사가 더 성공적인 암 수술을 집도할 수 있도록 도와 암 환자들의 삶의 질을 향상시키는데 기여하고자 합니다.

성공적인 암 수술의 기준은 정상 조직을 최대한 보존하면서 모든 암 조직을 절제해내는 것입니다. 하지만 수술 후에 환자 몸에 남아 있을 수 있는 잔존 암세포는 육안으로 확인이 불가능하고 이를 방지하고자 정상 조직을 포함하여 과다하게 제거할 경우 수술 후 환자 삶의 질을 악화시키거나 부작용을 초래할 수 있습니다. 현존하는 수술 중 절제연 확인을 위한 조직 검사는 여러 인원이 필요하고 시간이 소요되며 비침습적인 확인이 불가능하여 사용 범위가 제한됩니다.

브이픽스메디칼은 KAIST에서 시작된 초소형 레이저 현미경 기술을 바탕으로 정상 장기 및 조직 손상을 최소화하면서 암 조직의 완전한 제거 여부 확인을 돕는 새로운 수술용 디지털 생검 플랫폼을 개발하여 암 수술의 패러다임을 바꾸겠습니다.",의료 영상 기반 진단 보조 AI 솔루션 개발 학습용 DB 구축 솔루션 개발 진단 AI 알고리즘 개발 AI 솔루션 Implementation 의료 AI journalconference 논문 투고 및 발표,서류전형 > 1차 인터뷰 (전화/메일) >  2차 인터뷰 (대면/화상) > 건강검진 > 결과발표,"출퇴근
- 8~10시 사이 30분 단위로 자율출근후 출근시간에 따라 17~19시 퇴근
- 주차장 제공

보험 지원
- 단체상해보험가입
- 퇴직연금보험제도운영

조직문화
- 자유로운 연차사용
- 님 호칭 문화

급여제도
- 성과평가에 따른 성과급 지급
- 비정기성과급지급
- 스톡옵션제도운영

생활/근무환경
- 명절선물
- 자유복장
- 생일 케익 및 축하
- 야근 시 저녁식사지원
- 법인차량 운영",대전 중구 계룡로 774, 컴퓨터시스템공학인공지능 관련 석사 이상 및 개발 경력 3년 이상 Pythonpytorchtensorflow 와 같은 deep learning framework 사용 가능 자 MRI CT 병리이미지 등 의료 영상 데이터 활용 AI 진단 알고리즘 개발 경험 AI 관련 논문conference 1저자 publication Open CV 사용 경험 최신 논문 이해하고 개발에 적용할 수 있으신 분 뛰어난 의사소통 능력을 가진 분 Deep learning pipeline 개발 MLOps 담당 경험,4602
(주)브이픽스메디칼,정규직,"['연구개발', '바이오', '광학', '광학설계', '레이저', '의료영상', '의료장비', '현미경']","전세계 암 환자들 중 수술 후 3분의 1은 재수술 또는 재발을 경험합니다.
브이픽스메디칼은 외과의사가 더 성공적인 암 수술을 집도할 수 있도록 도와 암 환자들의 삶의 질을 향상시키는데 기여하고자 합니다.

성공적인 암 수술의 기준은 정상 조직을 최대한 보존하면서 모든 암 조직을 절제해내는 것입니다. 하지만 수술 후에 환자 몸에 남아 있을 수 있는 잔존 암세포는 육안으로 확인이 불가능하고 이를 방지하고자 정상 조직을 포함하여 과다하게 제거할 경우 수술 후 환자 삶의 질을 악화시키거나 부작용을 초래할 수 있습니다. 현존하는 수술 중 절제연 확인을 위한 조직 검사는 여러 인원이 필요하고 시간이 소요되며 비침습적인 확인이 불가능하여 사용 범위가 제한됩니다.

브이픽스메디칼은 KAIST에서 시작된 초소형 레이저 현미경 기술을 바탕으로 정상 장기 및 조직 손상을 최소화하면서 암 조직의 완전한 제거 여부 확인을 돕는 새로운 수술용 디지털 생검 플랫폼을 개발하여 암 수술의 패러다임을 바꾸겠습니다.",광섬유 기반 광학 현미경 시스템 개발 공초점 형광 현미경 광학계 개발 광효율 및 광노이즈 개선 이미지 품질 및 해상도 개선 기타 광학 현미경 시스템 개발,서류전형 > 1차 인터뷰 (전화/메일) >  2차 인터뷰 (대면/화상) > 건강검진 > 결과발표,"출퇴근
- 8~10시 사이 30분 단위로 자율출근후 출근시간에 따라 17~19시 퇴근
- 주차장 제공

보험 지원
- 단체상해보험가입
- 퇴직연금보험제도운영

조직문화
- 자유로운 연차사용
- 님 호칭 문화

급여제도
- 성과평가에 따른 성과급 지급
- 비정기성과급지급
- 스톡옵션제도운영

생활/근무환경
- 명절선물
- 자유복장
- 생일 케익 및 축하
- 야근 시 저녁식사지원
- 법인차량 운영",대전 중구 계룡로 774,레이저 기반 광학 현미경Confocal OCT multiphoton SHIM 등 관련 석사 이상 공초점 형광반사 광학계 시스템 구축 경험 SM mode 광섬유 기반 연구 경험 광학 부품 렌즈 필터 미러 등을 활용한 광학계 설계 및 연구 경험 바이오이미징 관련 연구 경험 새로운 기술에 관심이 많고 꾸준히 학습하시는 분,4603
(주)테크엑스,정규직,"['Auto CAD', '2D설계']","2016년 설립되어 현재 7년차 회사이며, 13명의 직원으로 매년마다 매출상승으로 운영되고 있는 회사입니다.
(주)대성하이텍의 계열사이며, 반도체장비(EFEM,LPM,TM) 설계 부터 제작까지 주 사업부분 입니다.", 반도체장비EFEMLPMTM 전장설계 거래처대응,"* 서류전형
* 실무자면접","차량유지비, 통신비지원, 명절선물, 생일선물, 연차, 반차, 경조휴가",경기 화성시 정남면 용수길 66, 전기과 전자과 메카트로닉스 및 공학계열 2DAuto CAD 설계 Tool 활용 가능자 해당직무 근무경험 반도체 장비 경험자 반도체 물류장비 경험자 관련 자격증 보유 우대,4604
(주)티엘아이,정규직,"['연구개발', '설계']","""Technology Leaders & Innovators""
티엘아이는 1998년 10월에 설립한 반도체 직접회로 Fabless 회사 입니다.
디스플레이 패널 의 핵심 칩셋인 Timing Controller와 Driver IC를 설계, 생산하여 주요거래처에 매출을 발생시키고 있습니다.
디스플레이 기술 발전에 따라 OLED, Micro LED등의 차세대 디스플레이 칩셋을 계속적으로 개발하여 사업을 확장해 나가고 있습니다.

티엘아이는 국내 최고 수준의 반도체 Fabless 회사 도약을 준비하고 있습니다.
매일 도전하는 티엘아이와 함께 성장 할 여러분을 모십니다!
", 아날로그 회로설계 Digital 회로설계,"[지원 및 진행 절차]
• 지원서류 : 자유양식의 이력서(필수), 포트폴리오(PPT, PDF 형식 권장)
• 신입의 경우 포트폴리오는 그동안 연구 했던 내용을 토대로 작성.
• 진행절차 : 서류전형 ＞ 1차(실무) 인터뷰 ＞ 2차(임원) 인터뷰 ＞ 처우협의 ＞ 최종합격
 - 지원자의 이력 및 경력 사항에 따라 일부 면접 과정이 생략되거나 추가될 수 있습니다.","[혜택 및 복지]
- 식비, 커피 걱정 하지 마세요! 식사(조,중,석식) 지원 및 커피포인트 지급
- 자기 계발 필요하세요? 자기계발에 관한 교육비 전액 지원!
- 상위학위취득 필요하세요? 시간 비용 지원!

[우리 오래 일해요!]
- 장기근속의 감사한 마음을 담아 장기근속 포상!
- 기념일(생일, 결혼기념일) 및 명절선물도 지원!
- 열심히 일한 당신! 우수사원 포상!
- 기쁘고 슬픈일 모두 함께해요! 경조금, 경조사비 지원, 상조회 운영
- 건강한 회사생활 하세요! 건강검진비용, 단체보험 가입!
- 리플레쉬 하고싶으시죠? 회사 콘도회원권, 제주도 연수원 회원가로 이용가능
- 큰 차가 필요하세요? 회사 차량(카니발) 렌트 해 드립니다
- 생활안정자금 필요하세요? 대출 지원!
- 회사와 먼 곳에 거주하세요? 사옥주차 지원!, 기숙사 지원!
- 자녀 돌봄 도와드릴께요! 자녀 교육비(고등학교, 대학교) 지원!",경기 성남시 중원구 양현로405번길 12 티엘아이빌딩, 석사이상 전자 전기 공학 전공 전자 전기공학 석사 이상 학위자,4605
(주)티엘아이,정규직,"['연구개발', '설계']","""Technology Leaders & Innovators""
티엘아이는 1998년 10월에 설립한 반도체 직접회로 Fabless 회사 입니다.
디스플레이 패널 의 핵심 칩셋인 Timing Controller와 Driver IC를 설계, 생산하여 주요거래처에 매출을 발생시키고 있습니다.
디스플레이 기술 발전에 따라 OLED, Micro LED등의 차세대 디스플레이 칩셋을 계속적으로 개발하여 사업을 확장해 나가고 있습니다.

티엘아이는 국내 최고 수준의 반도체 Fabless 회사 도약을 준비하고 있습니다.
매일 도전하는 티엘아이와 함께 성장 할 여러분을 모십니다!
", ESD Circuit DesignLayout FullChip ESD Analysis Design Guide ,"[지원 및 진행 절차]
• 지원서류 : 자유양식의 이력서(필수), 포트폴리오(PPT, PDF 형식 권장)
• 진행절차 : 서류전형 ＞ 1차(실무) 인터뷰 ＞ 2차(임원) 인터뷰 ＞ 처우협의 ＞ 최종합격
 - 지원자의 이력 및 경력 사항에 따라 일부 면접 과정이 생략되거나 추가될 수 있습니다.","[혜택 및 복지]
- 식비, 커피 걱정 하지 마세요! 식사(조,중,석식) 지원 및 커피포인트 지급
- 자기 계발 필요하세요? 자기계발에 관한 교육비 전액 지원!
- 상위학위취득 필요하세요? 시간 비용 지원!

[우리 오래 일해요!]
- 장기근속의 감사한 마음을 담아 장기근속 포상!
- 기념일(생일, 결혼기념일) 및 명절선물도 지원!
- 열심히 일한 당신! 우수사원 포상!
- 기쁘고 슬픈일 모두 함께해요! 경조금, 경조사비 지원, 상조회 운영
- 건강한 회사생활 하세요! 건강검진비용, 단체보험 가입!
- 리플레쉬 하고싶으시죠? 회사 콘도회원권, 제주도 연수원 회원가로 이용가능
- 큰 차가 필요하세요? 회사 차량(카니발) 렌트 해 드립니다
- 생활안정자금 필요하세요? 대출 지원!
- 회사와 먼 곳에 거주하세요? 사옥주차 지원!, 기숙사 지원!
- 자녀 돌봄 도와드릴께요! 자녀 교육비(고등학교, 대학교) 지원!",경기 성남시 중원구 양현로405번길 12 티엘아이빌딩, ESD IO Clamp EOS DesignAnalysis에 대한 지식 및 양산지원 업무 경험자 전자 전기공학 석사 이상 학위자 해당 업무 경험자,4606
(주)티엘아이,정규직,"['연구개발', '설계']","""Technology Leaders & Innovators""
티엘아이는 1998년 10월에 설립한 반도체 직접회로 Fabless 회사 입니다.
디스플레이 패널 의 핵심 칩셋인 Timing Controller와 Driver IC를 설계, 생산하여 주요거래처에 매출을 발생시키고 있습니다.
디스플레이 기술 발전에 따라 OLED, Micro LED등의 차세대 디스플레이 칩셋을 계속적으로 개발하여 사업을 확장해 나가고 있습니다.

티엘아이는 국내 최고 수준의 반도체 Fabless 회사 도약을 준비하고 있습니다.
매일 도전하는 티엘아이와 함께 성장 할 여러분을 모십니다!
", LED Driver IC 특성 평가,"[지원 및 진행 절차]
• 지원서류 : 자유양식의 이력서(필수), 포트폴리오(PPT, PDF 형식 권장)
• 진행절차 : 서류전형 ＞ 1차(실무) 인터뷰 ＞ 2차(임원) 인터뷰 ＞ 처우협의 ＞ 최종합격
 - 지원자의 이력 및 경력 사항에 따라 일부 면접 과정이 생략되거나 추가될 수 있습니다.","[혜택 및 복지]
- 식비, 커피 걱정 하지 마세요! 식사(조,중,석식) 지원 및 커피포인트 지급
- 자기 계발 필요하세요? 자기계발에 관한 교육비 전액 지원!
- 상위학위취득 필요하세요? 시간 비용 지원!

[우리 오래 일해요!]
- 장기근속의 감사한 마음을 담아 장기근속 포상!
- 기념일(생일, 결혼기념일) 및 명절선물도 지원!
- 열심히 일한 당신! 우수사원 포상!
- 기쁘고 슬픈일 모두 함께해요! 경조금, 경조사비 지원, 상조회 운영
- 건강한 회사생활 하세요! 건강검진비용, 단체보험 가입!
- 리플레쉬 하고싶으시죠? 회사 콘도회원권, 제주도 연수원 회원가로 이용가능
- 큰 차가 필요하세요? 회사 차량(카니발) 렌트 해 드립니다
- 생활안정자금 필요하세요? 대출 지원!
- 회사와 먼 곳에 거주하세요? 사옥주차 지원!, 기숙사 지원!
- 자녀 돌봄 도와드릴께요! 자녀 교육비(고등학교, 대학교) 지원!",경기 성남시 중원구 양현로405번길 12 티엘아이빌딩, LED SignageBacklight IC 및 Module 평가에 대한 지식 및 업무 경험자 전자 전기공학 석사 이상 학위자 해당 업무 경험자,4607
