회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)오렌지풋볼네트워크,정규직,"['서비스기획', '웹기획', 'UI기획', 'UX기획', '사용자조사']","Orange Football Network는 
전세계 유소년들이 유럽 명문구단 코치들의 지식과 노하우에 접근할 수 있는
글로벌 스포츠 교육 콘텐츠 플랫폼 OFN 서비스입니다. 



맨유, 맨시티, 웨스트햄, 발렌시아 등 40여명의 유럽명문 구단의 코치분들과 함께 콘텐츠를 제작하고

2020년, 2021, 2022년 투자를 유치하며 빠르게 성장하고 있는 스타트업입니다. 




동종업계의 매각경험이 있는 대표와 경력자들이 모여 
글로벌 서비스를 런칭하고 60개국 이상의 유저들에게 좋은 반응을 얻고 있으며
올해 초부터는 유료화도 성공적으로 진행되고 있습니다. 


각 분야의 목소리가 합쳐지기 위해 
누구나 의견을 내고 논의하기에 편안한
수평적인 문화를 지향하고 있습니다. 
파트별 업무들이 주도적으로 계획되고 진행됩니다. 


회사와 함께 성장하며
글로벌 스포츠 시장에 센세이션을 만드실 분들!
함께 하시죠!", 앱웹기획UIUX 설계 서비스 정책 수립 협업을 통한 프로젝트 리딩 유저 데이터 분석 서비스 지표 분석 데이터경쟁사고객 피드백내외부 환경 분석을 통한 인사이트 도출 및 실행,,"• 지금이 합류하기 좋은 타이밍인 이유!


보통 초기 스타트업에서는 너무 작은 연봉과 너무 큰 리스크를 감수해야합니다. 
반대로 이미 성장한 회사에서는 
회사가 성장해도 개인에게 돌아가는 경제적인 보상은 매우 작거나 없는 경우가 많습니다. 

저희 오렌지풋볼은 Pre A 라운드 투자유치를 마무리하는 단계로
본격적인 성장을 앞두고 있는 단계입니다. 

스타트업이지만 연봉을 낮추지 않아도 되고 
스톡옵션을 통해 회사의 성장과 함께 
일반 회사에서는 생각하기 어려운 큰 보상을 가져갈 수 있는 단계입니다.
회사의 성장과정에서
연봉과 큰 보상을 함께 가져갈 수 있는 유일한 타이밍입니다. 

이미 업계에서 매각 경험이 있는 대표와 
각 분야 전문성있는 팀원들이 함께 하고 있습니다. 
본격적인 성장을 위해 각 파트에서 힘이 되어주실 분들을 모셔오고 있습니다. 





• 오렌지풋볼과 잘 맞는 분


자유로운 분위기에서
재미있게 일하는 걸 좋아하시는 분! 

누가 시키는 일보다는
주도적으로 일하고 싶으신 분! 

글로벌 시장의 수 많은 사람들에게
의미있는 일로
큰 꿈을 이뤄가실 분! 


지원해주세요!","서울 관악구 낙성대로4가길 5, 낙성벤처창업센터 낙성대동주민센터점 2층 2호", 겸손함 배려심 성장에 대한 욕심 재미있으신 분 글로벌 서비스에 관심있으신 분 축구 잘하시는 분 축구 좋아하시는 분 축구가 너무 싫지는 않으신 분,2634
(주)띵스파이어,정규직,"['사업관리', '프로젝트관리', 'pm', '솔루션', '프로젝트매니저', '기술기획', '소프트웨어개발', '프로젝트 기획', 'it개발', '외국어(영어)']",,사업관리기술기획IT 개발 역량,서류전형-임원면접-최종합격,"주5일근무
연차,반차,경조휴가
4대보험,퇴직금
각종 경조금 지원, 인센티브제, 장기근속자 포상, 성과급
건강검진
교육비 지원, 자기계발비 지원, 도서구입비 지원
국민연금, 고용보험, 건강보험, 퇴직연금
휴게실, 카페테리아, 사내정원
육아휴직, 노동절 휴무
워크샵/MT","서울 용산구 한강대로96길 27, 1층",학력  대졸이상경력  경력10년이상석사학위 수여자박사학위 수여자관련학과 전공자관련 자격증 보유자영어능통자원어민수준국가공공기관 출신자장기근무 가능자유관업무 경력자 10년자격증  정보처리기사전공  전산학 컴퓨터공학 산업공학 에너지공학,2635
(주)띵스파이어,정규직,"['사업관리', 'AI', '사업기획', 'OA', '외국어(영어)']","(주)띵스파이어
글로벌기반 에너지/탄소회계 SW 플랫폼 개발자/기획자 모집!
띵스파이어는 에너지/탄소관련 소프트웨어 플랫폼 및 AI 전문 기업으로, 직원 29명, 22년 매출 29억, 순이익 6억, 신용평가등급 BB-입니다.
현재 가상유틸리티기반에너지공유시스템, 전기차데이터플랫폼 구축등, 에너지자급자족 인프라 구축 플랫폼서비스 등 R&D 및 사업에 참여하고 있습니다.
태양광발전예측, 풍력블레이드 이상진단 등 AI 분야도 진행되고 있습니다.
최근 3개산단 210개 공장을 대상으로 하는 Cloud 기반 FEMS 서비스 구축사업의 위탁개발회사로 지정되었고, GIS 기반 에너지빅데이터서비스(www.energis.kr) 운영중, POC 개념의 글로벌 탄소지도 포함 스마트에너지플랫폼 연계 중소기업 탄소량 산출(Scope 1, Scope2) 서비스 구축 용역 수주 및 당사는 Carbon Accounting 플랫폼을
자체 R&D 진행 중으로 현재 10여만개의 탄소배출계수 확보 및 23000여개의 가공 DB 확보 및 API 개발 중입니다.
글로벌 서비스를 위해 영어 버전으로 개발 되고 있으며, 우선 스마트에너지플랫폼 수용가 대상 서비스가 2023년에 예정되어 있습니다.
또한, 제조업 중심으로 절감된 에너지 절감분을 오프셋 거래가 가능하도록 하는 부분과 Carbon Analytics를 아우르는 종합적 카본 플랫폼을 구축해나가고 있습니다.
",에너지절감 및 탄소배출권 관련 사업관리 및 기획 인력스킬 OA,서류전형-임원면접-최종합격,"주5일근무
연차,반차,경조휴가
4대보험,퇴직금
각종 경조금 지원, 인센티브제, 장기근속자 포상, 성과급
건강검진
교육비 지원, 자기계발비 지원, 도서구입비 지원
국민연금, 고용보험, 건강보험, 퇴직연금
휴게실, 카페테리아, 사내정원
육아휴직, 노동절 휴무
워크샵/MT","서울 용산구 한강대로96길 27, 1층",학력  대졸이상경력 경력 5년이상전공  에너지공학 산업공학 화학공학,2636
(주)띵스파이어,정규직,"['설비', '서비스기획', '환경', '제조기술', '컨설턴트', '리포트 작성']","(주)띵스파이어
글로벌기반 에너지/탄소회계 SW 플랫폼 개발자/기획자 모집!
띵스파이어는 에너지/탄소관련 소프트웨어 플랫폼 및 AI 전문 기업으로, 직원 29명, 22년 매출 29억, 순이익 6억, 신용평가등급 BB-입니다.
현재 가상유틸리티기반에너지공유시스템, 전기차데이터플랫폼 구축등, 에너지자급자족 인프라 구축 플랫폼서비스 등 R&D 및 사업에 참여하고 있습니다.
태양광발전예측, 풍력블레이드 이상진단 등 AI 분야도 진행되고 있습니다.
최근 3개산단 210개 공장을 대상으로 하는 Cloud 기반 FEMS 서비스 구축사업의 위탁개발회사로 지정되었고, GIS 기반 에너지빅데이터서비스(www.energis.kr) 운영중, POC 개념의 글로벌 탄소지도 포함 스마트에너지플랫폼 연계 중소기업 탄소량 산출(Scope 1, Scope2) 서비스 구축 용역 수주 및 당사는 Carbon Accounting 플랫폼을
자체 R&D 진행 중으로 현재 10여만개의 탄소배출계수 확보 및 23000여개의 가공 DB 확보 및 API 개발 중입니다.
글로벌 서비스를 위해 영어 버전으로 개발 되고 있으며, 우선 스마트에너지플랫폼 수용가 대상 서비스가 2023년에 예정되어 있습니다.
또한, 제조업 중심으로 절감된 에너지 절감분을 오프셋 거래가 가능하도록 하는 부분과 Carbon Analytics를 아우르는 종합적 카본 플랫폼을 구축해나가고 있습니다.
",제조업대상 LCA 컨설턴트로 탄소배출계수 적용 및 리포트작성탄소회계 서비스기획,서류전형-임원면접-최종합격,"주5일근무
연차,반차,경조휴가
4대보험,퇴직금
각종 경조금 지원, 인센티브제, 장기근속자 포상, 성과급
건강검진
교육비 지원, 자기계발비 지원, 도서구입비 지원
국민연금, 고용보험, 건강보험, 퇴직연금
휴게실, 카페테리아, 사내정원
육아휴직, 노동절 휴무
워크샵/MT","서울 용산구 한강대로96길 27, 1층",학력  대졸이상경력 경력5년이상영어능통자원어민수준석사학위 수여자유관업무 경력자 5년,2637
(주)플러그링크,정규직,"['사업계획', '신규사업기획', '재무분석', '계약서 검토', '법인설립', '투자관리', '펀딩']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다", 글로벌 투자사들과 전기차 충전 태양광 풍력 등 친환경에너지 프로젝트의 금융구조 최적화를 위한 사업계획 재무  모델 구축 펀딩 전략 및 집행안 마련대출약정서 임대차계약 양수도 계약 EPCOM 계약 등을 포함한 관련 계약 검토협의 및 관리 투자 합작법인 설립 투자 이후 자금 출금 및 인출 자산관리 투자자 보고 등 어드민 업무 신규 투자 유치 및 투자자 대응,서류심사-1차인터뷰-2차인터뷰(생략가능)-최종합격,,"서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)", 재무 회계에 대한 기초적인 지식을 보유하신 분 새로운 시도와 실패를 두려워하지 않는 도전적인 정신을 보유하신 분 다양한 관계부서와의 커뮤니케이션에 능통하신 분 MS Office PowerPoint Excel Word 활용 중상급 이상이신 분금융기관컨설팅 회계법인 관련 경험이 있으신 분 발전 에너지 등 인프라 자산 투자 경험이 있으신 분 영어가 능통하신 분,2638
(주)플러그링크,정규직,"['분석', '보고서 작성', '운영기획', '모니터링', '문제해결능력']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다
",전기차 충전기의 운영데이터 모니터링 및 분석 전기차 충전기 운영문제 해결 및 재발 방지전기차 충전기 운영보고서 작성운영 업무의 효율성을 높이기 위한 방안 제시,서류심사-1차인터뷰-2차인터뷰(생략가능)-최종합격,,"서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)",데이터에 기반하여 문제를 파악하고 지표를 개선한 경험이 있으신 분 사용자 관점으로 충전경험에서 발생하는 불편함의 원인을 고민하고 답을 찾기 위해 노력하시는 분 Excel 활용 능력이 중상급 이상이신 분동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분새로운 시도와 실패를 두려워하지 않는 도전적인 성격을 지니신 분CX 개발자 디자이너 등 협업 부서와의 커뮤니케이션에 능통하신 분전기자동차 및 충전 관련 유사업무 경험이 있으신 분디바이스를 활용한 서비스나 IoT 기반 서비스 BM에 대한 이해도가 높으신 분창업 혹은 스타트업에서 근무한 경험이 있으신 분,2639
디엑스앤브이엑스(주),정규직,"['사업계획', '시장조사', '매출관리', '경영기획', '손익분석', '사업전략수립', '신상품기획']",,채용직급  차부장급 1명 분야 컨슈머 및 헬스케어 비즈니스 전사 영업 사업전략 기획 및 현황 분석 단기 중장기 계획 수립 및 관리 사업 전략 수립 신규 사업 발굴 타당성 분석 경영성과 및 실적관리 매출 관리 손익 분석 사업 계획 단기 중장기 계획 수립 및 관리 신규 상품 기획 및 출시 주요 사업 제휴 및 기술 파트너 발굴 경쟁사 분석 및 시장 조사 국내외 시장 및 트렌드 조사 분석,,,"서울 금천구 디지털로 173, 10층 1003호",학력  대졸 이상 4년경력  업무 경력 10년 이상어학  영어회화 가능자 경영 및 상경계열 전공 해외대학 졸업자 재무 회계 관련 기본 지식 신규 사업 경험 기획부터 런칭까지 전략기획 신사업 개발 및 검토 관련 경험 데이터 분석 및 OA 활용 능력 우수,2640
영리빙코리아(유),계약직,"['전략기획', 'pl', '프로젝트매니저', 'it컨설팅', '기술기획']","자연의 살아있는 에너지-에센셜오일과 함께
대한민국의 풍요로운 삶을 전달할 영리빙 코리아의 가족을 모십니다

ㆍ회사 홈페이지 : https://www.youngliving.com/ko_KR
ㆍ회사 유튜브 : https://www.youtube.com/channel/UCeYOwjKqYQAutE1Jg9e49XA
ㆍ회사 인스타 : https://www.instagram.com/younglivingkorea/
",IT Vendor 및 사업계획 관리정보화 전략계획수립  시스템 TO_BE 구성안 수립IT타당성 검토 및 효과분석IT도입 및 운영관리  프로젝트 Management비즈니스 프로세스 분석 업무 수행ERP  BSI JDE legacy System 운영신규 ERP 프로젝트 관리infra  AWSAmazon Web ServicesDB  mysqlsystem  java spring boot,서류전형-1차면접-2차면접-최종합격,"지원금/보험 건강검진, 의료비지원(본인), 각종 경조사 지원, 단체 상해보험, 복지카드/포인트, 주요 제품 직원 할인
급여제도 인센티브제, 퇴직금, 4대 보험
선물 웰컴키트 지급
교육/생활 간식 제공
근무 환경 휴게실, 회의실, 노트북, 사원증, 자회사 제품할인, 사무용품 지급
출퇴근 야간교통비지급, 탄력근무제, 재택근무
리프레시연차, 여름휴가, 반차, 육아휴직","서울 강남구 테헤란로 419, 9층",학력  4년제 대졸 이상경력  업무경력 10년 이상ERPWMS 운영 및 PM경력자IT 시스템 통합 구축 및 운영 경력자ITHWSWDBMS 기타 솔루션 등에 대한 전반적인 지식 보유자기업체 IT기획운영 팀장 경험자더존ERP 운영자 유통 생산 및MLM 이력 우대영어능통자Cloud computing operating system database networking securityIT Project Management Global Communication Problem Solving Skill 경험자,2641
(주)타이드,정규직,"['프로젝트관리', '번역', '기술문서', '홍보물제작', '전시회 참여', '정부과제수행']",,프로젝트 운영관리 및 관련 업무연구소 기술 문서 번역 지원기술 미팅 지원회의 일정 조율 자료 준비정부과제수행 지원국내외 전시회 참여 및 관련 홍보물 제작   브로셔 발표자료,"서류전형-면접전형(실무진 및 임원진)-최종합격
","급여제도 상여금, 퇴직금, 4대 보험
선물 명절선물/귀향비, 생일선물/파티
교육/생활 저녁식사 제공, 음료제공(차, 커피)
근무 환경 회의실, 노트북
조직문화 회식강요 안함, 자유복장
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무","서울 중구 서소문로 115, 503호",대졸 이상2 3년 또는 졸업예정자신입이공계열토익 500점 이상 혹은 토익스피킹 120점 이상영어에 대한 부담 없이 모두 지원 가능합니다   많은 지원 바라며 신입사원들에게는 성장과   경험이 풍부한 기회가 기다리고 있습니다   지원해주셔서 감사합니다,2642
(주)타이드,정규직,"['기술지원', '연구소', '프로젝트 운영', '홍보물제작', '전시회 참여', '정부과제수행']",,프로젝트 운영관리 및 관련 업무연구소 기술 문서 번역 지원기술 미팅 지원 회의 일정 조율 자료 준비정부과제수행 지원국내외 전시회 참여 및 관련 홍보물 제작   브로셔 발표자료,서류전형-면접전형(실무진 및 임원진)-최종합격,"급여제도 상여금, 퇴직금, 4대 보험
선물 명절선물/귀향비, 생일선물/파티
교육/생활 저녁식사 제공, 음료제공(차, 커피)
근무 환경 회의실, 노트북
조직문화 회식강요 안함, 자유복장
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무","서울 중구 서소문로 115, 503호",대졸 이상2 3년 또는 졸업예정자경력자의 경우 관련 업무 경력 1년 이하이공계열토익 500점 이상   혹은 토익스피킹 120점 이상영어에 대한 부담 없이 모두 지원   가능합니다 많은 지원 바라며   신입사원들에게는 성장과 경험이   풍부한 기회가 기다리고 있습니다   지원해주셔서 감사합니다,2643
