회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
마이뮤직테이스트,정규직,"['python', 'typescript', 'React.js']","마뮤테는 전 세계 K-POP 팬들에게 큰 즐거움과 행복을 전달하고자 하는 철학을 가지고 탄생한 플랫폼입니다. 팬들의 요청에 기반한 공연 개최, 팬 사인회 & 팬 미팅 등 팬 중심의 여러 이벤트를 진행하였습니다.
또한, 팬데믹의 한가운데에서도 글로벌 온라인 스트리밍 플랫폼 출시로 팬들의 갈증을 해소해 줌으로써 마뮤테는 K-POP 팬들에게 없어서는 안 될 플랫폼으로 자리 잡았습니다.
그러나, 마뮤테는 현실에 안주하지 않을 것입니다. 버블, 위버스를 뛰어넘어, K-POP 팬들을 위한 엔터테인먼트 소셜 네트워킹 플랫폼의 새로운 패러다임을 제시하고자 합니다!", 마이뮤직테이스트 플랫폼이 전세계 음악 팬들을 흡수할 수 있도록 매력적인 방향으로 나아갈 길을 제시합니다우리의 플랫폼은 KPOP시장에 새로운 미래를 제시할 수 있습니다 네트워크 상황과 사용하는 디바이스가 모두 다른 전세계의 음악 팬들에게 빠르고 안정적으로 콘텐츠를 전달하기 개발부서 전단계에 걸쳐 기획하고 운영합니다 함께하는 개발자들의 생산성을 향상시키고 빠르고 유연하게 비즈니스를 실현할 수 있도록 리드 합니다 관련된 표준 규정GDPRCCAP등을 준수할 수 있는 환경을 제공합니다 좋은 유저 경험을 지속적으로 제공하고 빠르게 문제를 발견하기 위해 각종 테스트 환경과 성능 모니터링 환경을 만들어가고 있습니다,,"• 자율 출퇴근제 (시차 출근제) : 꽉 막힌 버스 와 지하철 출퇴근길에서 해방해 드립니다!
• 자율 재택근무 (출근 병행 가능) : 효율적인 업무는 든든한 (집)밥심으로 부터 나옵니다.
• 무제한 연차 사용 (수습 기간 이후 적용) : 기막힌 아이디어와 기획은 쉬고 있을 때 번뜩입니다!
• 업무 도서 구매 지원 : 독후감 없습니다!
• 업무 관련 장비 지원 : 최신 장비의 편의성을 경험하세요!
• 무선 노이즈 캔슬링 헤드폰 지원 : 노래를 들으면서 업무해야 능률이 올라가는 편 입니다",서울특별시 강남구 학동로50길 14-1 KP타워 , 5년 이상 개발 조직을 리드한 경험이 있으신 분 공학 또는 관련 분야의 학사 학위 또는 동등한 수준의 경험이 있는 분 팀에 동기를 부여하고 리드할 수 있는 분 MyMusicTaste의 플랫폼에 책임감을 가지고 애자일 개발 프로세스 안에서 정해진 직무를 수행하는 테크니션 다른 사람들의 의견을 받아들일 줄 알며 개발에 관한 다양한 지식과 기술을 바탕으로 디자이너 개발본부의 방향성을 제시할 수 있는 능력이 있으신 분 더 나은 개발 프로세스를 위해 새로운 웹 개발 기술들을 꾸준히 연구해 나가는 능동적인 탐험가마뮤테 개발본부는 아래의 기술을 다룹니다 Frontend Typescript Reactjs Nextjs Mobx Monorepo Deployed on an Auto Scaling Group ASG behind a Cloudfront CDN Backend Python FastAPI Starlette Localstack Deployed on AWS Fargate Microservices Architecture codenamed Mk3  AWS Lambda Monolithic Serverless codenamed Mk4 behind a Cloudfront CDN Data Engineering GCP Hotjar Mixpanel etc Streaming OBS BlackMagic Capture devices Monorepo 구조에서 프로젝트를 진행하며 유지보수를 한 경험 트래픽이 많은 웹서비스 또는 인앱브라우저 개발 경험 테스트 작성 및 테스트 자동화 및 배포 자동화 경험 웹사이트 성능 측정 및 최적화 경험 NoSQL 데이터베이스 사용 경험 클라우드 컴퓨팅에 대한 이해 및 경험 비동기 프로그래밍에 대한 이해 및 경험 마이크로서비스에 대한 이해 및 경험 도커와 컨테이너에 대한 이해 및 경험 DomainDriven Design에 대한 이해 및 경험 오픈소스 프로젝트 참여 경험 데이터 보안을 고려한 소프트웨어 개발 경험 NIX계열 OS 사용 경험,2311
아이엔지스토리(주),정규직,"['Javascript', 'python', 'nosql', '클라우드']","아이엔지스토리는 스터디카페/독서실 관리 솔루션 `픽코파트너스`로 시작하여 2021년 프레임워크 구조로 전환하면서 모듈형 SaaS로 성장하였고, 이제는 국내에서 손꼽히는 무인 공간 테크기업이자, 스터디카페/독서실/공유오피스/공유창고/헬스장 등 국내 최대 공간 공유 경제 서비스이며, 전국 2,000여개 매장에 SaaS + Kiosk를 도입하여 연간거래액 1,400억원에 달하는 국내 최대 규모의 온오프라인  광고플랫폼으로 성장해 나가고 있습니다.

우리 회사의 경쟁력은 온라인 소프트웨어가 오프라인에 녹아들어서 융합하는데 있습니다. 오프라인 공간에서 고객과 직접 부딪히는 경험을 통해 누구보다 고객의 니즈를 빠르게 파악하여 소프트웨어에 적용할 수 있다는 점이 한정된 고객 경험을 토대로 소프트웨어를 개발해야 하는 회사는 따라올 수 없는 우리만의 경쟁력이 되는 것입니다.

INGSTORY의 여정에 함께하실 백엔드 개발자님을 찾습니다:)", 자사 웹솔루션 백엔드 개발 및 운영,,"1. 라이프스타일

• 메이저 종합건강검진기관 연 1회 건강검진 지원

• 생일자 오전근무 후 퇴근제도

• 격월로 오전근무 후 오후에 회사 지원금으로 문화생활 지원

• 자녀 출산시 생후 12개월까지 월 최대 20만원 기저귀 비용 지원

• 자녀 대학 입학시 입학축하금 지원

• 직무관련 자기계발비 지원

2. 명절/기념일

• 추석/설날 명절 상여금 및 선물 지급

• 각종 경조사 지원

• 장기근속자 포상 (3년/6년/9년)

• 연말 인당 30만원 백화점 상품권을 제공하여 즐기는 쇼핑데이

3. 사내 시설 및 지원

• 회의실, 소파 라운지, 카페테리아

• 공기청정기, 코웨이 방향제

• 각종 음료가 구비된 양심냉장고

• 출출한 배를 채울 수 있는 라면스테이션

• 커피원두 무제한

4. 경비지원

• 점심 식대 사용가능한 연 200만원의 복지카드 제공

• 야근식대, 미팅식대, 미팅음료비 제공

• 차량사용시 유류대 제공 (개인차량 사용시 감가상각 고려)

• 지방출장시 숙박비 제공","서울시 강남구 테헤란로111, 5층 (역삼동, 대건빌딩)", 백엔드 개발 경험 최소 5년 JavascriptNodejs PHP7에 대한 이해도가 있으신 분 RDBMSNOSQL 개발운영 경험이 있으신 분 코드 리뷰에 긍정적이고 자기 주도적이며 원활한 커뮤니케이션이 가능하신 분 PHP frameworkCI 사용 경험이 있으신 분 Python Nginx React 에 대한 경험이 있으신 분 클라우드 환경에 익숙하신 분 버전관리 시스템git 사용 경험이 있으신 분 스타트업 경험자 및 진취적 열정을 가진 사람,2312
(주)에이모,정규직,"['C++', 'python', 'shell', 'Tensorflow', 'Pytorch']","Enabling a data-powered tomorrow 
데이터 관점의 기술 혁신으로 AI 시장의 성장을 돕고
일반 기업들도 자유롭게 AI 활용을 할 수 있는 서비스를 제공하기 위해 팀 동료를 찾고 있습니다.
에이모와 함께 글로벌 AI 데이터 컴퍼니를 만들어갈 분이라면 바로 지원해주세요!", 센서 연동 카메라 라이다  딥러닝 모델 포팅  딥러닝 모델 경량화,서류->코딩테스트->1차 면접 ->2차 면접 ->합격자 인터뷰 ->최종합격,"[AIMMO Team Culture] 
01. Accountability 
자율성이 더 나은 퍼포먼스를 가져온다고 생각합니다.
모든 팀원은 더 나은 제품과 서비스를 제공하기 위해 리더처럼 일합니다.

02. Growth 
갈등이 두려워 논쟁을 피하거나 더 좋은 것을 '익숙함' 때문에 포기하지 않습니다.  
매일매일 서비스와 함께 성장해 갑니다.

03. Playful 
생일파티, 탁구대회, Year-End Party 등 갑작스럽고 비정기적인 소소한 이벤트로 즐거움을  선물합니다.

04. Flexibility 
형식에 얽매이지 않는 유동적인 조직으로, 실질적인 문제에 집중하여 과감한 답을 찾습니다. 
새로운 트렌드와 기술도 적극 수용하고 활용하여 새로운 가치를 찾아냅니다.


[AIMMO Benefits] 
01. 자유로운 업무환경 
· 유연한 근무제도
· 수평적인 호칭 체계 및 수평적 문화  
· 서울 거점 오피스 운영  
· 자율 좌석제 운영

02. Work of Life Balance 
· 자유로운 연차 사용
· AIMMO Family Day 

03. AIMMO 편의시설 
· 탁구대, 워크스테이션, 안마기구, 스탠딩 책상 설치  
· 라운지 원두커피, 차 무제한 제공
· 간식비 지원

04. 건강케어
· 연 1회 종합 건강검진 지원  
· 신선한 제철과일 제공

05. 자기개발 지원 
· 업무 관련 도서 무제한 지원 
· 교육 및 세미나비 지원
· AI 분야 전문 지식교육 지원 
· 신규 입사자 및 관리자 교육 
· 직무 분야별 전문가 과정 교육 
· 연 2회 부서별 워크샵 예산 지원  

06. 다양한 복지 지원 
· 복지플랫폼 포인트 지급 (쇼핑, 여가, 교육 등 선택적 복리후생)  
· 장기 근속자 포상금, 포상휴가
· 명절 선물 지급
· 생일 케이크 쿠폰 지급  
· 경조휴가 및 경조금 지원  
· 통신비 지원","경기 성남시 분당구 판교로228번길 17, 이랜텍동9층 / 경기도 성남시 분당구 벌말로50번길 41, 투아이센터7층", 관련 분야 석사 학위 이상 소지자 알고리즘 컴퓨터 로봇 등 및 유관 경력 5년 이상  엣지 디바이스 개발 경험 Embedded Linux  센서 연동 경험 카메라 라이다  PyTorch Mobile TensorFlow Lite ONNX NCNN TensorRT 중 최소 1개 이상의 라이브러리를 사용해본 경험제출서류 자율 양식의 이력서   필수 포함내용 성향 및 업무 가치관 개발경험 성공 및 실패 경험협업 or 프로젝트 진행 관련  개발 성과협업 경험을 보여줄 수 있는 포트폴리오 숙련된 프로그래밍 능력 C Shell Python  엣지 디바이스를 사용하여 딥러닝 모델을 포팅하고 추론해본 경험  딥러닝 모델 경량화 경험,2313
(주)코닉글로리,정규직,"['java', 'rest api', 'spring boot', 'elasticsearch', 'Docker', 'json', 'mariadb', 'Kubernetes']","네트워크 보안 전문기업 (주)코닉글로리

2007년 설립되어 IT시장의 근간이 되는 네트워크 분야에서 인정받는 기업으로 성장 하였으며, 국내 최고 수준의 유·무선 보안 기술력을 바탕으로 TMS부분 국내 1위(M/S 90% 이상), 국내 최초 WIPS (CC인증 EAL4) 출시 등의 성과를 이루었으며, 기존 네트워크 사업과 보안사업을 더욱 강화하여 IT 인프라 구축 및 안전한 유/무선 네트워크 환경을 위한 솔루션 및 서비스를 제공하는 글로벌 IT 보안 전문기업을 목표로 지속적인 성장을 이어가고 있습니다.

㈜코닉글로리는 기업의 IT 인프라 구축 및 네트워크의 안정적인 서비스를 위해 인터넷 트래픽 솔루션 및 스토리지 솔루션, 네트워크 솔루션, 보안 솔루션 등의 다양한 솔루션을 제공하고 있습니다. 이런 솔루션을 바탕으로 고객의 안정적인 서비스를 최우선으로 생각하고 있으며 네트워크 및 트랙픽 관리 분야,보안 분야의 핵심 기술들을 제공함으로써 고객 서비스의 품질 향상과 보안 강화에 노력하고 있습니다.

또한, 신속하고 정확한 영업 지원 및 기술 지원으로 고객의 입장에서 서비스를 수행하며, 빠른 시장 트랜드 대응하여 신기술을 적용함으로써 경쟁력을 높이고, 보다 향상된 고객서비스를 창출하고 그와 동시에 서비스의 효과를 극대화하기위해 최선을 다하고 있습니다. 시장 선도 기업의 달성을 통한 고객과 직원을 골고루 만족시켜야 한다는 것이 기본적인 경영철학이며, 고객에게는 최고의 제품과 서비스를 제공하고 이를 통해 창출된 초과이윤을 고객에게 환원하는 과정을 거쳐 회사를 발전시키고자 합니다. 앞으로도 IT 분야의 안정적인 인프라 구축을 위해 최선을 다하며 고객서비스에 중점을 둔 기업이 되기 위해 최선을 다하겠습니다.", Java 기반의 Cloud 제품 개발,"[채용절차]
• 서류전형 → 1차 인터뷰 → 2차 인터뷰 → 최종합격

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다.","• 시차 출근제 시행 (8시, 9시, 10시 중 선택 출근)
• 헬스시설 및 샤워실
• 음료 및 간식 제공
• 경조 휴가 및 경조금 지원
• 자유로운 휴가 사용
• 직무능력향상 교육
• 우수사원 포상 제도","서울 강남구 학동로 155, 3층, 4층", 경력  3년이상 5년 이하 Java 기반 ServerSide 개발 능숙 Netty 사용 가능 Elasticsearch 사용 가능 Docker 및 Kubernetes 활용 가능 관련학과 전공자 컴퓨터 소프트웨어등,2314
(주)코어시큐리티,정규직,"['java', 'jpa', 'git', 'spring boot']","다음과 같이 유능한 인재를 채용합니다.
미래를 함께 이끌어나갈 분들의 많은 관심과 지원 바랍니다.",정보보안 교육훈련 서비스 개발,"서류전형 > 1차면접 > 2차면접 > 인성검사 > 최종합격

ㆍ자격 요건에 해당하는 프로젝트에서의
   역할 및 비중을 명확히 표시해서 작성
ㆍ개인 Github 또는 개발 블로그 등 주소 첨부","업무는 자유롭게, 책임은 무겁게
ㆍ자율출근제(선택적 근로시간제) 운영
- 09:00 ~ 18:00
- 10:00 ~ 19:00

업무의 효율성을 높여주는
ㆍ듀얼 모니터, 고사양 장비 및 소프트웨어 지원

그 날 입고싶은 옷으로!
ㆍ자율 복장 근무 반바지도 가능!

아니 이렇게 많은 다과를?
ㆍ사내 카페테리아 보유
ㆍ과자 및 음료 무한 제공

출퇴근이 편한 역세권 위치!
ㆍ지하철 8호선 문정역 도보 5분

축하축하~~
ㆍ생일자 보너스 지급

괴로움은 반으로, 즐거움은 두배로~
ㆍ각종 경조사비 지원

풍성한 한가위를 극장에서~
ㆍ매년 CGV 영화권 제공

피로도 풀고 견문도 넓히고
ㆍ국내외 워크샵 실시

이루고 싶은 목표를 위해!
ㆍ우수인재 석사 및 박사 지원

마음의 양식도 채워야죠
ㆍ도서 구입비 지원

해킹이 배우고 싶다고..?
ㆍ국내외 IT 교육 및 행사 참여 기회 부여
","서울 송파구 법원로8길 9, 10층",JAVA  Spring Boot2x를 활용한   웹애플리케이션 개발 경험이 있는자Git 등 형상 관리 도구 활용 능력이 있는자SQL 활용 능력이 있으며   JPA Mybatis 개발 경험이 있는 자클린코드 리팩토링 등에 관심이 있는 자MSAMicroService Architecture에 관심이 있는 자다른 개발자백엔드 프론트엔드 등 및   타 직군과 협업에 거부감이 없는 자,2315
휴맥스홀딩스(주),정규직,"['java', 'MYSQL', '백엔드']",, 백앤드 개발,,,경기 용인시 처인구 유방동 212-1,학력전공경력 대졸 이상 컴퓨터 관련 학과   경력  5년 이상필수사항 JAVA 개발 경험 Open API 분석 및 개발 경험 Container 기반 CICD 기술 경험 Hadoop Spark Hive Kafka 등의 오픈소스 운영개발 경험 MSA 아키텍쳐 운영개발 경험 MySQL 쿼리 튜닝 경험,2316
(주)코인원,정규직,"['java', 'kotlin', 'git', 'spring boot']","Bringing Blockchain into the world. 

코인원은 국내 3대 암호화폐 거래소로 '블록체인이라는 어렵고 복잡한 기술이 금융을 통해 세상에 자리잡을 있도록 하겠다.'는 비전을 가지고 있습니다. 이를 현실화하기 위해 국내 최초로 De-Fi(탈중앙화 금융), 스테이킹(코인 지분참여) 서비스 등 가상자산 금융서비스를 제공하고 있고 지금도 금융을 통한 블록체인의 대중화를 만들기 위해 수많은 시도를 하고 오류를 찾아나가고 있습니다.", 코인원 서비스 웹 모바일 OPEN API를 위한 백엔드 개발,,"[코인원 Crew만을 위한 복리후생]

든든한 밥심을 위해
•﻿  점심식대 15,000원 지원 / 또는 출근시 도시락 케이터링 제공
•﻿  간식창고 운영
•﻿  바리스타가 제공하는 커피 및 음료 무제한 지원 (무료!!)
•﻿  매달 팀런치 비용 지원
 
편안한 휴식을 위해
•﻿  매년 리프레시 휴가 5일 제공 (1년 근속시)
•﻿  3/5/7년 근속시 추가 리프레시 휴가 및 상금 지급
•﻿  리조트 제휴 지원

크루와 가족의 건강과 안정적인 생활을 위해
•﻿ 프리미엄 종합건강검진 지원
•﻿ 직원 본인과 부양가족의 단체보험 지원 (3대 비급여 포함)

높은 업무 집중도를 위해
•﻿  최고급 사양의 디바이스 지급
•﻿  허먼밀러 의자 제공
•﻿  야근시 택시비 지원
•﻿  업무 관련 교육비/도서 구매 지원
•﻿  워크샵 비용 지원
 
크루의 개인생활 지원을 위해
•﻿  생일축하금 지급
•﻿  경조사 휴가/비용 지원
•﻿  명절선물 지급","서울특별시 영등포구 여의대로 108, 파크원 타워1동 45-46F", 백엔드 개발 경력 3년 이상 또는 그에 상응하는 역량을 갖추신 분 Spring BootKotlinJava를 이용한 웹 애플리케이션 개발 경험이 있으신 분 RESTful API에 대한 이해와 지식 경험이 있으신 분 원활한 커뮤니케이션 능력과 능동적인 협업 자세를 가지신 분 Git 등의 분산버전관리시스템DVCS 사용에 익숙하신 분 마이크로서비스 아키텍처를 설계하고 운영한 경험이 있으신 분 대규모의 실시간 트래픽을 처리하는 시스템 개발 경험이 있으신 분 TDD에 대한 이해와 경험이 있으신 분 Amazon Web Services Google Cloud Platform등 클라우드 기능 사용 경험이 있으신 분 Docker Kubernetes 기반 배포 경험이 있으신 분 가상자산에 대한 관심 지식 거래경험이 있거나 유관 업종에 종사하셨던 분,2317
(주)에스앤피랩,정규직,"['java', 'Spring', 'aws', 'MYSQL']","에스앤피랩은 강하고 안정적인 회사입니다.

우리는 마이데이터 시장에서 새로운 플랫폼을 만들었으며, 새로운 시장을 개척하고 인정받고 있습니다.

마이데이터 산업의 대표 에스엔피랩의 가족이 되어 착한 서비스, 착한 사람들과 함께하세요.

우리는 빠르고 단단하게 성장하는 기업입니다.
매년 300% 초고속 성장하는 에스엔피랩과 더 높은 비상을 위해 함께 하세요.
성공할 때까지 시도하여 실패할 수 없는 기업입니다.

마이데이터 산업을 선도하는 에스엔피랩의 가족이 되세요.",미들웨어 구성 구현 운영업무 시스템Atlassian Solution Confluence Jira Bitbucket BambooJenkinsSynology사용 기술framework  JavaSpring JPA JWTDatabase  MySQL ElasticSearchKibanaSDK  BesuOS  WSL Ubuntu CentOSCloud  AWSTool  VisualStudio Code Swagger,,"• 입사 웰컴키트 증정
• 생일 기념 쿠폰 증정
• 어학 및 체력단련 지원
• 자유로운 연차 사용
• 자유로운 출퇴근 복장 
• 자기계발 위한 도서구입비 지원
• 업무관련 교육 지원
• 최신장비 지원
• 아침식사 제공
• 사내편의점 운영
• 수습기간 급여 100% 지원","서울 서초구 동산로 75, 3층",새로운 분야에 대한 학습을 두려워하지 않는 개발자커뮤니케이션 및 협업에 능숙한 개발자관련 학과 졸업생관련 기술 자격증 소지자,2318
(주)지노텍,정규직,"['Linux', 'node.js', 'nginx']","지노텍은 서울 본사와 미국 텍사스주 오스틴 미국현지 법인을 중심으로 글로벌 사업을 전개하고 있으며, MIT대학 박사급 기술진을 포함하여 세계 최고 수준의 개발자들로 구성된 글로벌 스타트업입니다.

본사는 서울 마포구 상암동 (DMC산학협력연구센터)에 위치하고 있으며, 산업용 메타버스(Enterprise Metaverse) 플랫폼을 개발/공급 및 컨설팅 하는 사업을 수행하고 있습니다.

가치있는 산업용 메타버스(Enterprise Metaverse) 환경 구축을 위해서 특히 4차 산업혁명의 핵심기술인 AR/MR 및 AI 기반의 소프트웨어를 주로 연구하며 이를 포함한 다양한 어플리케이션의 개발에 집중하고 있습니다. 개발한 어플리케이션 및 플랫폼은 국내 및 미국의 다양한 제조/반도체 대기업을 대상으로 사업화 예정입니다.  이에, ""창업멤버""의 마인드를 갖고 글로벌 소프트웨어 사업에 함께할 창의적이고 도전적인 인재를 찾고 있습니다.

지노텍은 2020년 벤처투자사의 투자를 확정하였고, 2022년 상반기 Series A를 통해 투자를 유치하였으며 2023년 하반기에는 Series B를 준비 중 입니다. 또한 파격적인 스톡옵션을 통해서 회사와 회사 구성원이 함께 성장하는 것을 지향하고 있습니다.

메타버스 시대의 트랜드를 선도하고 산업용 메타버스의 주역으로 역량을 발휘하실 소프트웨어 엔지니어의 도전을 기대합니다.

[뉴스 링크]
• 산업용 메타 버스 개발사 '지노텍', 중소벤처기업부 팁스 프로그램 선정
https://www.mk.co.kr/news/business/view/2021/11/1081116/
• AR 소프트웨어 전문 기업 지노텍(주)과 협업
https://news.v.daum.net/v/20211226103151632
• 지노텍, '메타버스 서밋' 최종발표자 선정
http://www.aitimes.com/news/articleView.html?idxno=147045
• 모델솔루션, 지노텍과 산업용 AR 시장 공략
https://v.daum.net/v/20230412134501073", nodejs 기반 서버 모듈 개발 REST APISocket 핸들링 모듈 개발 RDBMS 쿼리 작성 linux 기반 서버 CICD,서류전형 > 코딩테스트(필요시)> 1차면접 > 2차면접  > 최종합격,"• 자기계발 : 공부합시다~ 공부하고 싶은 서적, 강의 얘기만 하세요. 지원해 드릴게요.
• 야근 : 근무시간에만 집중해서 열심히 일합니다.
• 회식 : 회식은 집에 가서 가족들이랑 하셔야죠~ 월 1회 이상 점심회식은 있어요.
• 티타임 : 매주 금요일 티타임 있습니다.
• 주말근무 : 평일 근무시간에만 열심히 하시면 됩니다.
• 탄력근무 : 나는 아침형 인간 - 아침부터 일하세요, 나는 저녁형 인간 - 오후부터 일하세요.
• 휴가 : 사유는 묻지도 따지지도 않습니다, 본인의 휴가 한도내에서 자유롭게 쓰세요. 
• 스톡옵션 : 회사의 성장은 나의 성장, 모두 같이 성장합니다.
• 선물 : 기분좋은 날 선물이 있어야 제맛이죠. (명절선물/귀향비, 생일선물/파티)
ㆍ선물 : 기분좋은날 선물이 있어야 제맛이죠. 명절선물/귀향비, 생일선물/파티","서울 마포구 매봉산로 37, 1303호", 학력  대졸 이상 Nodejs 사용 경험 linux 및 nginx 사용 경험 경력  3년 이상 SaaS 및 플랫폼GCP Azure AWS 개발 유경험자 firebase 유경험자 CICD 유경험자 서버 운영 및 관리 유경험자,2319
(주)콜게이트,정규직,"['java', 'jsp', 'Spring', 'aws', 'restful api']","• CallGate는 기존 음성 중심의 ARS 환경을 보다 편하게 화면으로 보면서 할 수 있는 ‘보이는 ARS’를 개발한 혁신적인 IT기업 입니다. 
• 보이는 ARS 서비스는 꾸준히 확산되어 300개 이상의 대기업 및 공기업에서 사용을 하고 있으며 매월 약 1천만명이 서비스를 이용하고 있으며, 
• 현재 보이는 ARS를 이용한 결제사업, 고객센터의 새로운 패러다임을 제시할 차세대 ‘모바일 고객센터 서비스’‘콜’ 사업에 등 다양한 사업에 도전하고 있습니다.

수상경력
2013년 / IT Innovation 대상 수상
2020년 / 청년친화 강소기업 대상
            대한민국 혁신기업 대상
2022년 / 제 16회 대한민국 우수특허 대상
",Java 기반의 솔루션 개발 및 유지보수 Golang 기반 신규 프로젝트 개발,"입사지원 > 서류전형 > 1차면접 > 2차면접 > 최종합격

- 위 인터뷰 프로세스는 채용 포지션에 따라 다르게 진행될 수 있습니다.
- 이력서 기재된 사항에 허위사실이 있는 경우 합격 후에도 채용 취소될 수 있습니다.
- 제출된 서류는 반환되지 않으며, 전형 종료 후 안전하게 폐기 됩니다.","1.Callgate Life
    • 모든 직원이 정시출퇴근 지향하며, 5분 단위 자유롭게 사용가능한 유연근무제 운영중
       (단, CoreTime 있음)  
    •	강남역 도보 8분 거리 역세권 위치 
    •	근로자의 당연한 권리인 연장수당, 연차수당 지급 
    •	눈치 절대 보지않는 개인 휴가 
    •	여름휴가는 연차와 무관하게 3일 제공 
    •	제도와 규정이 아닌, 자율적으로 책임감을 갖고 맡겨진 일을 끝까지다하는 서로 편하고 
        온화한 조직문화
 
2.	동종 규모 기업중 최상위 수준의 Callgate 직원복지 
   •	급여 별도 중석식비 지원 (1식 12,000원) 
   •	회사내 커피, 음료, 다과 항시 제공 
   •	본인 배우자 생일선물 지급
   •	본인 배우자 종합 건강검진 매년 제공 
   •	우수사원 포상, 장기근속 포상 
   •	매월 자기계발비 지원
   •	직원 통신비 지원  
   •	스톡옵션 및 인센티브 제도 운영 
   •	자녀 입학 축하금 지원 
   •	각종 경조사 지원",서울시 서초구 효령로77길 28 동오빌딩 8층,백엔드개발 경력 5년 이상Java  JSP 개발 경험 Spring 프레임워크 개발 경험 RESTful API 개발 경험  기술 보유Socket 통신 개발 경험기술보유 AWS 환경에 대한 이해 Jenkins 활용 개발 경험기술보유 모바일 환경  서비스에 대한 이해 Golang 기반 소프트웨어 개발 경험 지속적인 통합  배포 CICD 프로세스에    대한 이해와 경험 전문 처리 경험 우대,2320
