회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)포지큐브,정규직,"['devops', '백엔드', '클라우드', 'Kubernetes']","포지큐브는 AI 기술 전문 회사로,
공공기관 및 민간기업에게 AI Voice & Vision 서비스를 제공하고 있습니다.

뉴스에서 들어본 것 같은 AI 기술이 아닌, 삶에 적용되는 AI 서비스를 제공하고 있습니다.
AI 기술이 우리 삶의 당연한 일부분이 되는 그 날을 향해 노력하고 있습니다.
AI 전화 응대 서비스, 다양한 AI Vision 기반의 인식서비스 등의 AI 서비스를 개발·운영합니다.

#. 포지큐브에 합류해야 하는 이유!!
- 국내 최초의, 최고의 엔지니어와 함께하는 AI 개발 그룹    
  삼성전자, LG전자 엔지니어를 리더로 최고의 AI기술을 만들어 갑니다. 
    
- 매년 매출 200% 로켓 성장 기업    
  각종 관공서, 공공 영역 뿐만 아니라 금융권, 보험업까지 AI voice&vision 솔루션을 확장하고 있습니다. (주요 거래처 카카오, NHN, Toss, 바디프렌드, KTDS, NH농협, 하나카드, KB국민카드 등) 
    
- 110억원 시리즈B 투자유치로 사업 확장 중    
  2017년 창업한 이래로 TIPS, SW 고성장클럽, KB 스타터스 등에 선정되며 그 가능성을 인정 받았을 뿐만 아니라, 2020년에는 캡스톤 파트너스, HB 인베스트먼트, 윈 벤처 투자, BA 파트너스에서 시리즈 A 투자유치, 2021년에는 시리즈 B 투자유치에 성공했습니다.    

#. 포지큐브는 이런 분을 찾고 있습니다.
- AI 분야의 최전선에서 경쟁력 있는 커리어를 만들어가고 싶으신 분
- 새로운 것에 대한 지적 호기심이 많은 분
- 발전과 도전을 두려워하지 않는 분
- 맡은 일에 책임감을 갖고 임하며, 문제 상황을 외면하지 않는 분
- 회사와 내가 서로에게 성장의 바탕이 된다는 것을 이해하시는 분

#. 포지큐브는 이런 문화를 갖고 있어요.
- 업무에 몰입할 수 있다면 재택근무도 가능해요.
- 동료를 도와가며 협업해요.
- 수평적인 '님' 문화를 갖고 있어요.
- 연차는 자유롭게 사용할 수 있어요.
- 업무 중 휴식도 중요해요. 휴식 시간 탁구와 오락도 가능해요.

#. 언론 소개
　머니투데이 : [https://bit.ly/3DotC1n](https://bit.ly/3DotC1n)
　오피니언뉴스 : [https://bit.ly/3Do27oT](https://bit.ly/3Do27oT)
　전자신문 : [https://bit.ly/3ouwxiQ](https://bit.ly/3ouwxiQ)
　Korea Times : [https://bit.ly/30uJbqs](https://bit.ly/30uJbqs)
　아시아경제 : [https://bit.ly/3HxJ6D4](https://bit.ly/3HxJ6D4)
　IT조선 : [https://bit.ly/3wV2lkI](https://bit.ly/3wV2lkI)
　전자신문 : [https://bit.ly/3niZyPf](https://bit.ly/3niZyPf)
　KEB하나은행 : [https://bit.ly/3FnMluN](https://bit.ly/3FnMluN)", 퍼블릭 클라우드 및 온프레미스 환경에 위치한 신규 서버 환경을 구축 및 기존 환경의 유지보수를 합니다 쿠버네티스 기반 환경을 구축하고 운영관리합니다 서비스 모니터링을 설정하고 로깅 및 알람 구성을 고도화 합니다 좋은 OSS를 발견한다면 자사 서비스 고도화에 이용할 수 있을지 고민합니다 자사 서비스의 테스트빌드배포 환경을 개선하고 프로세스를 자동화하여 개발 생산성을 높입니다 CICD MLOps,,"[혜택 및 복지]
• 몸이 건강해야 마음이 건강하다! 매년 제공되는 건강검진
• 당신의 개성을 존중합니다. 개인별 맞춤 장비 제공
• 먹고 일하는 직원이 행복하다! 화수분처럼 쏟아지는 간식bar
• 근무시간에 탁구 경기 가능! 탁구대, 플스 구비
• 합법적 비상금 충당 가능! 매월 급여 외 식대 제공(비상금 충당 가능)
• 서로 윈윈하자! 자기계발비, 교육훈련비, 도서지원
• 160평 2개층 규모의 사무실과 카페테리아
• 스톡옵션, 퇴직연금, 성과급 제도 운영
(더 많은 복리후생을 제공하기 위해 HR팀 열일중입니다!)",서울 강남구 테헤란로 14길 16 라인빌딩 11~12층, 백엔드 개발 경험 6개월 이상 있으신 분 Container를 이용하여 어플리케이션을 개발하거나 환경을 구축한 경험이 있으신 분 퍼블릭 클라우드 기반 환경 구축 및 운영 경험이 있으신 분을 찾습니다 네트워크에 관한 기초지식이 있는 분 Kubernetes 기반의 서비스 운영 경험이 있으시다면 더욱 좋습니다 onpremises 환경에서의 서비스 운영 경험이 있으시다면 더욱 좋습니다 로깅 및 모니터링 환경 구축 경험이 있으시다면 더욱 좋습니다,2372
(주)리브스메드,정규직,"['재무기획', 'IR', '예산관리', '해외지사관리']","“국내 순수기술을 가지고 세계적인 의료기기 기업으로 도약하는 기업, 리브스메드”

리브스메드는 세계 최초로 다관절 수술 디바이스인 아티센셜을 개발한 의료기기 기업입니다.
미국, 독일, 일본에 법인을 설립하였으며, 유럽 및 아시아 각국에 진출하였습니다.

리브스메드는 누구나 첨단 의료혜택을 누릴 수 있도록, 혁신적인 기술을 통해 지속적으로 발전해 나가고 있습니다.
예비 유니콘 1위로 선정된 리브스메드는 pre IPO 투자유치를 하였으며(누적 투자액 약 600억),
코스닥 상장을 준비 중에 있습니다.

성장을 향해 도약하고 있는 리브스메드와 함께 성장을 이끌어갈 인재를 찾습니다.



*수상내역
- 2018년 보건복지부 장관상 수상
- 2019년 레드닷 어워드 수상
- 2020년 중소벤처기업부, 예비 유니콘 1위 선정
- 2020년 수출유망중소기업 지정 (경기지방중소벤처기업청장)
- 2020년 수출프론티어기업 인증(경기도지사)
- 2021년 식약처, 외과수술기구 제 15호 혁신의료기기 지정
- 2021년 보건산업진흥원장 유공 표창 수상
- 2022년 보건복지부장관 유공 표창 수상
- 2023년 고용노동부 강소기업 선정


*리브스메드 제품 ‘아티센셜’ 소개 영상
- https://www.youtube.com/watch?v=_OJGyMgkju8
- https://www.youtube.com/watch?v=b63Qtupsxzo", 재무계획실적보고 지원 예산관리 해외지사 관리 IR공시업무주식사무,,"• 뛰어난 동료들과 함께 글로벌 기업을 만들어 나갑니다.
• 보육수당, 경조사 지원, 주차 지원, 창립기념일 선물 등 다양한 복지제도","경기 성남시 분당구 판교로 700, D동 304호", 관련 경력 3년 이상 보유자 대리과장급 학사 이상 직무 관련 자격증 보유자 더존 UNIERP 프로그램 결산 경험 보유자 상장사 결산회계감사 경험 보유자 Business English 중급 이상 영어 이메일링,4402
(주)피플펀드컴퍼니,정규직,"['재무', '재무회계', '재무분석']","“당신을 통해 국민 절반의 신용점수를 바꿀 수 있다면?”
  
  
ㆍ대한민국 국민의 절반은 중저신용자, 이들의 75%는 은행에서 거절되는 사실을 알고 계셨나요? 
ㆍ피플펀드는 이런 기존 금융의 부조리함을 해결하며 합리적이고 신뢰할 수 있는 금융을 만들어가고 있습니다.
ㆍ중저신용자에게 더 나은 조건의 대출을 제공하고, 국내 금융기관들을 위한 리스크 관리 기술력 고도화를 지원하고 있어요.
    
  
“No. 1 PEOPLEFUND”
ㆍ피플펀드는 누적대출액 1조 6천억 원, 개인신용대출 시장점유율 59.1%, 주택담보대출 시장점유율 24.5%로, 업계를 선도하고 있어요. (‘22년 12월)
ㆍ비은행권 최고의 AI 신용평가 및 리스크 관리 기술을 바탕으로 손실률과 연체율을 업계 최저 수준으로 유지하고 있죠.
ㆍ‘23년 1월, 유동성 한파 속에서도 베인캐피탈 리드로 10여 곳의 기존 주주사로부터 추가 투자를 유치해 업계 최대 규모인 누적 1,261억 원을 달성했답니다.
  
  
“최고의 동료들과 마음이 즐거운 일을 함께해요”
ㆍ피플펀드에는 금융 산업의 구조적 문제에 공감하고, 이를 해결해보려는 회사의 미션에 매료된 각 분야의 인재들이 모여있어요.
  
   
“그리고 지금, 대한민국 금융을 바꾸는 여정에 함께 할 최고의 동료를 찾고 있습니다.”", 새로운 간접직접투자 사업 기회 발굴과 동시에 기존 Facility 상품 관리와 운영을 담당합니다 시장경쟁 트렌드 및 고객 분석을 기반으로 재무적 관점에서의 insight를 도출합니다,서류 전형 → 직무 인터뷰 → 컬처핏 인터뷰 → 처우 협의 → 최종 합류,"[Support & Refresh]
• 시차출퇴근제를 운영하고 있어 출근시간을 유연하게 조정할 수 있어요.
• 일주일에 최대 3일까지 집중 업무를 위한 재택 근무가 가능해요.
• 점심 시간은 자유롭게 지정해서 사용할 수 있어요.
• 야근 후 퇴근 시 택시비를 전액 지원해요.
• 입사 첫 날, 환영하는 마음을 담은 웰컴 키트를 제공해요.
• 근속 3년마다 피플러의 재충전을 위해 리프레시 휴가를 제공해요.
• 강남역에서 도보 2분 거리! 사무실이 역과 바로 연결되어 있어요.
• 안마의자, 휴게실/수면실, 게이밍 공간 등 휴식을 위한 다양한 공간이 준비되어 있어요.
• 의자계의 에르메스, 사무용 의자의 끝판왕이라 불리는 허먼밀러 의자를 구비했어요.

[Healthy to be Wealthy]
• 점심 식대 12,000원, 야근 시 저녁 식대 10,000원을 지급해요.
• 그래놀라, 견과류, 탄산수, 우유 등 건강한 간식을 상시 비치해요.
• 다양하고 맛있는 간식을 스낵존에 상시 비치해요.
• 매주 수요일 오후는 ‘해피아워’로, 맛있는 간식을 랜덤으로 제공해요.
• 피플러와 가족의 건강 관리를 위해 연 1회 종합건강검진을 전액/할인 지원해요.
  
[Family-Oriented]
• 가족에게 중요한 일이 생기면, 유연·단축 근무를 활용할 수 있어요.
• 생일을 맞은 피플러에게 유급 반차와 상품권을 선물로 드려요.
• 결혼 시 유급 휴가 2주, 축하금, 축하 화환을 지급해요.
• 경조사 종류에 따라 유급 휴가 및 경조금, 화환을 제공해요.
• 설, 추석 명절 각각에 상품권을 선물로 드려요.
• 본인 및 배우자 출산 시 유급 휴가, 재택 근무 등이 가능해요.
  
[Good Time with Good People]
• 2주에 한 번 랜덤으로 모여 서로를 알아가는 점심 식사를 해요.
• 신규 입사자를 위한 짝꿍(buddy)을 매칭해주고, 안정적인 적응을 돕고 있어요.
• 팀 빌딩을 위한 회식비를 지원해요.
• 취미를 함께 즐길 수 있도록 사내 동호회 활동을 지원해요.
  
[Growth for Next Step]
• 무제한 도서 지원 제도를 운영해요.
• 신규입사자들이 피플펀드에 대해 더 깊이 알 수 있도록 NJT(New Joiner Training)를 진행해요.
• 업무와 밀접한 연관이 있는 외부 교육 참석을 지원해요.
• 피플러가 가진 다양한 스킬 및 재능을 공유하는 사내 클래스를 운영해요.","서울특별시 서초구 서초대로74길 14, The Asset 16층", 1년 이상의 재무 모델링Financial modeling을 통해 전략적 의사결정을 지원한 경험이 있는 분 중급 이상의 엑셀 또는 SQL 활용 능력이 있는 분 꼼꼼함을 기반으로 국영문 계약서를 검토해본 분 원만한 대인관계 및 커뮤니케이션 능력을 보유한 분 금융기관 여신 또는 대체투자 Credit 관련 업무 경험이 있는 분 금융기관에서 일반 상품구조화 상품을 영업해 본 분 또는 투자 및 운용해 본 분 재무 회계 관련 기본 지식을 보유한 분,4428
(주)플러그링크,정규직,"['분석', '보고서 작성', '운영기획', '모니터링', '문제해결능력']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다
",전기차 충전기의 운영데이터 모니터링 및 분석 전기차 충전기 운영문제 해결 및 재발 방지전기차 충전기 운영보고서 작성운영 업무의 효율성을 높이기 위한 방안 제시,서류심사-1차인터뷰-2차인터뷰(생략가능)-최종합격,,"서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)",데이터에 기반하여 문제를 파악하고 지표를 개선한 경험이 있으신 분 사용자 관점으로 충전경험에서 발생하는 불편함의 원인을 고민하고 답을 찾기 위해 노력하시는 분 Excel 활용 능력이 중상급 이상이신 분동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분새로운 시도와 실패를 두려워하지 않는 도전적인 성격을 지니신 분CX 개발자 디자이너 등 협업 부서와의 커뮤니케이션에 능통하신 분전기자동차 및 충전 관련 유사업무 경험이 있으신 분디바이스를 활용한 서비스나 IoT 기반 서비스 BM에 대한 이해도가 높으신 분창업 혹은 스타트업에서 근무한 경험이 있으신 분,4488
포커스미디어코리아(주),정규직,['매출관리'],"포커스미디어코리아는 ‘사람과 기업을 이롭게 한다’는 창업이념을 바탕으로 사람들이 거주하는 아파트, 일하는 업무용 건물 엘리베이터 내외 공간에서 즐겁고 유익한 콘텐츠를 전달하는 ‘엘리베이터TV’ 운영사이자 생활 밀착형 콘텐츠 플랫폼 기업입니다.

우리는 ‘고객의 더 나은 생활에 기여한다’라는 미션과 일하는 방식에 공감하는 전체 구성원이 사업 운영 과정의 처음부터 끝까지, 유기적으로 협업하며 책임감 있게 수행하기 위해 ‘하드웨어 R&D - 공간 개발 - 설치 관리 - 고객 연구 - 파트너 발굴 - 콘텐츠 제작 - 편성, 송출 - 모니터링 - 시청 행태 분석 - 온, 오프라인 통합 캠페인’ 등의 역량을 내재화한 ‘풀 밸류 체인(Full Value Chain)’을 구축하여 사업을 전개하고 있습니다.

포커스미디어코리아의 주력 제품인 엘리베이터TV는 서울, 경기권, 부울경 지역을 비롯한 전국 주요 도시에서 8만여 대를 운영하며 920만여 명의 시청 고객과 일 평균 4회 가량 만나고 있습니다. 지난 5년 반 동안 탁월한 역량을 바탕으로 독보적인 대한민국 1등 생활 밀착형 콘텐츠 플랫폼으로 자리매김하고 있습니다. 이를 토대로 광고시장에서도 국내 매출액 기준으로 25위권에 진입했으며 올해는 15위권 진입을 목표하고 있습니다. 

2023년부터 포커스미디어코리아는 고객의 생활동선과 생애 주기에 따른 공간 기반의 사업 다각화는 물론, 층간 소음 방지를 위한 기능성 제품으로 아파트 입주민들의 화제를 모은 ‘뭄뭄실내화’를 시작으로 고객 생활에 실질적으로 기여하는 커머스 사업과 고객들이 엘리베이터TV 시청과 참여를 넘어 활용할 수 있게 하는 신규 서비스 론칭을 추진하는 등 다채로운 역할로 지속 성장하고자 합니다.

- 포커스미디어코리아 채용 : https://team.focusmediakorea.com
- 포커스미디어코리아 홈페이지 : https://www.focusmediakorea.com


[재무회계팀 소개]
• 재무회계팀은 재경실에 속해 있습니다.
• 재무회계팀은 회사 내,외부 이해관계자에게 합리적인 의사 결정을 지원하기 위하여 재무정보를 제공하고 있으며, 기업가치를 극대화하기 위하여 사업계획을 수립하고 이를 토대로 목표 달성을 위한 실적관리를 담당하고 있습니다.
• 포커스미디어코리아의 매출, 입찰, 수주, 실적 관리 등을 수행합니다.", 매출실적관리 및 보고 매출세금계산서 발행 입찰 관리 파트너사광고주 관리 수주 오류 검토,"• 근무 형태 : 정규직 (3개월 수습기간 적용 / 급여 100% 지급)
• 근무 장소 : 서울 영등포구 여의대로 24 FKI타워 45층 포커스미디어코리아

서류전형 ＞ 온라인 인성검사 ＞ 직무&컬처핏 인터뷰 ＞ 처우협의 ＞ 입사확정

• 전형 절차 및 일정은 상황에 따라 변동 될 수 있습니다. 
• 기재 내용에 허위 사실이 있는 경우 합격이 취소될 수 있습니다. 
• 국가등록장애인 및 국가보훈대상자는 관련법 및 내부 규정에 의거하여 우대합니다. 
• 채용 서류 반환 필요 시, 온라인으로 접수 바랍니다. (https://url.kr/bg9vkf) 
   [채용절차의 공정화에 관한 법률] 11조에 의거함.
","1. 업무에 더 몰입할 수 있도록
 • 수평적 관계를 지향하는 ‘님 호칭’
 • 유연하고 주도적인 근무시간 관리를 할 수 있는 '선택근무제' 운영
 • 전 구성원 대상 업무용 법인카드 지급
 • 풍미 넘치는 커피와 비타민 음료 무제한 제공
 • 효율적인 업무를 위한 직무별 맞춤 PC 지원
 • 30분 단위의 자유로운 연차 사용
 • 신규입사자 웰컴키트 제공

2. 더 성장할 수 있도록
 • 교육비/ 도서비 무제한 지원

3. 생활을 더 이롭게 할 수 있도록
 • 명절선물 제공
 • 매년 종합건강검진 지원
 • 경조사 지원
 • 단체상해보험 가입
 • 분기별 파트너사 상품 및 서비스 체험
 • 임직원 생활자금 지원 대출 (회사 내규에 따른 조건 충족자에 한함)
 • 하나은행 금융서비스 지원 
    · 기본사항 : IRP 계좌개설 및 지원금 지급 (30만원)
    · 선택사항 : 주택청약 또는 자유적금 신규가입 지원
 • 직장인 프리미엄 대출지원 (하나은행 우량기업 등록)

4. 특별한 날도 함께할 수 있도록
 • 생일선물 지급
 • 장기근속 선물
 • 창립기념일 선물
","서울 영등포구 여의대로 24, 45층", 관련 분야 경력을 3년 이상 보유하신 분 MSOffice 활용 능력이 우수하신 분 SAP ERP 사용 경험이 있으신 분 협업과 소통능력이 뛰어나신 분 변화에 유연하며 빠른 업무 습득력을 보유하신 분 광고 업계 또는 옥외 광고의 이해도가 높으신 분 이커머스 관련 업무 경험해 보신 분 세무회계 관련 지식 및 자격증을 보유하신 분,4493
(주)에스알,정규직,"['연구개발', '개발', '전기', '전자', 'hw']","We make a Innovative Way of Future Railway Industry.

국내 철도신호장비업계 Top 3
철도업계에서 혁신제품인 통합 모듈형 임펄스궤도 회로장치를 최초 개발 및 유일한 생산, 공급 회사
전기/전자 신호제품 중 High-End Provider이자 loT Sensoring Solution Provider
철도 신호제어 시스템 구축의 설계부터 제조, 시공, 감리까지 사업영역을 통합 제공하는 유일한 Total Solution 회사

",경력  무관 신입도 지원 가능HW관련 개발 가능자Electronic Hardware 설계 경험300W 급 SMPS 설계경험DCAC 인버터 경험,,"지원금/보험
건강검진, 각종 경조사 지원

급여제도
퇴직금, 성과급, 4대 보험

선물
명절선물/귀향비

교육/생활
점심식사 제공, 간식 제공, 음료제공(차, 커피)

근무 환경
회의실, 유니폼지급, 사원증

조직문화
회식강요 안함, 야근강요 안함

리프레시
연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가
",경기 의왕시 오봉산단1로 50-8,학력  대졸 이상 4년전기전자공학 제어계측공학 계열 전공Orcad Pads 사용 가능자 우대HW관련 개발 경험자 우대전력전자공학을 기반으로 파워스위칭 소자의 동작원리 및 제어방법을 이해하는 자MCU 회로 설계 가능한 자아트웍 PCB 설계 가능자,4589
어보브반도체(주),정규직,"['반도체', 'c', 'C++', '데이터분석', '테스트', '검증']","어보브반도체는 2006년 1월 매그나칩반도체(주)로부터 AP사업부문을 인수하여 8비트,32비트 MCU제품을 주력으로 생산,판매하는 전문회사로 고도의 반도체 기술개발 인력을 보유중에 있으며 지속적인 신제품 개발에 모든 전력을 기울이고 있습니다. 또한 전 직원이 하나가 되어 고객감동 이라는 최우선 가치아래 목표달성을 위해 끊임없이 노력하고 있는 국내 Top tier MCU회사입니다.", Probe Test  Final Test Program setup Probe Card  Load Board 회로도 작성 Test Data 정리  분석 Histogram  CPK 저수율 분석 RMA 분석 등,서류심사 > 1차면접(실무) > 2차면접(임원) > 최종합격,"• 의료비지원 제도
• 해외워크샵 
• 리프레쉬휴가
• 복지포인트
• 회사콘도",충북 청원군 연구단지로 76 충북테크노파크 미래융합관 204호, 학력  학사 이상 경력  직무관련 경력자 전공  전자반도체컴퓨터 관련 학과 CCPerl 등 Programming 가능자 Test Program 개발 경력자 영어중국어 회화 가능자,4590
(주)앤씨앤,정규직,"['개발', '영상', '회로설계', '튜닝', '카메라']","앤씨앤은 영상처리 기술에 AI, Cloud 등을 접목하여 내일(NEXT)을 위한 ICT기술을 개발합니다.",camera 영상 tuning,,"ㆍ입사선물
ㆍ전자식권
ㆍ시차출퇴근제
ㆍ건강검진
ㆍ선택적 복지비
ㆍ법인콘도
ㆍ근속포상
ㆍ자녀 학자금 지원 제도
ㆍ가족수당
ㆍ출산휴가 & 육아휴직 / 배우자 출산휴가
ㆍ경조사 지원
","경기 성남시 분당구 판교로 323, 8층 (삼평동,투썬벤처포럼빌딩)",학력전공  학사 이상이공계열경력  신입  10년 이하카메라 영상 평가 및 분석 가능자카메라 영상 튜닝 가능자2년 이상 카메라 업종 관련 종사자Camera관련 개발 및 양산 경험자SoC ISP 영상 튜닝 및 양산 경험자영상 관련 지식 경험자카메라 영상 회로 설계 경험자해외 출장 가능자차량용전장 카메라 영상 튜닝 경험자 우대,4591
(주)삼영에스앤씨,정규직,"['연구개발', '설계', '회로설계', '펌웨어']","(주)삼영에스앤씨에서 역량있는 인재를 모집합니다.
당사와 미래를 함께 할 유능한 인재들의 많은 관심과 지원을 기다립니다.
(주)삼영S&C는 녹색성장의 근간인 환경, 에너지, 건강과 관련된 센서와 그 응용제품을 생산하는 회사로서, 기초소자를 만드는 반도체 공정에서부터 모듈 패키징,트랜스미터 완제품에 이르는 일괄 공정을 수행 할 수 있는 핵심 인력과 기술, 설비를 한 지붕 아래 갖추고 있습니다.
1993년 국내 최초로 저항형 습도센서 개발을 시작으로 정전용량식 온습도센서, 먼지센서 등 IAQ(실내공기질)와 관련한 센서의 핵심 원천기술과 공정 및 양산기술을 오랜 기간 축적하여 이 분야에서 세계적인 전문 기업으로 도약하고 있습니다.
", 센서 펌웨어 프로그래밍 센서제품 회로설계 샘플제작 및 디버스킬 Auto CAD CAD Firmware,"전형절차 : 서류전형 → 1차 실무면접 → (필요시) 2차 임원면접 → 최종합격
","복리후생
• 연금·보험 : 건강보험, 고용보험, 국민연금, 산재보험
• 휴무·휴가·행사 : 남성출산휴가, 노동절 휴무, 연차제도, 육아휴직, 주5일제, 창립일 휴무, 출산휴가
• 보상·수당·지원 : 경조금, 사내대출, 야간근로수당, 우리사주제도, 우수사원 포상제도, 자기개발 지원, 자녀교육비, 퇴직금, 휴일근로 수당
• 사내시설 : 구내식당, 기숙사 지원, 주차장
• 편의·여가·건강 : 근무복 지원, 저녁 식사 지원, 점심 식사 지원
",경기 성남시 중원구 상대원1동 150, 학력무관 경력  3년  10년 성실성 성취지향성 꼼꼼함 적응성 창의성 계획성 스트레스내성 윤리의식 자존감 협동심 메타인지 성장지향성 PCB 제작 가능자 전자관련 전공자 HW SW 펌웨어 관련 경력자,4592
(주)삼영에스앤씨,정규직,"['생산', '센서', '생산 기술', '센서개발']","(주)삼영에스앤씨에서 역량있는 인재를 모집합니다.
당사와 미래를 함께 할 유능한 인재들의 많은 관심과 지원을 기다립니다.
(주)삼영S&C는 녹색성장의 근간인 환경, 에너지, 건강과 관련된 센서와 그 응용제품을 생산하는 회사로서, 기초소자를 만드는 반도체 공정에서부터 모듈 패키징,트랜스미터 완제품에 이르는 일괄 공정을 수행 할 수 있는 핵심 인력과 기술, 설비를 한 지붕 아래 갖추고 있습니다.
1993년 국내 최초로 저항형 습도센서 개발을 시작으로 정전용량식 온습도센서, 먼지센서 등 IAQ(실내공기질)와 관련한 센서의 핵심 원천기술과 공정 및 양산기술을 오랜 기간 축적하여 이 분야에서 세계적인 전문 기업으로 도약하고 있습니다.
", 제품 공정 설계 및 Flow Chat 작성 공정 비교분석 예산 검토 Design For Manufacturing 분석 및 Feed Back Control Plan 작성 PFMEA작성 공정 Capa예상 및 분석 생산라인 제작 진행 매니징  초기 공정 안정화 및 공정 개선 고객사 문서 대응 생산기 술 관련 자료 작성,"전형절차 : 서류전형 → 1차 실무면접 → 2차 임원면접 → 최종합격
",,경기 성남시 중원구 상대원1동 150, 학력  대졸 졸업 이상  경력  최소 7년 이상  제조공정 기술 능숙자 시험 및 측정 기술 능숙자 센서라인 생산기술 실무 경험자 자동차전장부품 생산 기술 경력자 2D 3D CAD 활용 자동제어 가능자 센서생산기술 경력자 Basic English 가능자,4593
