회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
미학원,정규직,"['교육기획', '교육운영', '교수설계', '교재개발']","미학원 회사 소개.
-런칭(2023. 01. 02) 이후 7개월간 총 11억 8천만원의 현금 매출 달성.
-450억 규모 부동산 디벨롭 회사 매각 등의 BD 포지션, 예술 대안 학교 코 파운더, 3M 데이터 운영 포지션 등의 출신의 팀원들. (총 11명)
-본사 사무실: 마포구 와우산로 110 (6, 7, 8층) (홍대입구역 7분 거리)

바우하우스를 만들고 싶습니다. 미술에 대한 꿈을 가진 학생과 그의 부모를 위한 교육 과정을 제공하는 온라인 교육 기관을 만들고 있습니다. 서비스는 PoC, Pilot 단계를 거쳐 MVP 구현 과정에 있습니다. BX, 에듀테크(빅데이터, 알고리즘 개발), 교육 연구 개발 역량이 중요한 회사입니다. 예술 학교 교감, 미술 선생님, 미술 연구소, 대기업 디자이너 출신이 다수입니다. ",에듀케이팅 직무에듀케이팅 부서에 소속되며 교육 프로그램 관련 업무를 진행적성학교생활진학진로컨설팅실기 등의 과목을 대상으로 온오프라인 경험성을 고려한 교육 프로그램을 연구 개발하여 제작 운영함 교수 설계해당 프로그램들은 모두 초중고대학생취창업 준비생들과 그의 보호자를 대상으로 함 교육 지원 과정 및 교육 과정을 기반으로 온라인 교육 플랫폼 US 및 SS 연구 개발 및 제작 운영에듀케이팅 부서에듀케이팅 부서는 아래와 같이 나뉨전략 기획 파트연구 개발 파트제작 운영 파트,"서류 > 대면 인터뷰 > 테스팅 타임 > 싱크타임 > 온타임. 
(현금 연봉 기준 3000-6000내 싱크타임에서 협의)","식대 제공. 주차 제공. 인센티브, OKR 성공 보수 등 패키지 협의. ","서울특별시 마포구 와우산로 110, 7층 미학원",이런 분이 잘 맞을 겁니다미술 교육을 많이 경험해서 이해도가 높은 분미대 입시 아동 미술 실무 교육 등 무관교육에 대한 비전이 있는 분예 예중 예고 입시 미술 학원들 더 좋은 방향으로 바뀌면 좋겠다 좋은 미술 선생님이 되고 싶다 등실무 경험을 할 준비가 된 분예 성장하고 싶다 팀으로 일할 최소한의 마인드셋 스킬셋을 갖췄다고 생각한다 기업을 만들고 싶은 분예 예술 문화 분야를 대표하는 기업을 함께 세우고 싶다우대사항 스타트업 및 프로젝트 경험 및 이해도가 있을수록 우리 팀을 매력적으로 느끼실 겁니다 멋진 커리어도 존중 받아야 마땅하지만 당장 현재 무슨 일을 할 수 있고어떻게 빠르게 흡수해서 퍼포먼스를 보일 수 있는 지를 가장 중시합니다 교육 시장 미술예술디자인 관련 교육 시장에 대한이해도가 높으실수록 우대합니다그러할 의지가 있다면,910
미학원,정규직,"['영업', '영업관리']","안녕하세요. 바우하우스를 재건하고 싶은 미학원입니다. 미술에 대한 꿈을 가진 학생과 그의 부모를 위한 교육 과정을 제공하는 온라인 교육 기관을 만들고 있습니다. 서비스는 PoC, Pilot 단계를 거쳐 MVP 구현 과정에 있습니다. BX, 에듀테크(빅데이터, 알고리즘 개발)가 중요한 회사입니다. 예술 학교 교감, 미술 선생님, 미술 연구소, 대기업 디자이너 출신이 다수입니다. 현재 매출 규모나 팀원 커리어 면이나 충분히 도움될 경험이 되리라 판단됩니다.

이런 분이 잘 맞을 겁니다.
-미술 교육을 많이 경험해서 이해도가 높은 분.
(아동미술부터 미대입시, 실무 교육 등 무관).

-교육에 대한 비전이 있는 분.
예: 예중, 예고, 입시학원들 더 좋은 방향으로 바뀌면 좋겠다. 좋은 미술 선생님이 많아지면 좋겠다 등..

-프로페셔널 마인드셋이 맞는 분.
예: 성장하고 싶다. 최소한의 마인드셋, 스킬셋을 갖췄다고 생각한다. 
",교육 프로그램 세일즈 인바운드,서류 통과 시 대면 인터뷰 진행 연락. ,"식대 제공. 인센티브 및 상여, 성공보수 등.","서울특별시 마포구 와우산로 110, 7층 미학원",교육 분야 세일즈 경력직유관 전공자 우대 미대입시 관련 도메인 보유시 우대 ,1034
(주)리브스메드,정규직,"['영업', '국내영업', '의료기기', '매출분석']","“국내 순수기술을 가지고 세계적인 의료기기 기업으로 도약하는 기업, 리브스메드”

리브스메드는 세계 최초로 다관절 수술 디바이스인 아티센셜을 개발한 의료기기 기업입니다.
미국, 독일, 일본에 법인을 설립하였으며, 유럽 및 아시아 각국에 진출하였습니다.

리브스메드는 누구나 첨단 의료혜택을 누릴 수 있도록, 혁신적인 기술을 통해 지속적으로 발전해 나가고 있습니다.
예비 유니콘 1위로 선정된 리브스메드는 시리즈D 투자유치를 하였으며(누적 투자액 약 500억),
올해 코스닥 상장을 준비 중에 있습니다.

성장을 향해 도약하고 있는 리브스메드와 함께 성장을 이끌어갈 인재를 찾습니다.

수상내역
- 2018년 보건복지부 장관상 수상
- 2019년 레드닷 어워드 수상
- 2020년 중소벤처기업부, 예비 유니콘 1위 선정
- 2020년 수출유망중소기업 지정 (경기지방중소벤처기업청장)
- 2020년 수출프론티어기업 인증(경기도지사)
- 2021년 식약처, 외과수술기구 제 15호 혁신의료기기 지정
- 2021년 보건산업진흥원장 유공 표창 수상
- 2022년 보건복지부장관 유공 표창 수상
- 2023년 2023년 고용노동부 강소기업 선정

*포털사이트와 유튜브에 ""리브스메드""를 검색해봐주세요!", 서울수도권 지역 담당 영업 의료기기 영업 거래처 발굴 관리 매출 분석 수발주 관리 및 납품 진행,,"• 영업사원이 영업하기 좋은 환경으로 다양한 혜택 제공 중입니다.
• 자세한 내용은 서류 합격자에게 따로 안내 드리도록 하겠습니다.","경기 성남시 분당구 판교로 700, D동 304호", 관련 경력 1년  7년 보유자 의료기기 외과 파트 다이렉트 세일즈 경험 보유자 다이렉트 세일즈와 대리점 관리 모두 경험해본 자,1044
(주)에이에프아이,정규직,"['aws', 'devops', 'ci', 'API', 'node.js', 'CD']","- 대한민국에서 가장 많은 게임 개발자가 선택한 게임 서버, '뒤끝' 🚀
AFI는 ""누구나 게임 서버를 사용할 수 있게 하자 !""를 목표로 게임 서버 SaaS '뒤끝'을 개발 + 운영하고 있습니다.

'뒤끝'은 대한민국에서 가장 많은 게임 개발자의 선택을 받은 게임 서버입니다.
AFI는 대한민국의 모든 클라우드 기업 중 가장 많은 게임의 서버를 운영중인 게임 서버 SaaS 1위 스타트업입니다.

- 대한민국 No.1을 넘어 글로벌 No.1으로 ! 🌎
AFI는 대한민국 1위 게임 서버 SaaS 성과를 인정받아 시리즈A 투자를 유치했어요.
이제 세계 게임 4위시장인 대한민국(7.9%)을 넘어 미국(21.9%), 일본(11.5%)의 게임 제작자들을 만나러 갑니다.


❓채용배경
 AFI가 서비스하고 있는 게임 SaaS 뒤끝은 뒤끝 베이스, 뒤끝 매치, 뒤끝 챗, 뒤끝 펑션의 네 가지로 구성되어 있습니다. 이 때까지 AFI는 네 가지 서비스 중 뒤끝 베이스의 개발을 위해 많은 노력을 해왔습니다. 이제는 뒤끝 베이스 이외에도 뒤끝의 다른 서비스의 발전에도 더욱 속도를 내고자 합니다.
현재의 개발 스쿼드 구성원이 뒤끝 챗과 뒤끝 펑션의 개발에 매진할 수 있도록, 뒤끝 베이스의 개발과 유지 보수 업무를 담당해줄 수 있는 엔지니어를 채용하고자 합니다.

작년에 53억의 시리즈 A 투자를 완료했고, 올해 1월에는 새로운 구성원과 더 넓은 공간에서 편하게 일할 수 있도록 이사까지 마무리했기에, 새로운 구성원을 맞이할 준비가 완료 되었습니다.

뒤끝 서버 스쿼드 내에는 Devops 엔지니어 3 명, SDK 엔지니어 1명, 웹 엔지니어 2 명이 함께 일하고 있으며 기존 구성원과 함께 일 할 Devops 엔지니어를 3 명 (또는 2 명) 채용하고자 합니다.",탄탄한 Devops 문화 속에서 아래의 업무를 담당하게 됩니다 IaC 를 이용해서 뒤끝의 인프라를 관리합니다 뒤끝의 CICD를 고도화 합니다 웹 어플리케이션과 배치 어플리케이션을 설계하고 개발합니다 뒤끝 베이스의 신규 API를 개발하고 유지 보수합니다 뒤끝 콘솔의 신규 API를 개발하고 유지 보수합니다 뒤끝 관리 페이지Admin의 신규 API를 개발하고 유지 보수합니다,"서류 지원 → 1차 면접(직무 전문성) → 2차 면접(문화 적합성) → 최종 합격

채용 절차 및 결과는 모두 기재해 주신 이메일 주소로 안내 드립니다.
지원 포지션에 따라 추가 인터뷰나 과제를 요청 드릴 수 있습니다.

이렇게 지원해주세요 💌
 [필수] 자유 형식의 이력서
 [질문, 답변 필수] ""최근 관심 있는 스타트업이나 서비스와 그 이유""를 알려주세요.
필수 지원 서류가 누락된 경우 자동으로 불합격 처리되며 별도의 회신을 드리지 않습니다.
지원서 내용 중 허위사실이 있는 경우 입사가 취소될 수 있습니다.
채용 관련 문의는 recruit@afidev.com으로 보내주시기 바랍니다.


 * 제출된 모든 자료는 지원 페이지 내 개인정보 동의 보유 기간 3년 표기와 관계없이 개개인의 채용 절차가 완료/종료 되는 즉시 파기됩니다.","AFI는 더 많은 성장이 필요한 조직이며, 현재 단계에서 구성원에게 합리적인 복지를 제공하기 위해 최대한 고민하고 있습니다.
회사가 성장함에 따라 더 많은 복지 혜택을 구성원에게 지급하기 위해 노력할 것을 약속합니다.

회사와 함께 성장할모두를 위해

현재 단계의 합류하는 구성원 모두에게 스톡옵션 지급
연 1회 매출의 일정 비율을 모두에게 성과급으로 지급
3년 이상 근속자에게 장기 근속 휴가와 휴가비 지급
합류 3개월 이후 채용 보상금 지급 (직접 지원자 한정)
업무와 관련한 도서 무제한 지원
외부 세미나 및 자격증 시험 지원
부서 리더, 주간 회의 참가자는 직책 수당 지급


몰입 가능한 업무 환경을 위해

2호선 뚝섬역 30초 거리의 초 역세권 사무실
남산타워와 서울숲이 보이는 전망 좋은 13층 사무실
8시에서 11시까지 조절 가능한 시차 출퇴근제
높낮이 조절이 자유로운 전동데스크
입사 시 최대 20만원 범위 내에 원하는 장비 구입 가능
야근 시 택시비와 저녁 식사비 제공

일과 삶 사이의 균형을 위해

연 10일의 리프레시 휴가
소중한 사람과의 시간을 위한 기념일 휴가 지급
명절 전날, 크리스마스 이브, 마지막 업무일은 반차
새로운 장소에서 일하는 즐거움, 디지털 노마드 10일
따릉이 월간 이용권

즐겁게 일하고 싶은 당신을 위해 

스낵 24와 함께하는 간식 제공
원두 커피, 캡슐 커피 골라서 충전 가능한 카페인
매 분기 1인 12만원의 회식비
회사에 오는 선물은 모두 구성원의 것,
명절 선물 추첨과 상품권 지급 
동심을 잊지 않도록, 어린이 날 & 크리스마스 랜덤 박스
G-Star 부터 PlayX4까지 국내 게임 행사 참석 지원
","서울 성동구 아차산로17길 49, 1217호(성수동2가, 생각공장데시앙플렉스)", AWS의 다양한 솔루션 사용을 경험할 수 있습니다 MSA 고도화 프로젝트를 경험할 수 있습니다 대용량 트래픽 처리를 경험할 수 있습니다 고 가용성 멀티 리전 서버 아키텍쳐 구현을 경험할 수 있습니다 실시간 소켓 프로젝트를 경험할 수 있습니다 뒤끝 매치 뒤끝 챗 FaaS 서비스 구축을 경험할 수 있습니다 뒤끝 펑션지원조건 Nodejs  개발 경험이 있는 분을 찾습니다 Cloud 사용 경험이 있으신 분이 필요합니다 빌드  테스트  배포에 대한 파이프라인 이해도가 있으신 분을 찾습니다 게임을 좋아하고 게임 산업에 호기심과 열정이 있는 분은 저희와 문화적으로 맞을 가능성이 높습니다 전산학 혹은 관련 전공자를 우대합니다 신기술에 대한 거부감이 없는 분을 우대합니다 Script 언어Javascript Python Bash 중 하나 이상의 숙련도를 지니신 분을 우대합니다 CICD 구축 및 운영 경험이 있으신 분을 우대합니다 단순 코드 작성이 아니라 문제를 논리적으로 해결하는 분을 선호합니다 본인이 만든 코드에 대해 애정과 책임감을 갖는 분은 더욱 좋습니다,2248
(주)에이비일팔공,정규직,"['Spring', '백엔드', 'API', 'Framework']","AB180은 광고 성과 분석 솔루션 Airbridge를 개발하는 B2B SaaS 스타트업입니다. Airbridge는 메타, 구글, 틱톡과 같은 글로벌 플랫폼의 아시아 유일 공식 성과측정 파트너로 그 기술력을 인정받고 있으며, 국내뿐 아니라 세계적으로 빠르게 성장하고 있습니다. AB180은 Airbridge 외에도 세계 1위 프로덕트 분석 솔루션 Amplitude와 CRM 자동화 솔루션 Braze를 국내 시장에 공급하며 Mar-tech 시장의 선도기업으로 자리매김하고 있습니다.

오늘의집, 당근마켓, 카카오스타일과 같은 스타트업뿐 아니라 삼성증권, 현대카드, 롯데멤버스와 같은 대기업 모두 AB180의 솔루션을 활용해 비즈니스 성공을 만들어내고 있습니다.

매일 세계 각국에서 발생하는 10억개 이상의 이벤트 데이터, 1억 대의 디바이스, 100만 RPM-마케팅 테크놀로지 스타트업 AB180에 합류하세요!

*AB180 공식 홈페이지 : https://ab180.co
*Airbridge 공식 홈페이지 : https://www.airbridge.io",Airbridge 대시보드 개발 사용자 앱 IAM 관리 API 트래킹 링크 API     에어브릿지 트래킹 링크로 심리스한 유저 경험 제공하기 성과 리포트 API     앱 마케팅 유입 코호트별 매출액을 에어브릿지 Revenue 리포트로 분석해 보세요     유저의 충성도를 확인할 수 있는 에어브릿지 Retention 리포트가 업데이트되었습니다     광고로 유입된 유저의 단계별 여정을 에어브릿지 퍼널 리포트로 분석해보세요 데이터 수집 및 어트리뷰션 시스템 개발     개인정보보호 시대 제대로 마케팅 성과를 측정하는 방법 에어브릿지 마케팅 믹스 모델링을 확인해보세요 매체 및 광고주 시스템과의 연동 개발    카카오 키워드 광고 연동으로 에어브릿지가 MMP 최초로 국내의 모든 SA 비용 데이터를 제공합니다,"서류 전형
자유 양식의 이력서 및 자기소개서를 제출해 주세요.

코딩테스트
직무 적합 여부를 판단하기 위해 사전 코딩테스트를 진행해요.
코딩테스트는 알고리즘이 아닌 실제 에어브릿지에 있는 시스템을 토대로 진행해요.

1차 인터뷰
코딩테스트 결과물 시연 및 리뷰를 진행하고, 제출 서류를 기반으로 기술+경험과 관련된 질문들을 드려요

2차 인터뷰
회사 업무 및 문화 적합도 등을 판단하기 위해 관련된 질문들을 드려요.

입사 협의
입사 조건을 협의하고 입사를 확정해요,","1. 업무 효율과 생산성을 높이기 위해 아낌없이 지원합니다
    - 코어 워킹 타임 기반의 선택적 근로시간제 운영
    - 자유롭고 다양한 휴가 제도 운영 (반반차 휴가 및 생일 휴가, 출산 검진 휴가 등)
    - 3년 · 5년 · 7년 만근 시 유급 리프레시 휴가 제공
    - 야근 시 식비 및 교통비 지원
    - 고사양의 장비 지원(MacBook Pro, 고사양 모니터, 키보드 · 마우스 기기 선택 가능)

2. 구성원의 주도적인 성장이 AB180의 성장으로 이어진다고 믿습니다
    - 강의, 세미나, 외부 교육, 국내외 컨퍼런스 등 참가비 지원
    - 도서 구입비 지원
    - 체계적인 온보딩 커리큘럼과 신규 입사자 멘토링 운영
    - Product Research, Success Case Study, Knowledge Transfer 등 전사적 · 팀별로 다양한 지식 공유 프로그램 운영

3. 구성원의 의견을 수렴하고 더 나은 방향으로 나아가기 위한 Open Culture를 지향합니다 
    - 직무에 제한 없이 누구나 프로덕트 개선에 의견을 낼 수 있는 아이디어 파크 운영
    - 모든 구성원이 모여 회고를 나누고 비전을 공유하는 타운홀 미팅 & Airbase 진행
    - 업무 환경 · 조직 문화 개선에 대해 자유롭게 건의하고, 구체적으로 대책이 논의되는 오픈 서베이 상시 운영

4. 그외 다양한 혜택과 복지를 소개합니다
    - 강남역 9번 출구 3분 거리의 초특급 역세권 사무실
    - 스낵바, 커피・탄산수 머신 설치 운영
    - 라운지, 미팅룸, 폰부스 등 공용공간 · 휴게공간 완비
    - 중소기업청년 소득세 감면 혜택 적용 가능",서울 서초구 강남대로61길 17 3층, 7년 이상의 백엔드 개발 경력 또는 그에 준하는 역량을 가지신 분 Flask Django Spring과 같은 framework를 이용한 백엔드 개발 경험이 있으신 분 테스트 코드 작성이 익숙하신 분 AWS GCP Azure와 같은 클라우드 컴퓨팅 서비스 사용 경험이 있으신 분 고객에게 관심이 많으신 분 마케팅 도메인 경험이 있으신 분,2260
(주)피플벤처스,정규직,"['Linux', 'jquery', 'Php', 'MYSQL', 'API']","[피플벤처츠는 이런회사입니다.]
- 1대1 전화운세상담 플랫폼 홍카페를 운영하고 있습니다.
- 홍카페는 출시 후 꾸준한 R&D를 통해 현재 동종업계를 리드하는 서비스로 인정받고 있습니다.
- 매출과 운영 부분 모두 채용 모두 매년 성장하고 있는 스타트업 입니다.
- 1대1 전화상담 플랫폼 기술력을 바탕으로 신규플랫폼으로 확장하고 있습니다.", PHP Backend 시스템 유지보수및 추가개발 PHP Frondend 시스템 유지보수및 추가개발,,"• 사내문화 : 야근없음, 회식강요없음, 자율복장, 수평적인 조직문화, 2~30대 중심의 팀원들, 빨간날(대체공휴일) 보장
• 업무환경 : 듀얼 모니터 제공, 직원 주도적인 업무환경, 자사플랫폼 서비스에만 집중
• 지원금 : 장기근속 포상, 도서지원, 사무장비 지원
• 급여제도 : 퇴직연금 가입
• 리프레시 : 자유로운 연차 및 반차 사용",서울시 성암로 330 DMC 첨단사업센터 621호, 학력  무관 성별연령  무관 경력  2년 이상 PHP CodeIgniter 4x 등 PHP 프레임웍 경험자 외부 연동 API SNS SMS 경험자 Jquery Mysql 경험자  MVC설계개념 이해자 형상관리툴 Git 이용가능자 Linux기반의 서버 이용가능자,2265
(주)케이뱅크,정규직,"['java', 'Spring', 'Oracle', 'spring boot']","금융이 꼭 필요한 이유는
우리의 자산을 불려주고
더 나은 가능성을 꿈꾸게 하는 것입니다.

케이뱅크는
고객의 시간을 아껴주고,
고객의 고민을 덜어주며,
선별된 투자 기회로 고객님이
자산을 키워가는 기쁨을 드립니다.

금융서비스의 변하지 않는 가치를 통해
조금씩 나아지는 생활의 변화를 함께 하겠습니다.

""합리적이고, 실용적인 은행 Kbank""",아래 두 역량의 지원자 중 적합한 업무 포지션으로 채용됩니다계정계 수신업무 개발운영 예적금파킹통장 상품 개발 및 운영 이체송금증권연계 서비스 개발 및 운영 해외송금 서비스 개발 및 운영계정계 고객업무 개발운영 비대면 계좌개설 EDD 전기통신금융사기 등 고객정보 및 금융사기예방 관련 개발 및 운영,,"• 일할 땐 일하고 쉴 땐 쉬어요
 - 나의 Life style에 맞추어 선택할 수 있는 시차출퇴근제
 -  묻지도 따지지도 않고 쓸 수 있는 연 3일 자기계발휴가
 - 그 외에도 기쁜 일을 축하하고 슬픈 마음에 위안이 되도록 경조휴가를 지원
• 나와 내 가족을 돌봅니다 
 - 아프고 다쳤을 때 든든한 힘이 될 단체보험 가입
 - 부모님께서 건강하셨으면 하는 마음에서 부모님 의료비 지원
 - 연1회 전문 검진기관에서 건강검진을 지원하며, 필요한 가족 1인도 가능
 - 어린이집부터 대학까지 자녀를 잘 키우실 수 있도록 자녀 교육비 지원
 - 법정 육아휴직 1년 + 케이뱅크에서 제공하는 1년 = 총 2년의 육아휴직 가능
 - 설과 추석에 마음을 담은 명절선물까지  
• 당신의 삶에 윤기를 더합니다
 - 자기개발에 쓸 수 있는 쏠쏠한 복지포인트 
 - 원활한 소통을 돕고자 통신비 지원
• 일에 몰입할 수 있는 공간과 환경을 지원합니다
 - 사옥 내 다양한 편의시설(간식자판기, 로봇커피, 안마의자 등)
 - 서울의 중심에서 즐기는 힙지로라이프","서울특별시 중구 을지로 170, 을지트윈타워 6층", 개발 경력이 5년 이상인 분 Java Spring SpringBoot  Oracle 을 활용하여 개발 업무가 가능하신 분 비지니스를 분석하고 설계 및 구현이 가능하신 분 다음 항목중 1개 이상만 충족하면 지원 가능 합니다   은행 수신상품에 대한 이해를 가진 분   이체송금 등 재무거래에 대한 이해를 가진 분   금융결제원은행연합회증권사 등 대외기관 연계업무에 대한 이해를 가진 분   개인 혹은 법인 고객 정보의 관리 및 life cycle에 대한 이해를 가진 분   해외송금 업무에 대한 이해를 가진 분 IT 경력 10년 이상 및 은행핀테크 회사에서 개발운영 경력이 3년 이상인 분 MSA CICD 컨테이너 환경에서 개발한 경험이 있거나 관심이 있는 분 새로운 업무나 기술에 대한 학습 및 성장 의지가 있는 분 어렵거나 복잡한 문제를 해결하는데 흥미를 가진 분,2272
(주)케이템,정규직,"['C#', '영상처리', 'opencv', 'sw 개발']",역량있고 유능한 인재를 모집합니다.,Vision Image ProcessingVision Algorithm 개발Vision UI 제작,,,"인천 연수구 송도미래로 30, J동 2207호",C Open CV 프로그램 사용 가능자영상처리 라이브러리 VPRO Mill EVision 할콘 사용 경험자Vision SI 근무 경험자,3336
오진상사(주),정규직,"['영업지원', '영업관리']","오진상사(주)는 1988년 설립되어 현재까지 수 많은 국내외 브랜드를 성공적으로 시장에 안착시킨 유통전문 기업입니다. 현재는 IT유통사업, 플랫폼사업, 리빙&패션분야, 화상회의솔루션분야, Imation 브랜드 등 다양한 분야에서 새로운 도전에 앞장서며 급변하는 유통사업의 변화와 미래가치에 투자하고 있습니다.", 영업지원 매출동향 분석 및 수금관리 마케팅 활동 지원 매출 프로모션 및 판촉활동 지원 주문전산입력 및 재고 관리,"* 서류 전형  >  1차 면접  >  2차 면접  >  임원 면접  >  최종 합격
* 면접 일정은 추후 통보됩니다.",,서울 서대문구 서소문로 61-1, 계획성 꼼꼼함 적응성별도 우대사항 없음,3848
(주)넥스트챕터,정규직,"['영업기획', '주문관리', '발주관리']","- Our mission

""넥스트챕터는 좋은 제품을 위대한 브랜드로 성장시켜 더 많은 고객과 연결합니다.""

좋은 제품이지만, 유통, 마케팅, 자금 조달 등의 문제로 제품의 잠재력을 충분히 발휘하지 못하는 경우가 많습니다. 우리는 좋은 제품이 더 많은 소비자에게 알려지는 세상을 꿈꿉니다. 좋은 제품을 인수하여 브랜드 오너의 장인 정신을 계승하되, 브랜드 운영의 전문화를 통해 위대한 브랜드로 키웁니다. 우리는 이렇게 중소 규모의 온라인 브랜드를 인수하여 성장시키는, 국내 최초의 브랜드 인수 운영 플랫폼입니다.

넥스트챕터는 BlueRun Ventures/BRV Capital Management, Goodwater Capital, 끌림벤처스, 패스트벤처스, 샌드박스네트워크, 김상헌 네이버 전 대표님을 비롯한 국내외 유수의 VC 및 엔젤 투자자로부터 Seed 투자를 유치하였으며, 2022년 8월 BRV Capital Management, 끌림벤처스로부터 200억 규모의 시리즈 A 투자 유치를 완료하고 큰 도약을 준비하고 있습니다.

넥스트챕터는 ‘남다른 위대함(Unique greatness)’을 추구하는 최고의 동료들과 함께하는 것(Hire and inspire the best)을 무엇보다도 중시합니다. 우리는 실력 뿐만 아니라 인격적으로도 ‘극도의 성숙함(Being exceptionally mature)’을 지향하는 팀입니다. 똑똑하지만 인격적으로 존경하기 어려운 동료들과 일하며 스트레스를 받으셨다면, 탁월함을 추구하지 않는 조직에서 홀로 타오르는 열정을 삭히며 답답해 하셨다면 넥스트챕터 팀에 합류하시는 것을 진지하게 고려해봐주세요!


- More about this job

본 포지션은 브랜드 운영 본부 소속으로, 넥스트챕터가 인수한 브랜드의 물류 운영을 담당합니다.

고객이 주문을 한 후 상품이 고객 손에 전달 되기까지 보이지 않는 곳에서 많은 노력이 필요합니다. 아무리 잘 만든 제품일지라도 고객에게 제대로 배송되지 않는다면 의미가 없겠죠. SCM/Logistics Manager는 이러한 과정을 책임지는, 꾸준함과 꼼꼼함이 요구되는 중요한 포지션입니다.

3PL 파트너를 통한 입/출고 관리, 재고 관리, B2B/B2C 주문 수집 및 출고 관리 등 전반적인 물류 운영을 관리합니다. 물류대행사 업무를 모니터링하고 협업 프로세스를 개선하는 업무부터, 라스트마일 배송 이슈 관리 및 해결, 교환/반품 관리 등 물류와 관련한 전방위적인 운영 업무를 수행합니다. 이 과정에서 여러 파트너 사 및 내부 유관부서와의 협력이 요구됩니다.

넥스트챕터 브랜드 운영 본부의 Logistics Team에서는 수천억 규모 연매출의 화장품 브랜드 회사의 물류 팀장 출신의 주도 하에, 넥스트챕터의 빠른 성장을 지원할 수 있는 물류 인프라와 프로세스를 만들어 나가는 도전적인 과제를 수행하게 됩니다. 글로벌 최고의 소비재 회사 P&G를 비롯하여 Google, 와이즐리 출신 브랜드 매니저, 엑싯 경험을 가진 연쇄창업가 등 업계 최고의 인재들로 구성된 넥스트챕터의 브랜드 운영 본부에서 누구보다 빠르게 성장하실 분을 찾습니다.", B2CB2B 채널 주문을 수집하고 출고 업무를 수행합니다 송장등록 배차 업무를 수행합니다 입출고 관련 물류대행사 업무를 모니터링하고 협업 프로세스를 개선합니다  창고관리시스템WMS 데이터재고 유통기한 등의 정합성을 관리합니다 라스트마일 배송 관련 이슈를 관리하고 해결합니다 교환 및 반품 관리를 지원하고 관련 프로세스를 개선합니다 입출고와 관련된 온라인 쇼핑몰 및 쇼핑몰통합관리솔루션 운영사방넷 플레이오토 셀메이트 등을 지원합니다 수출입 관련 물류 업무를 지원합니다,서류전형 - 1차 전화 인터뷰 - 2차 대면 인터뷰 - 3차 케이스 디스커션 - 처우협의,"넥스트챕터는 화려한 복지 제도 보다는 최고의 동료들과 함께 빠르게 성장할 수 있는 기회를 지속적으로 만드는 것이 더욱 중요하다고 생각합니다. 우리는 다른 회사에서 “복지 제도”라고 부르는 정책을 Nexter 경험 지원 정책(NXSP, Nexter eXperience Support Policies)이라고 부릅니다.
NXSP는 명확한 목적과 방향성 하에 활용될 경우 Nexter들의 긍정적인 행동의 변화를 이끌어내는 Nudge로서 기능할 수 있다고 믿습니다. NXSP는 생산성(Productivity), 건강(Health) 이라는 두 가지 목적 하에 설계를 하였으며, 앞으로도 지속적으로 넥스트챕터만의 정책을 만들어 나가고자 합니다.

• 성과에 따른 스톡옵션 제공
• 사내 호텔급 피트니스 센터 무료 이용 가능
• 운동비 월 10만원 지원
• 입사 시 각종 생산성 장비 구매 지원 10만원
• 팀 회식비 인당 월 3만원 지원
• 사내 식당 점심비 지원
• 도서 구매 무제한 지원
• 회사 근처로 이사 시, 이사비 100만원 지원
• 야근 시 식대 15,000원 지원
• 야근 후 귀가 시 택시비 지원","서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)", 자사몰 이커머스 또는 풀필먼트 회사에서 주문 관리 및 물류 운영 경력 5년 이하 물류 및 수출입 업무 프로세스 대한 이해 협력적인 사고 고객지향적 사고 및 문제 해결력 업무 정확도 및 프로세스에 대한 끊임없는 개선의식 쇼핑몰통합관리솔루션 사방넷 플레이오토 셀메이트 등 사용 경험이 있는 분 물류센터 업무 프로세스 이해가 있는 분 SAP ERP 또는 WMS 사용 경험이 있는 분 문제를 정의하고 해결과는 과정에서 성취감을 느끼는 분,3849
