회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)업스테이지,정규직,"['C++', 'AI', 'python']","업스테이지는 AI 기술로 해결할 수 있는 비즈니스 문제들을 풀어갑니다. Making AI Beneficial 이라는 미션 아래, 누구나 AI 기술의 혜택을 누릴 수 있도록 '적용이 쉬운 AI 솔루션'을 만들고 있습니다. 세계 최고 수준의 AI 모델과 그 모델을 지속적으로 관리, 개선, 운영하기 위한 데이터, 학습, 서빙과 관련된 모든 필수 소프트웨어를 하나로 묶은 “AI Pack” 그리고 OCR 및 개인화 기술을 다양한 분야에서 손쉽게 활용할 수 있는 API 시리즈를 출시하여 기업 고객들의 비즈니스 성공에 기여하고 있습니다.

또한 ChatGPT를 적용한 카카오톡 채널 기반 챗봇 '애스크업'(AskUp)을 통해 모바일 사용 경험의 혁신을 이루는 동시에 AI분야에 대한 대중들의 접근성과 신뢰성을 높여가고 있으며, Chat AI 기술을 비즈니스 환경에 맞게 최적화해 기업들의 업무 효율과 생산성을 높일 수 있는 ‘애스크업 비즈’(AskUp Biz)를 운영하는 등 AI가 세상에 이롭게 쓰이게 하기 위해 노력하고 있습니다.



AI Solution Dev&Operation은 고객의 성공적인 가치 창출을 위해 업스테이지의 제품 및 서비스를 고객사에 구축하고 구축된 솔루션의 운영을 담당합니다. 이와 동시에 해당 제품이 적용되는 Use-case 의 높은 이해도를 바탕으로 제품 및 서비스 고도화에 기여합니다. 특히 고객과의 접점이 필수적인만큼 신뢰도 높은 관계를 구축하고, 다양한 요청사항에 대해 신속하게 대응하기 위해 고객사 파견 및 출장 등 면대면 협업의 비중이 큰 편입니다.", 고객의 문제를 이해하고 그를 가장 효과적으로 해결하기 위한 가설 제시 및 검증을 수행 제품의 요구 사항을 이해하고 이를 개발 목표 및 연구 과제로 변환 모델 성능에 대한 객관적인 메트릭 정의 및 측정모집분야 Computer vision Natural language processing Multimodal modeling,"서류 전형 
알고리즘 코딩테스트
딥러닝 코딩테스트
기술 인터뷰 
(Optional) 딥러닝 코딩테스트 (2차) or 기술 인터뷰 (2차)
컬처 인터뷰
최종 인터뷰
최종 결과 발표 

*절차는 상황에 따라 조정될 수 있습니다.
*최종 인터뷰 후, 레퍼런스 체크 절차가 진행될 수 있습니다.","- 개개인의 업무 자율성을 위하여 유연근무제도를 운영하고 있습니다.
- 업무 효율을 높일 수 있는 쾌적한 근무환경을 제공합니다.(간식 스테이션, 안마의자, 허먼밀러 등)
- 근무에 필요한 장비를 500만원 예산 내에 자유롭게 선택하실 수 있습니다.
- 업무 관련 소프트웨어, 도서, 자료, 교육수강비 등 성장에 필요한 비용을 지원해드립니다.
- 직장 단체보험 및 연 1회 종합건강검진을 지원해드립니다.","경기 용인시 수지구 광교중앙로 338, 에이동 821호(상현동, 광교우미뉴브)", 관련 분야 석사 학위 AI 문제를 정의하고 해결하는 능력 기초 머신러닝 알고리즘에 대한 깊은 이해 Python C 등의 언어를 활용한 강력한 프로그래밍 능력 및 LinuxShell 활용 능력 CV NLP LLM 등 관심 AI 도메인의 최신 알고리즘에 대한 이해 주요 기계 학습 프레임워크에 대한 깊은 이해예 TensorFlow PyTorch 다양한 협업 환경에서 일할 수 있는 능력 훌륭한 의사 소통 능력 대규모 상용 MLCV NLP 등 제품 개발 경험 최고의 AI 컨퍼런스eg NeurIPS ICML ICLR AAAI CVPR ICCV ECCV ACL EMNLP KDD etc에서 1저자 혹은 교신저자로 출판 기록 국제 혹은 국내 AI 대회 Kaggle 등 상위권 입상 대규모 데이터로부터 AI 모델 학습 및 추론을 위한 datamodel pipeline을 개발한 경험 AI 관련 연구 또는 프로덕트 개발을 리딩한 경험 새로운 연구 혹은 개발 방향성을 제시할 수 있는 능력,4791
(주)업스테이지,정규직,"['java', 'AI', 'python', 'ml']","업스테이지는 AI 기술로 해결할 수 있는 비즈니스 문제들을 풀어갑니다. Making AI Beneficial 이라는 미션 아래, 누구나 AI 기술의 혜택을 누릴 수 있도록 '적용이 쉬운 AI 솔루션'을 만들고 있습니다. 세계 최고 수준의 AI 모델과 그 모델을 지속적으로 관리, 개선, 운영하기 위한 데이터, 학습, 서빙과 관련된 모든 필수 소프트웨어를 하나로 묶은 “AI Pack” 그리고 OCR 및 개인화 기술을 다양한 분야에서 손쉽게 활용할 수 있는 API 시리즈를 출시하여 기업 고객들의 비즈니스 성공에 기여하고 있습니다.

또한 ChatGPT를 적용한 카카오톡 채널 기반 챗봇 '애스크업'(AskUp)을 통해 모바일 사용 경험의 혁신을 이루는 동시에 AI분야에 대한 대중들의 접근성과 신뢰성을 높여가고 있으며, Chat AI 기술을 비즈니스 환경에 맞게 최적화해 기업들의 업무 효율과 생산성을 높일 수 있는 ‘애스크업 비즈’(AskUp Biz)를 운영하는 등 AI가 세상에 이롭게 쓰이게 하기 위해 노력하고 있습니다.

업스테이지 AI Solution Architect는 고객과 직접적인 관계를 맺으며, 고객이 AI 팩을 활용하는 과정에서 어려움에 봉착한 경우에 가이드하는 역할을 합니다. 또한 고객의 니즈를 가장 가까운 곳에서 들을 수 있는 동시에 프로덕트를 성공시키기 위한 핵심적인 역할입니다. 특히 고객과의 접점이 필수적인 만큼 신뢰도 높은 관계를 구축하고, 다양한 요청사항에 대해 신속하게 대응하기 위해 고객사 파견 및 출장 등 면대면 협업의 비중이 큰 편입니다.", 고객사가 AI 기술을 성공적으로 도입할 수 있도록 기술 지원 ex 모델의 구현 방식과 결과에 대해 설명 proof of concept  bench mark test 리딩 기타 기술 지원에 대한 협의     고객사 서버에 클러스터 및 AI Pack 설치     고객사에 제공되는 모델의 Finetuning 업스테이지 제품 개발팀 비즈니스팀 데이터팀 모델링팀 교육팀 등과 긴밀하게 협력,"- 서류 전형
- 롤매칭 인터뷰
- 협업/기술 인터뷰
- 컬처 인터뷰 
- 최종 인터뷰
- 최종 결과 발표

*절차는 상황에 따라 조정될 수 있습니다.
*최종 인터뷰 후, 레퍼런스 체크 절차가 진행될 수 있습니다.","- Anywhere On Earth But Together! ‘어디서든’ 함께 일할 수 있으며, 주로 사용하시게 될 오프라인 오피스는 강남역에 있습니다. 
(주 1회 코워킹을 위해 강남 오피스에 출근합니다.
- 원격 근무에 필요한 장비를 500만원 예산 내에 자유롭게 선택하실 수 있습니다.
- 근무를 위한 카페 이용 시 음료 비용, 스터디룸 혹은 공유오피스 이용 비용 등을 지원해드립니다.
- 업무 관련 소프트웨어, 도서, 자료, 교육수강비 등 성장에 필요한 비용을 지원해드립니다.
- 직장 단체보험 및 연 1회 종합건강검진을 지원해드립니다.","경기 용인시 수지구 광교중앙로 338, 에이동 821호(상현동, 광교우미뉴브)", AIML에 대한 기본적인 이해와 관심 혹은 경험 Python Java 등을 활용한 기초적인 스크립팅 디버깅 경험 다양한 OSUbuntu Windows의 기술적 이해 및 개발 경험 기술적인 내용을 이해하기 쉽게 설명하는 능력 원활한 협업에 필요한 탁월한 커뮤니케이션 역량 빠른 기술 발전에 적응 이해하고 설명할 수 있는 역량 소프트웨어 엔지니어링 또는 AI 모델링 경력 IT 전략 수립 또는 고객사와 직접적으로 소통한 경험 유관 업무 경력 2년 이상 보유,4792
비즈톡(주),정규직,"['aws', '시스템엔지니어', '클라우드', 'SE']","비즈톡은 국내 최초로 알림톡 서비스를 상용화 시킨 카카오 비즈 메시지 공식 파트너사로,
기업형 메시지 서비스와 비즈니스 관련 기술 및 전문 모바일 서비스를 공급하는 IT 솔루션 기업입니다.", AWS Cloud Platform 운영 AWS 아키텍처 설계 및 검증 사내 인프라 정보보호 시스템 운영 관리 ISMS 보안인증 심사 및 보안업무외부 컴플라이언스 대응 및 취약점 조치,서류전형 > 1차면접(실무자) > 2차면접 (임원) > 합격통보,"-상여금 제공
- 4대보험, 퇴직연금
- 건강유지활동비 지원
- 연차,경조사, 창립일 휴무
- 생일파티와 생일선물
- 쾌적한 근무환경
- 개발도구 지원
- 듀얼 모니터 제공
- 개성시대
- 다양한 간식 제공
- 건강검진
- 석식 지원
- 경조금 지원
- 장기근속 포상
- 가족 휴양시설
- 월 1회 빠른 퇴근
- 단체 상해보험 가입
- 근로자 휴가 지원 사업
- 사내 동호회 운영
- 시차 출퇴근제
- 점심 지원 ",서울시 강남구 봉은사로 454 금탁타워 8층, 클라우드 구축 및 가상화 시스템 운영 경험자서비스 어플리케이션 운영 경험자서버 OS Windows Linux 기초지식 소유자 네트워크 DB OS 기초지식 소유자 다양한 부서와의 커뮤니케이션 역량을 보유하신 분 AWS 시스템 엔지니어 관련 자격증 우대 AWS 보안 인프라 운영 경험자 우대 운영 및 장애 처리 실무 경력 보유자 우대  동종업계 근무관련학과 전공자 우대,4793
(주)솔트룩스이노베이션,정규직,"['aws', '인프라', 'Cloud', '클라우드', '모니터링']","솔트룩스이노베이션은 코스닥 상장사인 솔트룩스의 자회사로서, 온프레미스와 클라우드 환경에서 AI 시스템 구축/운영 전문 기업입니다.",클라우드AWS시스템 구성 및 운영 EKS 구성 및 운영 AWS cloud 인프라 운영 인프라 모니터링 인프라 개선 및 효율화,,"• 4대보험, 퇴직연금
• 자기개발 지원 : 자기개발비, 도서구입비 지원
• 업무용 교통비 지원(업무상 주차비, 통행료, 유류비, 대중교통 이용료)
• 육아지원 : 산전 후 휴가, 육아휴직
• 자유로운 연차사용
• 명절선물
• 경조사 지원
• 카페테리아
• 선택적 복리후생 제도
• 의료비 지원","서울 강남구 언주로 538, 5층", 경력  3년 이상 학력  학사이상 남성의 경우 병역 필 또는 면제자로 해외여행에 결격사유가 없는 자 AWS 관련 자격증 보유자 Onpremise 운영 관련 경험,4794
(주)솔트룩스이노베이션,정규직,"['aws', 'Linux', 'Cloud', 'idc']","솔트룩스이노베이션은 코스닥 상장사인 솔트룩스의 자회사로서, 온프레미스와 클라우드 환경에서 AI 시스템 구축/운영 전문 기업입니다.", 인프라 설계구축 및 기술지원 Public Cloud 인프라 설계 및 관리 서비스시스템 운영 및 장애 대응,,"• 4대보험, 퇴직연금
• 자기개발 지원 : 자기개발비, 도서구입비 지원
• 업무용 교통비 지원(업무상 주차비, 통행료, 유류비, 대중교통 이용료)
• 육아지원 : 산전 후 휴가, 육아휴직
• 자유로운 연차사용
• 명절선물
• 경조사 지원
• 카페테리아
• 선택적 복리후생 제도
• 의료비 지원","서울 강남구 언주로 538, 5층", 경력  3년이상 전문학사이상 IDC 환경 Linux 또는 Windows 기반 시스템 엔지니어 경험 대용량 System Monitoring 구축운영 경험 Open Source 기반 플랫폼 Web WAS 구축 및 튜닝 운영 경험 남성의 경우 병역 필 또는 면제자로 해외여행에 결격사유가 없는자 Public Cloud 경험자 우대 AWS Certificate 소지자 우대,4795
오케스트로(주),정규직,"['java', 'python', 'Pytorch']","[오케스트로는 계속 변화합니다]
오케스트로는 스스로의 한계를 제한하지 않습니다
클라우드 산업의 새로운 기준을 만들어가는 오케스트로에서
함께 성장할 소중한 동료를 기다립니다
더 큰 성장을 통해 세상을 변화 시키시고 싶은 분이라면 지금 바로 합류하세요

AI Service 팀은
1) 클라우드 도메인에 최적화된 생성형 AI(LLM)를 연구하며,
2) 연구의 내용을 OKESTRO 솔루션에 적용할 방안을 기획하여 개발하고,
3) 연구의 성과를 글로벌 컨퍼런스에 발표하며 지적재산권을 확보합니다
젊고 활기찬 연구원들이 일에 대한 열정과 즐거움으로 똘똘 뭉쳐 폭풍성장하며 솔루션 지능화에 기여합니다",입사 후 담당할 업무 안내드려요  클라우드 도메인에 최적화된 생성형 AILLM 연구  Prompt Engineering LangChain 등 최신 LLM 기술 기반 클라우드 도메인 질의응답 시스템 고도화  연구된 AI 기술 논문화 및 특허화  연구된 AI 기술 상용화를 위한 개발 지원,,"• 자율 출퇴근
매일 매일 편한 시간에 출근하세요(9시 ~ 10시)
하루 8시간 열심히 근무하신다면 언제든지 퇴근 하셔도 괜찮아요

• 식비 지원
오케스트로는 점심, 저녁 식대를 제공해드려요
매일 매일 맛있는 식사로 힐링해 보세요

• 각종 휴가 지원
눈치 보지 말고 자유롭게 신청하세요 (연차, 반차, 반반차 운영)
여름휴가(연차 외 최대 3일), 기념일 휴가(본인, 자녀 입학/졸업식 유급)를 제공해드려요

• 개인 장비 지급 (Mac Pro, 모니터 등)
빛나는 성과를 내는데 꼭 필요한 최고급 사양의 업무용 장비를 지원해드려요
필요한 장비, 필요한 소프트웨어는 언제든지 지원해드리니 부담 없이 요청해주세요

• 도서 구입비 지원
개인의 성장이 조직의 성장을 이끈다고 믿어요
새로이 발전하는 기술 트렌드를 익히고 발전시킬 수 있도록 교육비, 도서 구입비를 지원해드려요

• 결혼 장려금 / 출산 장려금 지원
개인의 생활과 직장이 조화를 이루도록 지원해드려요
일생에 가장 축하할 일인 결혼과 출산 장려금을 드려요

• 자유로운 복장
개인의 개성과 스타일을 존중해요
편하게 입으시고, 눈치 보지 마세요

• 그 외
종합 건강검진, 생일 축하(선물 & 조기 퇴근), 명절 선물 등","서울 영등포구 여의대로 108, 43층",이런 분을 찾고 있어요  자연어처리에 대한 기술적인 이해 뿐만 아니라 어떻게 활용할 지에 대한 인사이트를 고민하시는 분  이공계 석사 이상 또는 이해 준하는 역량이 있으신 분  트랜스포머에 대한 폭넓은 이해 및 구현 경험이 있으신 분   PyTorch를 활용해 NLP 프로젝트 수행한 경험이 있으신 분  실패와 실수를 두려워하지 않으실 분  개인의 성장을 바탕으로 팀의 성장을 함께 이끌어가실 분이런 부분이 있으면 더욱 좋아요  2년 이상의 NLP 연구 경력 혹은 이에 준하는 개발 경력을 보유하신 분   MSP 관련 경험을 보유하신 분   도커 K8s 운영 경험을 보유하신 분   ML 모델 학습 배포 파이프라인 구축 및 운영 경험이 있으신 분   형상 관리 툴Git Bitbucket을 체계적으로 관리 및 이해도가 높으신 분 ,4796
차봇모빌리티(주),정규직,"['swift', 'kotlin', 'React Native', 'Flutter']","""자동차와 함께 하는 모든 순간""
차봇 모빌리티는 운전자가 스스로 자동차의 모든 것을 해결할 수 있도록 돕는 모빌리티 플랫폼 스타트업이에요.

국내 자동차 산업은 
관련 비즈니스만 200조원 이상으로 추산되는 거대한 시장이며, 
그 안에는 차를 사고, 타고, 파는 것과 관련된 다양한 서비스들이 있어요. 

하지만 이 서비스들은 대부분 오프라인 중심으로 흩어져 있어,
내게 맞는 서비스와 필요한 정보를 쉽게 찾기 어려워
운전자들은 많은 불편함을 겪어왔어요.

차봇은 이런 서비스들을 온라인에서 하나의 플랫폼으로 모아,
데이터 기반으로 개인별 맞춤형 서비스를 제공함으로써
이 문제를 해결하고 싶은 사람들이 모인 팀이에요.

2023 아기 유니콘 기업으로 글로벌 기업 성장성을 인정받으며
106억 규모의 누적 투자 유치를 통해 미래 성장 가치를 인정받은 
차봇 모빌리티와 함께 하고 싶다면, 지금 합류하세요!", 어떤 포지션으로 합류하나요 딜러를 위한 차봇 통합앱과 연관된 개발을 담당하게 돼요 그 외 사업 목표 인한 B2B 관련 앱을 개발하게 돼요 합류하게 된다면 어떤 팀에서 일하게 되나요  테크셀에서 소프트웨어 엔지니어 클라우드 엔지니어 등의 크루들과 같이 일하게 돼요 테크셀에 대해 더 설명해주세요 차봇 딜러 플랫폼의 개발을 책임지는 셀로 모바일 서비스 및 개발 및 백오피스 개발을 해요 테크셀에 합류하면 이런 일을 해요 딜러들을 위한 모바일 서비스 2개를 신규로 앱 통합하는 개발을 하게 돼요 그 외에 전사에서 필요한 업무용 앱을 개발하게 돼요 B2B 사업에서 추후 진행하게 될 모바일 서비스를 개발하게 돼요,"■ 채용은 이렇게 진행돼요.
01. 서류 검토
02. 밸류핏&직무 인터뷰
03. 리더&컬쳐핏 인터뷰
04. 처우 협의

※ 포지션에 따라 채용단계가 다를 수 있어요.","■ 최고의 몰입 환경을 위한 복지를 제공해요
• 차량구입비 지원 : 본인이나 가족의 차량 구매 시 소정의 비용을 지원해요.
• 장비 지원 : 맥북 프로, 듀얼모니터 등 업무에 필요한 최신 장비를 최대한 지원해요.
• 유연근무제 : 본인의 통근시간, 생활패턴 등을 고려해 원하는 출근시간대를 선택할 수 있어요.
• 수평적 조직문화 : 대표님을 포함한 모든 구성원들은 서로 존중하며 상호 존칭을 사용하고 있어요. 
• 웰컴 키트 : 신규로 합류하는 직원을 위한 맞춤형 입사 선물을 드려요.
• 자기계발 지원 : 업무 능력 향상을 위해 필요한 온·오프라인 교육, 명사 특강, 도서 구매 등을 지원해요.
• 1년 근속자 축하 : 입사 후 1년 동안 고생하셨다는 의미로 소정의 선물을 드려요.
• 장기근속자 포상 : 근속 3, 6주년시 휴가비와 리프레시 휴가를 드려요.
• 생일자 선물 : 매년 생일시 소정의 모바일 상품권 또는 소정의 선물을 드려요.
• 정부지원 혜택 : 중소기업 청년 소득세 감면 혜택을 받으실 수 있어요.","서울 성동구 아차산로 104, 4층", 이런 경험과 역량을 가진 분을 찾고 있어요 React Native Flutter 등 모바일 플랫폼 관련 프레임워크 개발 경력 3년 이상이신 분 Redux와 같은 상태 관리 라이브러리를 사용해본 경험이 있는 분 JavaScript SDK 혹은 Library 개발 경험 Swift Kotlin React 개발 경험이 있으신 분 모든 개발언어가 필수는 아님 Android iOS의 UIUX 가이드라인에 대한 이해도가 높은 분 유닛 테스트 작성과 코드 리뷰를 해보신 분 자기주도적이고 적극적인 커뮤니케이션을 좋아하시는 분 비즈니스 상황에 맞는 최선의 기술을 선택할 수 있는 분 빠른 주행직무 적응을 위해 이런 커리어 부스터가 도움이 돼요 클린코드 지속적 리팩토링 지향하시는 분 비즈니스 상황에 맞는 최선의 기술을 선택할 수 있는 분 기술 부채를 스스로 해결해 보신 분,4797
(주)케이뱅크,정규직,"['ci', '클라우드', 'CD', 'Kubernetes']","금융이 꼭 필요한 이유는
우리의 자산을 불려주고
더 나은 가능성을 꿈꾸게 하는 것입니다.

케이뱅크는
고객의 시간을 아껴주고,
고객의 고민을 덜어주며,
선별된 투자 기회로 고객님이
자산을 키워가는 기쁨을 드립니다.

금융서비스의 변하지 않는 가치를 통해
조금씩 나아지는 생활의 변화를 함께 하겠습니다.

""합리적이고, 실용적인 은행 Kbank""", 클라우드오픈소스 기술 관리 및 운영 클라우드 환경 배포 프로세스 구축 및 연계 클라우드 모니터링 환경 구축 장애 발생 시 문제해결 재발 방지 관리 서비스 성장 지원을 위한 환경 구축 및 개선 포인트 제시,,"• 일할 땐 일하고 쉴 땐 쉬어요
 - 나의 Life style에 맞추어 선택할 수 있는 시차출퇴근제
 -  묻지도 따지지도 않고 쓸 수 있는 연 3일 자기계발휴가
 - 그 외에도 기쁜 일을 축하하고 슬픈 마음에 위안이 되도록 경조휴가를 지원

• 나와 내 가족을 돌봅니다 
 - 아프고 다쳤을 때 든든한 힘이 될 단체보험 가입
 - 부모님께서 건강하셨으면 하는 마음에서 부모님 의료비 지원
 - 연1회 전문 검진기관에서 건강검진을 지원하며, 필요한 가족 1인도 가능
 - 어린이집부터 대학까지 자녀를 잘 키우실 수 있도록 자녀 교육비 지원
 - 법정 육아휴직 1년 + 케이뱅크에서 제공하는 1년 = 총 2년의 육아휴직 가능
 - 설과 추석에 마음을 담은 명절선물까지  

• 당신의 삶에 윤기를 더합니다
 - 자기개발에 쓸 수 있는 쏠쏠한 복지포인트 
 - 원활한 소통을 돕고자 통신비 지원

• 일에 몰입할 수 있는 공간과 환경을 지원합니다
 - 사옥 내 다양한 편의시설(간식자판기, 로봇커피, 안마의자 등)
 - 서울의 중심에서 즐기는 힙지로라이프","서울특별시 중구 을지로 170, 을지트윈타워 6층", Kubernetes 기반 서비스 운영 경험이 있는 분 클라우드 네트워크 설계 및 운영 경험이 있는 분 클라우드 환경 모니터링 서비스 구축 경험이 있는 분 CICD Pipeline 구축 및 운영 경험이 있는 분 클라우드에 대한 지식과 관심이 있는 분 아키텍처 평가를 위한 지표 수립 경험이 있는 분 다양한 구성원과 유연하게 커뮤니케이션을 할 수 있는 분 새로운 도전을 두려워하지 않고 성장을 위해 노력하시는 분 책임감을 가지고 자기주도적으로 일을 추진하시는 분 프로젝트를 리딩한 경험이 있는 분 아키텍처 로드맵을 스스로 제시할 수 있으며 이를 구축하기 위한 각 단계들을 동료들에게 이해시키고 세분화하여 진행하실 수 있는 분,4798
(주)케이티넥스알,정규직,"['c', 'C++', 'python', 'Linux', 'Cloud', 'shell script', 'storage', 'Jenkins', 'ansible', 'k8s']","""데이터 서비스를 통해 새로운 가치와 혁신을 리딩하는 기업 kt NexR""

디지털 혁신의 시대 국내 최고의 전문인력, 축적된 경험과 전문기술을 바탕으로 데이터 컨설팅, 시스템 설계 및 구축까지 엔터프라이즈 환경에 최적화된 형태의 토털 데이터 서비스를 제공하는 기업입니다. kt NexR은 오픈소스를 기반으로 한 빅데이터 플랫폼 뿐만 아니라 데이터 컨설팅, Edge Computing, Kubernetes 환경, 비식별화 솔루션, 분산DB, Storage, BigData as a Service 등 데이터 중심의 서비스 환경을 제공함으로써 고객이 필요로 하는 최상의 해답을 제공합니다. 

변화의 중심에서 함께 새로운 길을 만들어나갈 크루를 모집합니다.

* 서비스 소개
  - 데이터 컨설팅 : 고객의 데이터 현황 분석 및 활용방안 제언
  - 시스템 설계 및 구축 : 빅데이터 플랫폼 설계 및 구축 프로젝트 수행
  - Cloud 서비스 : Cloud 기반 빅데이터 서비스 제공
  - 분석 프로젝트 : 분석 프로젝트 수행
  - 시스템 운영 : 빅데이터 시스템 운영",  Ceph 분산 스토리지 구축  Ceph 분산 스토리지 테스트  배포  운영 자동화 모니터링 도구 개발  Ceph 분산 스토리지 관련 기술 연구 및 도입  Ceph 분산 스토리지 기술지원,,"[더 몰입할 수 있게]

• 근무 장소와 시간을 자율적으로 선택하는 하이브리드 근무제 (재택+사무실 근무)
• 시간 단위로 사용할 수 있는 연차휴가
• 간식 & 캡슐 커피 & 각종 음료 무제한 제공
• 잠실역 초인접! 전망까지 좋은 쾌적한 오피스
• 최신 IT 장비 지급 (모션 데스크, 듀얼모니터)



[안정된 생활과 성장을 위해]

• 금요일 2시간 단축 퇴근
• 실손의료보험 지원
• 독감예방접종 (연 1회) 지원
• 통신비 지원(kt 가입자 한정)
• 전자도서 및 제한 없는 도서 구입비 지원
• 직무 관련 교육비 지원 
• 사내 스터디 활동 지원
• 심리상담 지원
• 선택적 복리후생비 지원
• 급식,통근보조비 지원
• 야근 교통비 지원 


[삶의 중요한 순간을 함께]

• 입사를 축하해요! 나만을 위한 웰컴키트 제공
• 다양한 경조사 지원
• 입사 1주년 기념휴가
• 장기근속자 포상
• 연차저축제도 운영","서울시 송파구 올림픽로 295, 삼성생명 잠실빌딩 16층", 경력  관련 경력 2년  LinuxUNIX 시스템에 대한 지식 운영체제 배경 지식 분산 시스템 지식 스토리지 시스템 지식  소프트웨어의 고가용성 내고장성 구성 경험  분산 스토리지 구축 및 운영 경험  데이터 흐름 관찰 및 병목 구간 도출 능력  ansible chef Puppet과 같은 클러스터 오케스트레이션 도구 활용 능력  shell python 등 서버 관리용 스크립트 작성 능력  테스트 및 실험 설계 능력  오픈소스 연동 경험  Rest API 활용 경험  빌드테스트배포 자동화 경험,4799
(주)엠로,정규직,"['aws', 'devops', 'Cloud', '클라우드', 'Kubernetes']","엠로 Family는 HTML 글로벌 웹 표준 플랫폼을 근간으로
인공지능, 머신러닝, IoT, 클라우드, 데이터 분석엔진, 고성능 검색엔진을 포함한
디지털 신기술을 내재화하여 ""기업의 디지털 혁신""을 선도 하고 있습니다.", emroCloud 프로젝트 개발 업무 anysignCloud 프로젝트 개발 업무,- 서류전형 - 1차면접(실무) - 2차면접(임원) - 처우협의 - 최종합격,"1. 年 2회 성과급 지급(PS/PI)
2. 출/퇴근 교통비 지원(법인카드 사용)
3. 중식대 월 20만원 제공(법인카드 사용)
4. 직원대출제도(주택자금대출 및 생활안정자금 대출 지원)
5. 종합건강검진 지원
6. 장기근속 포상 (복지포인트 및 휴가 부여)
7. 경조지원/상조회 운영
8. 국내 콘도 이용 (대명, 용평리조트 및 제주도 별장)
9. 동호회 운영
10. 명절선물 및 생일선물
11. 멘토링 제도 (신입/경력)
12. 심리상담 서비스 운영
13. 교육지원(직무교육, 기본소양교육, 도서비)","서울 영등포구 당산로 41길 11, E동 5층 (당산로4가, 당산 SK V1센터)", 전산 관련 자격증정보처리기사 등 Java Spring Framework MyBatis의 기본적 이해와 개발 경험 HTML5CSS3 Javascript의 기본적 이해와 개발 경험 JSP Servlet의 기본적 이해와 개발 경험 RDBMS의 이해와 Oracle mySQL MariaDB의 개발 경험 OAuth 20 SAML 등과 같은 인증 서비스 이해 및 개발 경험 RESTful API에 대한 설계 및 개발 경험 AWS환경의 IaaS SaaS에 대한 이해 K8S EKS 환경의 운영 경험 구매 업무 경험,4800
