회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)민다,정규직,"['QA', '테스트']","민다는
자유여행이 어렵지 않은 세상을 꿈꿉니다.
자유여행을 통해 얻을 수 있는 다양한 가치있는 경험의 공유를 꿈꿉니다.
그런 멋진 여행을 쉽고 편하게 만들어 주는 자유여행 플랫폼을 꿈꿉니다.

한인민박&호텔
한인민박 및 호텔 예약서비스
10여년간 한인민박 예약 업계 1위
전세계 480개 도시 620,000개 숙박을 쉽고 간편하게 예약

투어&액티비티
전세계 120개도시 3,000여개 트립(투어/액티비티) 예약서비스
에이전시트립은 정식 라이센스를 보유한 업체만을 선별하여
여행자들에게 보다 안전한 여행을 보장하고,
호스트트립은 민박 호스트들만의 다양한 현지경험을 바탕으로 만들어져 여행자들에게 특별한 경험을 선사합니다.", 웹앱 어플리케이션 QA 및 테스트 서비스의 Feature List 및 Test Case의 작성 및 관리 근무부서  기술연구소,,"• 특별 여행지원금 제도 추가 운영 (무제한)
• 자사 여행상품(숙박/트립) 할인권 제공
• 중식/석식(야근시) 제공
• 도서 구매 지원
• 상황에 따른 탄력근무제 가능
• 사내 캡슐커피머신 비치 및 간식 지원
• 각종 경/조사금 및 명절 선물권 제공
• 업무능력 향상을 위한 온/오프라인 교육지원
• 사내 동호회 운영 및 지원",서울 중구 동호로15길 27 종하빌딩 A동 5층, QA 및 테스트 경력 5년 이상 직접 TC 작성이 가능 모바일 웹앱 기반 QA 경험 QA 프로세스의 전반적인 이해 직급직책  사원 대리급 소프트웨어 테스트 방법론 및 엔지니어링 기술에 대한 이해 ISTQB 자격 보유 성능자동화API 테스트 경험 여행 플랫폼 업계 경험,389
(주)워트인텔리전스,정규직,"['기획', 'QA', '테스트', '웹서비스']","재능은 누구나 가지고 있지만 재능을 실현하기 위해 걸어야 할 어려운 과정을 밟을 용기를 지닌 사람은 드물다. 

3년 후에 어떤 스마트폰을 사용하게 될까요?
5년 후에도 유튜브 동영상으로 정보를 찾게 될까요?

그 답은 바로, 워트인텔리전스가 알고 있습니다.
기술이야말로 우리가 살아갈 세상을 예측하고 움직이게 합니다.
10억건 이상 기술 데이터 기반의 AI 서비스 keywert를 함께 만들어갈 능력자님들을 모집합니다.",글로벌 특허검색엔진을 운영하고 있는 키워트keywert 서비스 전반에 대한 품질관리QA 업무를 담당하게 됩니다 각 기능제품별 테스트 계획 전략의 수립과 실행 릴리즈 기능 및 전체Full 테스트 케이스 작성 및 관리 활용프로세스 기반의 시나리오를 테스트에 적용 결함 및 이슈에 대한 Life cycle관리 테스트 단계별 산출물 관리 및 릴리즈 버전관리 프로젝트에 따른 매니징,,"• Flexible Time 월 2회 자유사용 (원하는 시간에 출퇴근)
• Refresh (안마의자 등 독립휴식공간) 자유이용
• Bridge (테이블 축구, 다트 등 함께 어울릴 수 있는 공간) 제공
• Werting (우리 회사만의 아침 스탠딩 미팅)
• 리프레시 휴가 : 만 3년 근속하신 분에게 몸도 마음도 한 템포 쉴 수 있는 리프레시 휴가(10일)와 휴가지원비 지원 / 5년, 7년 근속시 더 길고 알찬 리프레시 휴가 제공
• 기타 (4대 보험, 간식, 자기개발 지원)","서울 서초구 강남대로 507, 6층", 웹서비스에 대한 QA 경험 2년 이상이신 분 데이터 기반의 웹서비스 QA 경험이 있으신 분 꼼꼼하게 QA설계부터 수행까지 가능하신 분 타 부서개발팀 등와의 협업 커뮤니케이션에 자신 있으신 분 웹서비스의 프로젝트 매니저PM 경험이 있으신 분 웹서비스의 기획 경험이 있으신 분,402
콴텍(주),정규직,"['보안', '정보보안', '개인정보보호', '개인정보']","""콴텍""에서 금융 데이터 분석 전문가를 모십니다. 

""콴텍""은 폭넓은 기술력과 알고리즘을 기반으로 고객별 최적화된 맞춤형 투자전략을 자동으로 운용하는 금융투자플랫폼 개발 기업입니다. ""콴텍""은 금융위원회 주관 코스콤 로보어드바이저 테스트베드에서 2년 연속 수익률 1위를 기록하고 있으며, 업계 최초로 고객관리자산 1조원을 돌파하였습니다. 

콴텍의 자산관리 앱, 로보어드바이저 개발 솔루션 Q-엔진 등 콴텍의 기술로 자산관리를 갈망하는 모든 사람이 누구나 쉽고 편리하게 자산관리를 이용할 수 있도록 하는 것이 콴텍의 목표입니다.", 금융회사에서 주도적으로 정보보호 관리자의 역할을 수행하신 경험을 가지신 분을 찾습니다 전자금융감독규정 신용정보보호법 개인정보보호법 등 법률에 대한 이해도가 깊으신 분을 찾습니다 다양한 부서와의 협업에서 빠르고 정확한 의사결정을 위해 탁월한 커뮤니케이션 능력이 필요합니다 정보보호 관련한 문제점을 파악하고 이를 빠르게 해결할 수 있는 역량이 필요합니다 개인신용정보와 관련된 개인정보유출사고 대응절차를 이해하고 수행할 수 있는 역량이 필요합니다 수행 업무 정보보호상시평가 및 금감원 감사 대응 로보어드바이저 테스트베드 시스템보안 심사 대응 개인정보보호법 의무 조치 사항 운영 정보보안 내부 규정 운영 및 보안 인프라 운영 정보보호 및 개인정보보호 관련 임직원 교육,,"• 복리후생 

 - 연차와 별도로 Refresh 휴가 제공

 - 커피 제공

 - 도서 및 업무 관련 교육비 지원

 - 생일 상품권 지급

 - 명절 선물 지급

 - 추천 인재 채용 포상금 지급

 - 야근 시 식대 및 택시비 지원","서울특별시 영등포구 여의대로 14, 14층(여의도동, KT여의도타워)						", 유관 업무 경험자 유관 업무 경험 5년 이상 금융감독원 및 금융보안원 심사 및 업무 대응 경험자 CPPG PIP 등 개인정보보호 관련 자격증 및 정보보호 기사 등 정보보호 관련 자격 소지자,1426
이노뎁(주),정규직,"['C++', 'AI', '서버']","국내최초 VMS전문기업으로, 국내 영상통합관제 소프트웨어 플랫폼 1위 기업입니다. 현재 200명이상 근무하며,
그중 절반은 연구/개발 직군으로 사내 연구소를 따로 운영하고 있으며, 2021년 6월 18일 코스닥에 상장한
안정적인 기업입니다. 딥러닝, 인공지능, 빅데이터, 사물인터넷등을 활용해 클라우드 데이터관리 플랫폼과
시각화된 데이터 리포트를 통해 새로운 비즈니스 인사이트를 제공하고 있습니다.",Vurix자사 영상관제 솔루션 Server 새 기능 개발 및 결함 관리미디어 녹화 및 스트리밍 서비스카메라와 Vurix Server간 Interface driver 개발AI 카메라 기능 연동 개발Vurix와 3rd party 시스템 인터페이스Rest Full API 서버 개발수 만대 이상의 카메라 데이터 관리자산 및 이벤트 등,서류전형 > 1차면접 > 2차면접 > 최종합격,"ㆍ지원금/보험 : 건강검진, 각종 경조사 지원
ㆍ급여제도 : 퇴직연금, 인센티브제, 우수사원포상, 퇴직금, 4대 보험
ㆍ선물 : 명절선물/귀향비, 생일선물/파티
ㆍ교육/생활 : 창립일행사, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원,
                     교육비 지원, 사내동호회 운영, 사우회(경조사회)
ㆍ리프레시 : 연차, 여름휴가, 경조휴가제, 근로자의 날 휴무, 휴가비지원, 산전 후 휴가, 육아휴직, 남성출산휴가","서울 금천구 디지털로 9길 47 한신IT타워2차 9층, 11층",25년차 1명 6년차 이상 1명C 개발 경험이 각각 2년 6년이상 있으신 분DB 연동 경험이 있으신 분효과적인 의사전달 및 협업 능력이 있으신 분논리적이고 체계적인 문제해결 능력이 있으신 분ONVIF profile 개발 경험이 있으신 분Boost asio 개발 경험이 있으신 분RTSP  HLS  ffmpeg 개발 경험이 있으신 분Linux 시스템 숙련자Nodejs 개발 경험이 있으신 분Agile 개발 문화 경험 및 TDD 방법론 경험이 있으신 분,1427
(주)미투온,정규직,"['MS-SQL', 'DB', '데이터베이스']","미투온은 2010년에 설립된 회사로 자본금 156억원, 매출액 1,307억원, 사원수 232명 규모의 중소기업입니다.
서울 강남구 학동로 343 (논현동, 포바강남타워)에 위치하고 있으며 소셜, 모바일게임 개발 및 퍼블리싱사업을 하고 있습니다.", 게임 DB 개발 및 유지보수 ASP ASPNET 구성된 API BackOffice 웹 관리 및 개발,"• 근무지
- 서울 강남구 학동로 343, 6층","• 각종 경조사 지원
• 생일축하 상품권 및 반차 제공
• 저녁 식대 제공
• 임직원 대출제도
• 보육수당 지급
• 카페테리아 및 스낵바 운영
• 패밀리데이: 매월 첫째주 금요일 6시 퇴근
• 장기근속 특별상여금: 근속 2년이상 짝수년도 상여금 지급
• 결혼기념일 선물
• 매주 마지막주 수요일 간식제공

미투온 홈페이지: https://www.me2on.com/","서울 강남구 학동로 343, 6층", MSSQL에 대한 이해 MSSQL 성능 최적화 모델링 SP 개발 쿼리 튜닝 가능 원활한 커뮤니케이션 능력 게임 DB 개발 경험 있으신 분 상용 게임 오픈 경력 있으신 분 MongoDB 개발 경험 있으신 분 Redis 사용 경험 있으신 분 이공계열 전공자 우대,1428
필락시스(주),정규직,"['네트워크', 'Linux', '보안', 'PostgreSQL']","날이 갈수록 우리 삶에서 온라인이 차지하는 비중은 점차 증가하고, 이에따라 사이버 공격역시 기하급수적으로 증가하고 있으며, 그 어떤 웹사이트도 안전하다고 장담할 수 없습니다.

이러한 시장 속에서, Phylaxis는 효율적인 방화벽 솔루션을 제시하고자 합니다.", Phylaxis의 첫 번째 프로덕트 Reverse Proxy 형태 방화벽을 제작해요 Phylaxis의 방화벽 소프트웨어를 개발해요 비정상 HTTP 요청의 패턴을 차단해요 브라우저 유효성 검증을 위한 JS 챌린지를 만들어요 주업무 아님 Phylaxis의 방화벽 소프트웨어의 안정적 운영을 위한 Errortracking을 진행해요,서류 -> 1차 인터뷰 -> 최종 인터뷰 -> 연봉협상 -> 최종 합격,"-직원들의 열정에 보답하고 싶습니다.
인센티브제, 장기근속자 포상, 스톡옵션, 퇴직금, 성과급, 4대 보험

-편안하게 일할 수 있는 최선의 환경을 제공합니다. 
사내 어린이집 운영, 휴게실, 회의실, 공기청정기, 안마의자, 유니폼지급

-직원 중심의 조직문화를 만들어갑니다.
수평적 조직문화, 회식강요 안함, 님/닉네임 문화","서울 중구 남대문로7길 16, 507호", Golang 사용 경험자 MongoDBNoSQL 혹은 PostgreSQLRDBMS 사용 경험자 Redis 사용 경험자 ClickHouse 사용 경험자 Kafka 사용 경험자 웹 애플리케이션 방화벽에 대해 깊은 관심을 갖고 있는 자,1429
(주)이롬넷,정규직,"['네트워크', 'aws', '보안', '정보보안', '클라우드']","이롬넷은 국내 및 해외 이용자에게 온라인 전자결제를 제공하는 회사로써 글로벌 전자지급결제 서비스를 진행하고 있습니다. 저희는 현재 전세계 대상으로 Global Fintech Service 사업을 주력으로 급성장하고 있으며, 한국 본사 외 싱가폴 지사, 홍콩 지사를 운영하고 있습니다.", 네트워크 관리   데이터센터내 서비스용 네트워크 운영 및 관리   클라우드AWS 네트워크 및 보안 그룹 운영 및 관리   오피스 네트워크무선AP 포함 운영 및 관리   인터넷 회선 및 전용회선 운영 및 관리  보안 관리   데이터센터 내 보안 솔루션 운영 및 관리   오피스용 보안 솔루션 운영 및 관리,,"• 연차, 경조휴가, 창립일 휴무
• 자율복장
• 도서구입비, 교육비 지원
• 카페테리아 (음료, 간식 무제한)
• 명절선물, 경조사비
• 건강검진 지원
• 조식지원
• 야간교통비 지원","서울 강남구 테헤란로 414, 엘엔비타워 10층", 전문학사 이상컴퓨터 전산 관련 학과 전공 우대  3년 이상의 서비스용 네트워크 구축 및 운영 경험자 3년 이상의 보안 솔루션 구축 및 운영 경험자 금융권 인프라 운영 경험자 네트워크 구성 설계 가능자 ISMS  PCI DSS 인증 네트워크보안솔루션 응대 업무 경험자 PC 설정 및 운영 능력 우수자 협업 툴을 적극 활용한 커뮤니케이션 프로젝트 진행 경험자 열정적이며 자기계발에 노력을 아끼지 않고 팀 내 기술 공유를 좋아하는 분 개방적이고 긍정적인 태도를 가지며 팀원들과 협업하는 능력,1430
(주)벨아이앤에스,정규직,"['MSSQL', 'SAP', 'ABAP', '전산', 'SD']","벨아이앤에스는 2008년 5월 종근당 계열사로 설립된 IT전문기업으로 종근당 및 그룹사의 시스템 유지보수를 담당하고 있으며 그동안 축적된 경험을 바탕으로 SI사업 및 아웃소싱 사업을 전개하고 있습니다.
벨아이앤에스는 지금까지 먼저 고객을 생각하는 서비스 정신을 최우선으로 삼아 고객의 기업가치를 증대화시키는 IT기업으로 발전하고 있습니다.", SAP SD 운영 및 개발 Legacy 시스템 운영 SAP 외 시스템과의 data Interface 업무 운영 지원,,"• 세미나, 커퍼런스 등 교육비 지원
• 도서 구매비 지원
• 창립기념일 선물 지급
• 종근당 건강식품 임직원 할인
• 간식, 점심식사식권 지원
• 생일축하선물 지급
• 연차 기본 25개 (근속 2년차)",서울 서대문구 충정로 8 (충정로3가 종근당빌딩), 학력  4년제 대학 이상 졸업 경력  경력 35년차 이상 긍정적 적극적 사고와 커뮤니케이션 보유자 SAP SD ABAP MSSQL 관련 스킬 보유자 서울 근무 전산관련 학교 졸업자 관련 자격증 보유자 제약회사 영업시스템 운영경험자,1431
(주)지바이크,정규직,"['서버', 'Php', 'nosql', 'HTTP', 'RDB']","대한민국 No.1
지바이크는 전국 50개 도시에서 전동킥보드 공유서비스 ‘지쿠터’를 운영하는 
대한민국 No.1 모빌리티 스타트업입니다. 최근 동 분야 최대규모로 Series-B 투자를 마무리했습니다.

성장 No.1
지바이크는 매년 약 4배씩 성장중이며 서비스 지역 1위, 매출 1위, MAU 1위, 성장속도 1위 등 수치적 성과 뿐만 아니라, 플랫폼 서비스 최초 도입, 기기 국산화 최초 성공, 운영의 100% 내재화 등 다양한 혁신을 통해 시장을 선도하고 있습니다.

혁신 No.1
지바이크는 생활 밀착형 플랫폼을 지향합니다. 탑승과 기기 관리에 최적화된 서비스를 만들어 온 지바이크는 이제 고객들이 찾는 역세권(G세권)을 만들고, 사람과 장소를 연결하는 온라인-오프라인 연계 플랫폼 구축을 목표로 하고 있습니다.

빠르게 변화하는 공유 모빌리티 시장에서 지쿠터의 더 큰 도약을 위한 여정을 함께 할 동료를 찾습니다.", 지바이크 내 서비스 서버 개발 지바이크 내 운영 시스템 개발,,"• 영어이름으로 실현하는 수평적 조직문화!
  지쿠터엔 직위 직급 없이 영문 닉네임으로 존칭합니다.

• 화려한 장비가 나를 감싸고!
  맥북 프로 및 와이드 모니터 등 직무에 필요한 개인장비를 제공해요.

• 자유로운 환경에서 샘솟는 업무열정!
  딱딱한 복장은 No! 딱딱한 근무시간도 No!
  자유로운 복장과 탄력 근무, 재택근무 제도가 편안한 업무환경을 보장합니다.

•  열심히 일한 그대, 리프레쉬는 자유!
  연차, 반차, 반반차까지 자유롭게 사용할 수 있습니다.

• 이왕 쉬는 거 좋은 곳에서 쉬겠습니다!
  편안한 휴식을 위해 법인 콘도 회원권을 통해 휴양시설을 지원합니다.
  전국 주요 호텔 및 리조트와 제휴를 통해 저렴하게 이용할 수 있도록 지원합니다.

• 그대는 일에 집중! 배고픔은 우리가 챙겨드릴게요!
  식대 제공과 더불어, 다양한 간식과 음료가 가득한 스낵바가 있습니다.

• 지쿠터와 바람만 있으면 어디든 갈 수 있어
  지바이크 직원이라면 무료로 지쿠터를 이용할 수 있습니다.
  더워지는 여름, 출퇴근길 땀냄새와 함께 가지말고 지쿠터로 슝!

• 일만 해선 우리사이 친해질 수 없잖아요!
  업무 외에도 동료 간 단합과 리프레쉬를 위해, 조기퇴근과 함께하는 사내 동호회 활동을 지원합니다.

• 기쁨도 슬픔도 우리 함께해요.
  설/추석 명절, 생일, 결혼기념일 등에 경조금, 경조휴가 지급됩니다. 

• 근로기준법은 당연히 지키기로 약속!
  4대보험, 퇴직연금, 연차 제공, 휴게시간 제공 등 권리를 누리세요.

• 기회가 열렸다, 친구보다 빠르게 목돈마련의 길!
  지바이크는 청년 내일채움공제(2년형)를 지원합니다.

• 나도 지쿠터 사업자!
  내 직장이 곧 황금알을 낳는 거위, 지쿠터에 투자해 수익을 공유할 기회가 있어요.",서울,  httpswwwcodenarycokrcompanydetail1989,1432
(주)이루온,정규직,"['java', '운영', 'DB', '시스템운영']","이루온은 1998 년 이동통신 핵심망솔루션 전문회사로 설립 , 국내 이동통신 산업의 발전과 함께 성장한 전문통신기술 벤쳐로 끊임없는 시장개척과 기술개발로 국내외 이동통신사의 주요 사업파트너로서 인정받아 왔습니다. 이루온은 창업후 꾸준한 성장을 기반으로 2004 년 , Vision 2010 이라는 중장기 성장전략을 수립 , 회사의 성장 로드맵을 구체화하고 이에 따라 이동통신 분야 뿐 아니라 , 유선통신 분야에까지 사업영역을 확장하여 차세대 통신 페러다임인 컨버전스 시대를 선도하기 위한 준비를 차분히 수행하여오고 있습니다.", 전산 시스템 운영 Java 전자정부프레임워크 기반 개발 소스 리뷰 반영 DB 데이터 관리 Trouble shotting 대외기관 연계시스템 연동 검증 백엔드 서버 운영,,"• 사내 카페테리아 운영
• 청년내일채움 가입
• 장기근속자 포상
• 퇴직연금
• 성과급 지급
• 통근버스 운영
• 경비 지원(야근교통비 외)
• 석식 제공
• 탁구대 비데 설치
• 종합 건강검진(공단지원 외 회사 추가 지원)
• 휴양 리조트(대명/휘닉스)
• 경조금 및 경조휴가 지원
• 회사 및 워크샵 지원",경기 성남시 분당구 대왕판교로 660 유스페이스1 에이동 905호, 전산 시스템 운영 경력 5년 이상과차장급 학력 무관 업무 협업을 위한 원활한 커뮤니케이션이 가능하신 분 Linux 환경에 익숙하신 분 Tibero DB 운영 경험이 있으신 분,1433
