회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)한국비즈넷,정규직,"['java', 'MSSQL', 'ERP', 'visual basic']","당사 대표 프로그램인 Win-SABIS는 물류 통합관리 시스템이며, 서버&클라이언트 기반으로 이루어져 있습니다.", 자사 물류ERP 시스템 운영 및 유지보수 VB6 MSSQL,,"• 직원휴게실 / 휴게실내 다과, 커피(믹스, 네스프레소머신) 비치
• 눈치보지않는 연차,반차 / 장기근속자 포상 / 자유복장
• 명절 선물 / 생일축하 선물 / 법인 리조트 회원가 이용
• 장기근속자 포상 / 사내동호회 지원 / 사우회 운영","서울 구로구 디지털로29길 38, 301호", Visual Basic 60 개발 의향이 있는 분 전산 관련 학과 전공자 Java Spring framework 교육훈련 이수 Visual Studio 개발 경험 VB6 VC  DBMSOracle  Tibero  MSSQL 운영경험자 회계 업무 경험자,62
(주)스매치코퍼레이션,정규직,"['회계', '공무', '정산', '비용정산', '예산관리', '원가회계', '매입매출관리']","[스매치코퍼레이션을 소개합니다]
‘스매치코퍼레이션’은 차원이 다른 공간의 효율을 만들어가는 프롭테크 스타트업입니다.

AI 사무실 매칭 서비스 ‘스매치', 인테리어 솔루션 ‘스매치 디자인’, AI 빌딩 매입매각 서비스 ‘빌디’ 등 프롭테크 서비스의 새로운 지평을 열어가고 있습니다. 창업 2년 만에 연간 수주 금액 150억 원과 서비스 이용사 5,000개를 돌파하였으며, 3년차인 올해는 상반기에만 수주 금액 150억원을 달성하는 등 큰 투자 없이도 BEP를 넘기며 빠르게 성장하고 있습니다.

현재 80여 명의 유능한 동료들은 스매치 서초사옥에서 매일 새로운 지표를 그리며, 자유로운 소통 속에서 자신의 잠재력을 펼치고 있습니다.

스매치코퍼레이션과 함께 시장을 혁신하고 성공을 만들 팀원을 찾습니다! 🚀

- 스매치코퍼레이션 바로가기 : https://www.smatchcorporation.kr/
- 관련 기사 1 : https://www.seoul.co.kr/news/newsView.php?id=20221216500079
- 관련 기사 2 : https://www.hankyung.com/finance/article/2023040572726

[서비스 소개]
- AI 사무실 매칭 서비스, 스매치 : https://smatch.kr
- 가장 효율적인 인테리어 솔루션, 스매치 디자인 : https://smatchdesign.kr
- AI 빌딩 매입매각 컨설팅 서비스, ‘빌디’ : https://buildy.kr",  인테리어 프로젝트 별 비용 정산  발주처 및 협력업체 예산 편성 및 실행  일주년 단위 프로젝트 예산 관리 및 정산  착공 사전 서류 및 인허가 지원  실내 건축 공무 지원,"서류 접수 → 대면 인터뷰 (필요 시, 2차 인터뷰 진행) → 처우 협의 → 최종 합류","창립일 행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 자기계발비 지원, 연차, 반차, 반반차, Refresh휴가, 퇴직연금, 장기근속자 포상, 퇴직금, 건강검진, 연차수당, 수평적 조직문화, 회식강요 X, 야근강요 X, 명절선물/귀향비, 회의실, 공기청정기, 전용 사옥, 휠체어용 난간, 장애인 화장실, 장애인 전용주차장, 장애인 엘리베이터, 커피머신 보유, 음료제공(탄산, 주스, 두유 등), 간식제공, 야간교통비지급, 법인차량 있음, 노트북, 모니터, 4대 보험, 사무용품 지급, 자유로운 연차사용, 칼퇴근 보장, 문화 회식, 신규입사자 멘토 제도","서초구 서초동 1703-8, 스매치 서초사옥",  1  3년의 회계 업무 경력을 가진 분  서류 예산 비용을 꼼꼼히 관리해 주실 수 있는 분  팀원 협력업체 클라이언트 등 내외부 인원들과 원활한 커뮤니케이션을 할 수 있는 분  MS OFFICE 활용이 원활하신 분  예산 편성 관리 및 실행에 관심이 높은 분  인테리어에 대한 이해가 있는 분  실내건축 관현 자격증 보유자,612
콴텍(주),정규직,"['보안', '정보보안', '개인정보보호', '개인정보']","""콴텍""에서 금융 데이터 분석 전문가를 모십니다. 

""콴텍""은 폭넓은 기술력과 알고리즘을 기반으로 고객별 최적화된 맞춤형 투자전략을 자동으로 운용하는 금융투자플랫폼 개발 기업입니다. ""콴텍""은 금융위원회 주관 코스콤 로보어드바이저 테스트베드에서 2년 연속 수익률 1위를 기록하고 있으며, 업계 최초로 고객관리자산 1조원을 돌파하였습니다. 

콴텍의 자산관리 앱, 로보어드바이저 개발 솔루션 Q-엔진 등 콴텍의 기술로 자산관리를 갈망하는 모든 사람이 누구나 쉽고 편리하게 자산관리를 이용할 수 있도록 하는 것이 콴텍의 목표입니다.", 금융회사에서 주도적으로 정보보호 관리자의 역할을 수행하신 경험을 가지신 분을 찾습니다 전자금융감독규정 신용정보보호법 개인정보보호법 등 법률에 대한 이해도가 깊으신 분을 찾습니다 다양한 부서와의 협업에서 빠르고 정확한 의사결정을 위해 탁월한 커뮤니케이션 능력이 필요합니다 정보보호 관련한 문제점을 파악하고 이를 빠르게 해결할 수 있는 역량이 필요합니다 개인신용정보와 관련된 개인정보유출사고 대응절차를 이해하고 수행할 수 있는 역량이 필요합니다 수행 업무 정보보호상시평가 및 금감원 감사 대응 로보어드바이저 테스트베드 시스템보안 심사 대응 개인정보보호법 의무 조치 사항 운영 정보보안 내부 규정 운영 및 보안 인프라 운영 정보보호 및 개인정보보호 관련 임직원 교육,,"• 복리후생 

 - 연차와 별도로 Refresh 휴가 제공

 - 커피 제공

 - 도서 및 업무 관련 교육비 지원

 - 생일 상품권 지급

 - 명절 선물 지급

 - 추천 인재 채용 포상금 지급

 - 야근 시 식대 및 택시비 지원","서울특별시 영등포구 여의대로 14, 14층(여의도동, KT여의도타워)						", 유관 업무 경험자 유관 업무 경험 5년 이상 금융감독원 및 금융보안원 심사 및 업무 대응 경험자 CPPG PIP 등 개인정보보호 관련 자격증 및 정보보호 기사 등 정보보호 관련 자격 소지자,1426
(주)미투온,정규직,"['MS-SQL', 'DB', '데이터베이스']","미투온은 2010년에 설립된 회사로 자본금 156억원, 매출액 1,307억원, 사원수 232명 규모의 중소기업입니다.
서울 강남구 학동로 343 (논현동, 포바강남타워)에 위치하고 있으며 소셜, 모바일게임 개발 및 퍼블리싱사업을 하고 있습니다.", 게임 DB 개발 및 유지보수 ASP ASPNET 구성된 API BackOffice 웹 관리 및 개발,"• 근무지
- 서울 강남구 학동로 343, 6층","• 각종 경조사 지원
• 생일축하 상품권 및 반차 제공
• 저녁 식대 제공
• 임직원 대출제도
• 보육수당 지급
• 카페테리아 및 스낵바 운영
• 패밀리데이: 매월 첫째주 금요일 6시 퇴근
• 장기근속 특별상여금: 근속 2년이상 짝수년도 상여금 지급
• 결혼기념일 선물
• 매주 마지막주 수요일 간식제공

미투온 홈페이지: https://www.me2on.com/","서울 강남구 학동로 343, 6층", MSSQL에 대한 이해 MSSQL 성능 최적화 모델링 SP 개발 쿼리 튜닝 가능 원활한 커뮤니케이션 능력 게임 DB 개발 경험 있으신 분 상용 게임 오픈 경력 있으신 분 MongoDB 개발 경험 있으신 분 Redis 사용 경험 있으신 분 이공계열 전공자 우대,1428
(주)벨아이앤에스,정규직,"['MSSQL', 'SAP', 'ABAP', '전산', 'SD']","벨아이앤에스는 2008년 5월 종근당 계열사로 설립된 IT전문기업으로 종근당 및 그룹사의 시스템 유지보수를 담당하고 있으며 그동안 축적된 경험을 바탕으로 SI사업 및 아웃소싱 사업을 전개하고 있습니다.
벨아이앤에스는 지금까지 먼저 고객을 생각하는 서비스 정신을 최우선으로 삼아 고객의 기업가치를 증대화시키는 IT기업으로 발전하고 있습니다.", SAP SD 운영 및 개발 Legacy 시스템 운영 SAP 외 시스템과의 data Interface 업무 운영 지원,,"• 세미나, 커퍼런스 등 교육비 지원
• 도서 구매비 지원
• 창립기념일 선물 지급
• 종근당 건강식품 임직원 할인
• 간식, 점심식사식권 지원
• 생일축하선물 지급
• 연차 기본 25개 (근속 2년차)",서울 서대문구 충정로 8 (충정로3가 종근당빌딩), 학력  4년제 대학 이상 졸업 경력  경력 35년차 이상 긍정적 적극적 사고와 커뮤니케이션 보유자 SAP SD ABAP MSSQL 관련 스킬 보유자 서울 근무 전산관련 학교 졸업자 관련 자격증 보유자 제약회사 영업시스템 운영경험자,1431
아주큐엠에스(주),정규직,"['SAP', '네트워크', 'aws', 'Linux', '리눅스', 'gcp']",아주큐엠에스는 앞선 기술과 차별화된 IT 서비스로 고객의 가치를 높이는 미래 지향적인 회사로 성장해 나가고 있습니다., OSLinux Windows 운영 신규 IT 인프라 구축 및 장애 대응 스토리지 운영 관리 백업 시스템 운영 관리,• 서류검토> 대면면접 > 채용,"• 매년 건강검진, 각종 경조사 지원, 단체 상해보험, 선택적복리후생
• 퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 4대 보험
• 자격증취득지원, 점식대지원, 사내동호회 운영
• 리프레시휴가
• 경조휴가제, 산전 후 휴가, 육아휴직",서울시 서초구 강남대로 351 청남빌딩 8층 , OSLinux Windows 운영 경험 서버네트워크 인프라에 대한 기본 지식 그룹사 SM 운영 관리 경험 우대 클라우드 서비스 AWS GCP 등 운영 및 구축 경험 OnPremise 시스템 운영구축 경험 DB Middleware 운영 경험,1434
(주)피플펀드컴퍼니,정규직,"['보안', '정보보안']","“당신을 통해 국민 절반의 신용점수를 바꿀 수 있다면?”

ㆍ 대한민국 국민의 절반은 중저신용자, 이들의 75%는 은행에서 거절되는 사실을 알고 계셨나요? 피플펀드는 이런 기존 금융의 부조리함을 해결하며 합리적이고 신뢰할 수 있는 금융을 만들어가고 있습니다.
ㆍ 중저신용자에게 더 나은 조건의 대출을 제공하고, 국내 금융기관들을 위한 리스크 관리 기술력 고도화를 지원하고 있어요.


“No. 1 PEOPLEFUND”

ㆍ 피플펀드는 누적대출액 1조 6천억 원, 개인신용대출 시장점유율 59.1%, 주택담보대출 시장점유율 24.5%로, 업계를 선도하고 있어요. (‘22년 12월)
ㆍ 비은행권 최고의 AI 신용평가 및 리스크 관리 기술을 바탕으로 손실률과 연체율을 업계 최저 수준으로 유지하고 있죠.
ㆍ ‘23년 1월, 유동성 한파 속에서도 베인캐피탈 리드로 10여 곳의 기존 주주사로부터 추가 투자를 유치해 업계 최대 규모인 누적 1,261억 원을 달성했답니다.


“최고의 동료들과 마음이 즐거운 일을 함께해요”

ㆍ 피플펀드에는 금융 산업의 구조적 문제에 공감하고, 이를 해결해보려는 회사의 미션에 매료된 각 분야의 인재들이 모여있어요.
ㆍ 130여 명의 ‘드림팀 멤버’ 보러가기: https://www.peoplefund.co.kr/team#member


“그리고 지금, 대한민국 금융을 바꾸는 여정에 함께 할 최고의 동료를 찾고 있습니다.” 

ㆍ 보통이 아닌 당신을 기다립니다 : https://pf-recruit.oopy.io/", 개인신용정보보호 정책 수립 및 운영 업무를 담당합니다 개인신용정보 유출 방지를 위한 내부통제 활동을 수행합니다 개인정보보호 관련 교육 인식제고 활동을 수행합니다 금융감독원금융보안원 등 외부기관 감사 응대 업무를 합니다,서류 전형 → 1차 직무 인터뷰 → 2차 직무 인터뷰 → 컬처핏 인터뷰 → 처우 협의 → 최종 합류,"[Support & Refresh]
• 시차출퇴근제를 운영하고 있어 출근시간을 유연하게 조정할 수 있어요.
• 일주일에 최대 3일까지 집중 업무를 위한 재택 근무가 가능해요.
• 점심 시간은 자유롭게 지정해서 사용할 수 있어요.
• 야근 후 퇴근 시 택시비를 전액 지원해요.
• 입사 첫 날, 환영하는 마음을 담은 웰컴 키트를 제공해요.
• 근속 3년마다 피플러의 재충전을 위해 리프레시 휴가를 제공해요.
• 강남역에서 도보 2분 거리! 사무실이 역과 바로 연결되어 있어요.
• 안마의자, 휴게실/수면실, 게이밍 공간 등 휴식을 위한 다양한 공간이 준비되어 있어요.
• 의자계의 에르메스, 사무용 의자의 끝판왕이라 불리는 허먼밀러 의자를 구비했어요.

[Healthy to be Wealthy]
• 점심 식대 12,000원, 야근 시 저녁 식대 10,000원을 지급해요.
• 그래놀라, 견과류, 탄산수, 우유 등 건강한 간식을 상시 비치해요.
• 다양하고 맛있는 간식을 스낵존에 상시 비치해요.
• 매주 수요일 오후는 ‘해피아워’로, 맛있는 간식을 랜덤으로 제공해요.
• 피플러와 가족의 건강 관리를 위해 연 1회 종합건강검진을 전액/할인 지원해요.
  
[Family-Oriented]
• 가족에게 중요한 일이 생기면, 유연·단축 근무를 활용할 수 있어요.
• 생일을 맞은 피플러에게 유급 반차와 상품권을 선물로 드려요.
• 결혼 시 유급 휴가 2주, 축하금, 축하 화환을 지급해요.
• 경조사 종류에 따라 유급 휴가 및 경조금, 화환을 제공해요.
• 설, 추석 명절 각각에 상품권을 선물로 드려요.
• 본인 및 배우자 출산 시 유급 휴가, 재택 근무 등이 가능해요.
  
[Good Time with Good People]
• 2주에 한 번 랜덤으로 모여 서로를 알아가는 점심 식사를 해요.
• 신규 입사자를 위한 짝꿍(buddy)을 매칭해주고, 안정적인 적응을 돕고 있어요.
• 팀 빌딩을 위한 회식비를 지원해요.
• 취미를 함께 즐길 수 있도록 사내 동호회 활동을 지원해요.
  
[Growth for Next Step]
• 무제한 도서 지원 제도를 운영해요.
• 신규입사자들이 피플펀드에 대해 더 깊이 알 수 있도록 NJT(New Joiner Training)를 진행해요.
• 업무와 밀접한 연관이 있는 외부 교육 참석을 지원해요.
• 피플러가 가진 다양한 스킬 및 재능을 공유하는 사내 클래스를 운영해요.","서울특별시 서초구 서초대로74길 14, The Asset 16층", 5년 이상의 개인정보보호 경력을 보유한 분 ISMSP ISO27001 등 정보보호체계 관련 경험이 있는 분 금융권 보안 관리체계 경험이 있는 분 내외부 이해 관계자들과의 탁월한 커뮤니케이션 능력을 가지신 분 클라우드AWS 환경에 대한 이해도가 높은 분 ISMSP AWS Security 등 정보보호 관련 자격증을 소지한 분,1439
(주)코어시큐리티,정규직,"['네트워크', 'pm', '서버', '소프트웨어', '보안']","‘사이버보안 강국 대한민국’에 힘 싣는 (주)코어시큐리티가 되겠습니다. 전 세계적으로 사이버 위협은
지능화, 고도화 , 은밀화 되어 국가,기업, 개인 등 경제적 피해는 물론 사회적 혼란을 유발하게 되어
국가 안보에도 큰 위협이 되고 있습니다 (주)코어시큐리티는 2017년부터 실제 사이버 공격에 대한 분석결과와
MITRE ATT&CK 프레임워크를 바탕으로 위협모델을 적용한 방어기술과 공격기술 디자인에 대한 전문성과
사이버훈련의 궁극적 목표 등에 대한 철학을 토대로 사이버 전(사이버 전쟁) 전문기업을 향해 나아가고 있습니다
MITRE ATT&CK에 기반한 Cyber Threat Emulatiors을 활용한 훈련을 진행하면서 기업 조직 및
개인의 역량 지표를 확인 할 수 있는 평가모델이 필요하다는 판단이 도출되어 역량 평가 모델에 대한
꾸준한 연구를 진행하고 있습니다 사이버 보안은 미래사회에서 빼 놓을 수 없는 가장 중요한 분야입니다
(주)코어시큐리티는 사이버 보안의 미래와 방향성을 함께 고민하고 성장 할 것입니다
대한민국이 전세계적으로 사이버보안 분야의 강국으로 우뚝서는데 힘을 보태겠습니다.",취약점 진단 및 모의해킹,서류전형 > 1차면접 > 2차면접 > 인성검사 > 최종합격,"업무는 자유롭게, 책임은 무겁게
ㆍ자율출근제(선택적 근로시간제) 운영
- 09:00 ~ 18:00
- 10:00 ~ 19:00

업무의 효율성을 높여주는
ㆍ듀얼 모니터, 고사양 장비 및 소프트웨어 지원

그 날 입고싶은 옷으로!
ㆍ자율 복장 근무 반바지도 가능!

아니 이렇게 많은 다과를?
ㆍ사내 카페테리아 보유
ㆍ과자 및 음료 무한 제공

출퇴근이 편한 역세권 위치!
ㆍ지하철 8호선 문정역 도보 5분

축하축하~~
ㆍ생일자 보너스 지급

괴로움은 반으로, 즐거움은 두배로~
ㆍ각종 경조사비 지원

풍성한 한가위를 극장에서~
ㆍ매년 CGV 영화권 제공

피로도 풀고 견문도 넓히고
ㆍ국내외 워크샵 실시

이루고 싶은 목표를 위해!
ㆍ우수인재 석사 및 박사 지원

마음의 양식도 채워야죠
ㆍ도서 구입비 지원

해킹이 배우고 싶다고..?
ㆍ국내외 IT 교육 및 행사 참여 기회 부여
","서울 송파구 법원로8길 9, 10층",소프트웨어 진단 자격웹 애플리케이션 및 모바일 애플리케이션 소스코드 취약점 분석 가능OWASP 국가정보원 및 행정안전부에서 발표한   각종 웹 및 모바일 취약점을 기준으로 한 진단 및 모의해킹 가능취약점 분석용 수동 및 자동화 도구   AppScan Sparrow Jyroid NMap NetScan SSR 등를 활용한 취약점 점검 수행 가능서버 네트워크 장비 보안장비를 대상으로 한 취약점 점검 가능   불필요한 정보 노출 관리자 페이지 노출 등고객소통이 원활한 분7월 중순 입사 및 8월 업무 가능한 분,1451
(주)코어시큐리티,정규직,"['네트워크', 'Linux', '리눅스', '서버', '보안']","‘사이버보안 강국 대한민국’에 힘 싣는 (주)코어시큐리티가 되겠습니다 전 세계적으로 사이버 위협은
지능화, 고도화 , 은밀화 되어 국가,기업, 개인 등 경제적 피해는 물론 사회적 혼란을 유발하게 되어
국가 안보에도 큰 위협이 되고 있습니다 (주)코어시큐리티는 2017년부터 실제 사이버 공격에 대한 분석결과와
MITRE ATT&CK 프레임워크를 바탕으로 위협모델을 적용한 방어기술과 공격기술 디자인에 대한 전문성과
사이버훈련의 궁극적 목표 등에 대한 철학을 토대로 사이버 전(사이버 전쟁) 전문기업을 향해 나아가고 있습니다
MITRE ATT&CK에 기반한 Cyber Threat Emulatiors을 활용한 훈련을 진행하면서 기업 조직 및
개인의 역량 지표를 확인 할 수 있는 평가모델이 필요하다는 판단이 도출되어 역량 평가 모델에 대한
꾸준한 연구를 진행하고 있습니다 사이버 보안은 미래사회에서 빼 놓을 수 없는 가장 중요한 분야입니다
(주)코어시큐리티는 사이버 보안의 미래와 방향성을 함께 고민하고 성장 할 것입니다
대한민국이 전세계적으로 사이버보안 분야의 강국으로 우뚝서는데 힘을 보태겠습니다.",엔터프라이즈 네트워크 및 소프트웨어 보안관련 취약점과 기술 연구,서류전형 > 1차면접 > 2차면접 > 인성검사 > 최종합격,"업무는 자유롭게, 책임은 무겁게
ㆍ자율출근제(선택적 근로시간제) 운영
- 09:00 ~ 18:00
- 10:00 ~ 19:00

업무의 효율성을 높여주는
ㆍ듀얼 모니터, 고사양 장비 및 소프트웨어 지원

그 날 입고싶은 옷으로!
ㆍ자율 복장 근무 반바지도 가능!

아니 이렇게 많은 다과를?
ㆍ사내 카페테리아 보유
ㆍ과자 및 음료 무한 제공

출퇴근이 편한 역세권 위치!
ㆍ지하철 8호선 문정역 도보 5분

축하축하~~
ㆍ생일자 보너스 지급

괴로움은 반으로, 즐거움은 두배로~
ㆍ각종 경조사비 지원

풍성한 한가위를 극장에서~
ㆍ매년 CGV 영화권 제공

피로도 풀고 견문도 넓히고
ㆍ국내외 워크샵 실시

이루고 싶은 목표를 위해!
ㆍ우수인재 석사 및 박사 지원

마음의 양식도 채워야죠
ㆍ도서 구입비 지원

해킹이 배우고 싶다고..?
ㆍ국내외 IT 교육 및 행사 참여 기회 부여
","서울 송파구 법원로8길 9, 10층",TCPIP 기반의 네트워크 프로토콜 및 인프라에 대한 기본 지식리눅스 기반의 서버 및 서비스 구축 경험 SSH 아파치 DBMS 등보안 취약점 연구경험 주로 소프트웨어 분야리버스 엔지니어링Reverse Engineering 경험MITRE ATTCK 모델 관련 기술 연구 및 구현 경험,1452
슈어소프트테크(주),정규직,"['C#', 'python', 'Linux', '자율주행', 'ROS']","슈어소프트테크㈜는 소프트웨어 테스팅 자동화 분야에서 국내 유일하게 독자적인 기술을 개발한 강소기업으로, Mission-Critical(고신뢰) 산업분야의 소프트웨어 안전성 검증을 위한 테스트 자동화 도구 및 검증 서비스를 제공하는 소프트웨어 품질 전문기업입니다.

소프트웨어로 더 안전한 세상을 만들고자 하는 비전 아래 사회적 책임을 가지고 소프트웨어 산업에 기여하고자 노력하고 있습니다.",  시뮬레이션 소프트웨어 개발 가상센서 로직 개발 시나리오 로직 개발 자율주행SW 인터페이스 개발 등,서류전형->1차면접->2차면접->최종합격,"1. 조식제공(다양한 종류의 김밥, 컵밥, 샐러드 샌드위치, 라면, 음료 등)
2. My Choic 복지포인트
3. 종합건강검진 지원
4. 시차출퇴근제
5. 자유로운 연차 사용
6. 생일선물 지급",경기도 성남시 수정구 금토로80번길 37(금토통) 인피니티타워 E동,  프로그래밍 언어 C을 이용한 소프트웨어 개발 경험 보유자  자율주행 및 시뮬레이션에 관심이 있는 소프트웨어 개발자   C Python 언어 개발 개발 경험    ROS Linux 환경 개발 경험 ,1518
