회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
아시아첨가제(주),정규직,"['cad', '공정관리', '기술지원', '안전보건관리']",,"(공정 엔지니어링)
생산 공정 프로세스에 대한 이해를 바탕으로 공정 개선 및 시설 유지, 보수 등의 업무를 수행한다. 제품 생산을 위한 최신 기술과 공정 동향을 파악하고 이를 토대로 신공정을 개발, 적용한다. 또한 실제 제품 생산 공정 운영 및 관리를 수행하며, 제품 생산에 소요되는 각종 장비의 설치 및 안정화 등의 역할을 담당한다.

(안전보건관리자)
안전보건조직의 스텝으로 안전보건관리책임자를 보좌하여 각 부서 부서장과 관리감독자의 안전보건상의 업무 및 위험성평가업무 수행에 대하여 지도, 조언하는 역할을 수행하여 회사의 전반적인 영역에서 안전보건활동이 원활하게 진행될 수 있도록 한다.

주요 업무:
(공정 엔지니어링)
1. 화학공학 일반 업무
 1) 공정 설계 및 검토
 2) 공정 안전 관련 업무
 3) 생산공정 개선 지원
 4) Engineering drawing 작성 및 관리. (PFD, P&ID, UFD and Equipment drawing)
2. 프로젝트 업무
 1) 공장 증설, 신규 사업추진, 기술 이전 등 투자 관련 업무
 2) 타당성 검토, 기술자료 관리
 3) 기본설계/엔지니어링, 설비구매, 공사 관리, 시운전.

(안전보건관리자)
1. 안전보건 관리 업무
 1) 안전보건관리규정, PSM 절차서의 유지관리
 2) 안전업무 및 PSM 실행에 따른 문서의 유지관리
 3) 안전보건위원회 실행에 따른 업무관리
 4) 안전관리계획서의 수립 및 이행관리
 5) 근로자의 건강관리, 건강증진을 위한 지도, 조언
 6) 보호구 구입에 따른 적격품 선정
 7) 작업환경 측정 계획의 수립, 이행 및 보고


필요한 역량 및 지식:
(공정 엔지니어링)
1. 공정 프로세스에 대한 이해
2. 화학공학에 대한 이해
3. P&ID에 대한 이해

(안전보건관리자)
1. 산업안전관리자
2. 공정안전보고서의 작성 및 이행관리
3. 화학공장에 대한 기초
4. 영어

필요 사용 프로그램:
1. MS OFFICE
2. 한컴 오피스
3. Auto CAD
4. SAP
","ㆍ경력 : 공정 엔지니어링 및 안전보건 담당 업무 6년 이상
ㆍ4년제 대학 졸업자
ㆍ해외여행에 결격사유가 없는 분.
ㆍ남성의 경우, 군필 또는 면제자
ㆍ우대 사항 : 영어회화, Auto CAD, 화공계열 자격증 소지자, 화공 ∙ 안전 ∙ 공정설계 ∙ 프로젝트 및 엔지니어링
                    관련업무 유경험",,"※ 서류전형 합격자에 한해 면접일정 개별 통보
ㆍ서류 전형 : 2023년 10월 16 ~ 2023년 11월 30일
ㆍ서류 발표일 : 2023년 12월 1일(금)
ㆍ1차 면접일 : 2023년 12월 4일 ~ 2023년 12월 8일
ㆍ2차 면접일 : 2023년 12월 11일 ~ 2023년 12월 15일
   - 2차 면접 합격자를 대상으로 채용검진 진행 예정이며, 채용검진 이상 없을 시 채용.
   - 상기 일정은 사내 일정에 따라 변경될 수 있음.


서류전형-1차전형-2차면접-채용검진-최종합격","우수사원/장기근속자 포상		
근속년수에 따른 종합검진, 기숙사제공
구내식당운영, 동호회활동지원	
자녀 학자금 지원, 주택(전세,구입)자금대출
샤워실 및 체력단련장 이용, 콘도운영
기타 복리후생제도",경기 평택시 세교산단로22번길 21,['안전관리'],['생산관리/품질관리'],['안전관리']
아시아첨가제(주),정규직,"['재무회계', '기술지원', '안전보건']",,"신입-재무·회계
1. 회계정보 생성, 분석 및 회계처리
2. 세무조정 및 세무조사 대응
3. 재무제표 작성
4. 회계감사 대응
5. 월, 분기, 년 단위 결산 등

[경력 - 기술지원]
(공정 엔지니어링)
1. 화학공학 일반 업무
 1) 공정 설계 및 검토
 2) 공정 안전 관련 업무
 3) 생산공정 개선 지원
 4) Engineering drawing 작성 및 관리. (PFD, P&ID, UFD and Equipment drawing)
2. 프로젝트 업무
 1) 공장 증설, 신규 사업추진, 기술 이전 등 투자 관련 업무
 2) 타당성 검토, 기술자료 관리
 3) 기본설계/엔지니어링, 설비구매, 공사 관리, 시운전.

(안전보건관리자)
1. 안전보건 관리 업무
 1) 안전보건관리규정, PSM 절차서의 유지관리
 2) 안전업무 및 PSM 실행에 따른 문서의 유지관리
 3) 안전보건위원회 실행에 따른 업무관리
 4) 안전관리계획서의 수립 및 이행관리
 5) 근로자의 건강관리, 건강증진을 위한 지도, 조언
 6) 보호구 구입에 따른 적격품 선정
 7) 작업환경 측정 계획의 수립, 이행 및 보고
","[신입 - 재무부서]
ㆍ4년제 대학 졸업자 및 졸업예정자
ㆍ해외여행에 결격사유가 없는 분.
ㆍ남성의 경우, 군필 또는 면제자

[경력 - 기술지원]
ㆍ경력 : 공정 엔지니어링 및 안전보건 담당 업무 6년 이상
ㆍ4년제 대학 졸업자
ㆍ해외여행에 결격사유가 없는 분.
ㆍ남성의 경우, 군필 또는 면제자
ㆍ우대 사항 : 영어회화, Auto CAD, 화공계열 자격증 소지자, 화공 ∙ 안전 ∙ 공정설계 ∙ 프로젝트 및 엔지니어링
                    관련업무 유경험자
","신입	재무부서	경상계열우대

경력	기술지원	화학공학계열","※ 서류전형 합격자에 한해 면접일정 개별 통보
ㆍ서류 전형 : 2023년 10월 16 ~ 2023년 11월 30일
ㆍ서류 발표일 : 2023년 12월 1일(금)
ㆍ1차 면접일 : 2023년 12월 4일 ~ 2023년 12월 8일
ㆍ2차 면접일 : 2023년 12월 11일 ~ 2023년 12월 15일
   - 2차 면접 합격자를 대상으로 채용검진 진행 예정이며, 채용검진 이상 없을 시 채용.
   - 상기 일정은 사내 일정에 따라 변경될 수 있음.


서류전형-1차전형-2차면접-채용검진-최종합격","우수사원/장기근속자 포상		
근속년수에 따른 종합검진, 기숙사제공
구내식당운영, 동호회활동지원	
자녀 학자금 지원, 주택(전세,구입)자금대출
샤워실 및 체력단련장 이용, 콘도운영
기타 복리후생제도",경기 평택시 세교산단로22번길 21,['안전관리'],['생산관리/품질관리'],['안전관리']
(주)우원기술,정규직,"['총무', '시설관리', '안전', '안전관리']",,"ㆍ산업안전보건법상 안전관리자 업무
ㆍ안전보건관련 대관업무
ㆍ시설관리 / 유지보수 
ㆍ기타 총무 업무 ","ㆍ학력 : 무
ㆍ경력 : 경력 3년 ~ 8년(대리, 주임급)
ㆍ100인 이상 제조업 안전관리 업무 경력","ㆍ인근거주자, 해당직무 근무경험
",서류전형 > 1차면접 > 최종합격,"ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,['안전관리'],['생산관리/품질관리'],['안전관리']
피에이치에이에차(유),정규직,"['자동차', '안전', '안전관리']","We are seeking a highly skilled and experienced Functional safety Engineer to join our team at the Gwanggyo office in Suwon-city. As a Functional Safety Engineer, you will be responsible for managing and securing functional safety related to Power System development, including Power Lift Gate, Power Frunk, Power Side Door and so on. You will play a crucial role in driving project success by overseeing the entire project lifecycle, ensuring adherence to project goals, and effectively communicating with global team members.","- Collaborate with cross-functional teams to define functional safety requirements for Power System.
- Conduct safety assessments and analysis to identify potential hazards, risks, and failure modes.
- Develop and implement safety concepts, strategies, and architectures to mitigate identified risks.
- Participate in the design and development of safety-critical systems, ensuring compliance with relevant safety standards (ISO 26262, Part 2, 4, 8_ASIL A).
- Perform safety analyses such as FMEA (Failure Modes and Effects Analysis), FTA (Fault Tree Analysis), and DFA (Dependent Failure Analysis).
- Define safety goals, requirements, and metrics for Power System.
- Create and maintain safety documentation, including safety cases, hazard analyses, and safety verification/validation plans.
- Collaborate with ECU supplier and System Engineering Team to ensure proper implementation of safety measures and requirements.
- Stay up-to-date with industry trends, best practices, and emerging safety standards to drive continuous improvement in functional safety practices.","- Bachelors or Masters degree in automotive engineering field.
- Strong knowledge of safety standards such as ISO 26262(Part 2, 4, 8_ASIL A), or equivalent.
- Experience with safety analysis techniques, including FMEA, FTA, DFA, etc.
- Proficiency in safety-related tools (e.g., Fault Tree Analysis software, safety analysis software).
- Ability to work collaboratively in cross-functional teams and effectively communicate safety concepts to both technical and non-technical stakeholders.
- Excellent problem-solving skills and attention to detail.
- Willingness to travel domestically and internationally for business purposes.
- Valid driver’s license","- Certification from TUV or other, training are a plus.
- Knowledge in Cyber Security, OTA
- Excellent English communication skills, both written and verbal.
- 3 years of experience in functional safety engineering, preferably in automotive industry.",,"• 휴무/휴가: 주5일근무,연차,월차,보건휴가,경조휴가,창립일휴무,리프레시휴가,포상휴가,육아휴직,남성출산휴가

•연금/보험: 국민연금,의료보험,산재보험,고용보험

•교육/자기계발: 자기계발지원,사내동호회,휴양시설,워크샵,야유회/체육대회,문화생활비,직무능력향상교육,해외연수지원,도서구입비지원,사내외국어교육,자격증취득지원

•근무환경/편의: 식대,유치원학자금지원,주차장제공,주차비지원,차량유류비,카페테리아,어린이집운영,건물내경사로,유도점자블록,장애인화장실,노트북/스마트기기,듀얼모니터,점심식사제공,저녁식사제공,간식제공,건강검진

•보장/수당: 인센티브,우수사원포상,장기근속자포상,퇴직금,명절선물,생일선물/파티,성과급,야근수당,휴일(특근)수당,장기근속수당,직책수당,자격증수당,경조사지원",충청남도 천안시 동남구 수신면 5산단1로 180,['안전관리'],['생산관리/품질관리'],['안전관리']
호텔페이토(주),정규직,"['시설관리', '소방', '안전', '안전관리', '소방설비']","HOTEL PEYTO는,
뱅뱅사거리에 위치한 강남점과 삼성역 도심공항 터미널에 위치한 삼성점이 2015년에 오픈 했습니다.
비즈니스 고객 모두를 위한 어반라이프스타일 호텔 (Urban Lifestyle Hotel)로써
고객들의 경제적 니즈를 충족시키고, 기존 비즈니스 호텔과는 차별화된 감성적이면서도 스타일리시한
페이토와 함께 성장 할 열정 있는 직원을 채용하고자 합니다.","시설관리 / 소방선임
(사원, 주임급)","- 학력 : 무관
- 경력 : 신입/경력 1년 이상
- 성별 : 무관
- 소방1급선임가능자 (소방/전기 자격 소지자 우대)
- 주간근무(09시~18시)","- 해당직무 근무경험
- 기계/전기/건축/토목 관련 자격증 소지자 우대",서류전형 > 1차면접 > 2차면접 > 최종합격,"지원금/보험
- 건강검진
- 각종 경조사 지원

급여제도
- 퇴직금
- 4대보험

선물
- 명절선물/귀향비

교육/생활
- 구내식당(사원식당)
- 점심식사 제공

리프레시
- 연차
- 경조휴가제","서울특별시 서초구 강남대로 259(서초동, 호텔 페이토)",['안전관리'],['생산관리/품질관리'],['안전관리']
(주)제니엘,정규직,"['관리', '안전', '안전관리', '산업안전', '안전관리자']","제니엘의 안전관리자를 채용하고자 합니다.

[Zeniel 최선을 다하는 사람들]
제니엘은 '일하고 싶은 사람이 마음껏 일할 수있는 행복한 사회구현'이라는 미션 아래 인재를 통한 가치경영을 하는 회사입니다.
고객감동의 실현 + 혁신경영의 추구 + 인간존중의 실현을 합친 인재를 통한 가치경영이라는 경영이념 아래에 1996년 창립이래로 총 10개의 계열사와 1개의 비영리단체로 구성되어 있으며 의료, 아웃소싱, 유통/물류/판매, 생산/제조, 시설/보안 등의 다양한 사업을 운영합니다.","• 산업안전보건법 시행령 제 18조에서 규정한 [안전관리자의 업무]
• 안전보건전담조직에서 산업안전보건법 중대재해처벌법 대응을 위한 정책수립 및 안전보건활동 지원 업무","• 학력 : 초대졸 이상 
• 관련경력 1년이상 
• (필수) 산업안전기사 또는 산업안전산업기사 자격증 보유자 
• MS OFFICE 활용 능력 우수자","• 위험성평가 수행 경력자 
• 안전보건조직체계 또는 ISO45001 인증 경험자 
• 밝고 긍정적인 마인드 소유자 
• 출장(현장점검) 및 운전가능자 ",서류전형 > 실무면접 > 임원면접 > 최종합격,"• 스마트워크 (신사옥)
• 매월 수요일 조기퇴근
• 자유로운 연차/ 반차 활용
• 신입OJT교육, 직무능력향상교육 진행
• 경조휴가, 경조금
• 생일축하선물 지급
• 교육지원, 도서구매비 지원
• 명절 상여 및 선물 지원
• 콘도/ 리조트 등 휴양시설 지원
• 본인 및 가족 건강검진 지원
• 직원대출제도 마련
• 장기근속자  포상",서울 서초구 효령로 402 제니엘빌딩,['안전관리'],['생산관리/품질관리'],['안전관리']
(주)스탠더드시험연구소,정규직,"['소방', '안전', '소방안전관리', '소방안전']","플랜트엔지니어링의 표준, 스탠더드시험연구소 : 설계, 제작, 시공, 운전 등 종합적인 엔지니어링 서비스를 제공하는 기술전문 기업","[담당업무]
* 아래 중 지원자 역량에 적합한 업무 부여

<화재안전분야 - 원자력발전소 등 원자력시설 화재안전성 평가>
▶ 화재방호(예방, 감지, 진압 등) 기본 설계
▶가연물 조사, 화재하중 산출, 방화구획
▶ 소방시설/구조물/방화벽 점검, 소방시설 적합성 평가
▶ 화재 오작동 예방을 위한 전기/전자 회로 분석
▶ 피난 시뮬레이션, 화재 열전달, 유체 거동 등 화재 모델링(전산해석)
▶ 화재 위험성평가, 공정 안전성 분석(FMEA, HAZOP 등)
▶원전 안전계통 분석, 화재 안전정지 능력 분석

<소방시스템 분야>
▶ 소방설비 개발(리튬이온배터리, 압축공기포, 풍력발전기용, 함정용 등)
▶ 소방시스템(기계, 배관, 전기, 계측제어) 설계
▶소방시스템 시제품 성능시험/성능인증
▶소화/연소 실험(자체 화재시험장 보유)
","▶ 학력/전공: 공학계열 학사 이상
▶ 전문연구요원(병역특례) : 석사 이상
","▶ 석사 이상(소방시스템 분야에 한함)
▶ 화재 시뮬레이션 경험자(FDTS, CFSAT, FDS, Pathfinder, WFDS)
▶ 유동해석/구조해석 경험자 : ANSYS 등
▶ 기술자격 보유자 : 기계, 전기, 소방, 건축, 원자력 등
▶ 논문, 학술대회 발표, 특허 실적 보유자
▶ CAD 설계 경험자
▶ 소방시스템(소화설비) 개발 경험자
","▶ 서류전형
- 필수제출 : 이력서, 자기소개서, 성적증명서
- 해당시 제출 : 지원자의 역량을 증빙하는 서류(경력기술서, 기술자격증, 논문 등) 
- 필요시 추가자료 요청

▶ 발표면접
- 희망직무관련 발표 주제 부여, 서류합격자에 한하여 상세 안내 예정
- 소요시간 : 총 60분 내외 (발표 및 질의응답 30분, 일반면접 30분)
- 면접비 및 발표자료 작성 고료 지급 (5~20만원)

▶ 최종합격
","다양한 지원금
▶ 타지역 이전자 수습기간 월세 지원
▶ 과학기술인 적립형 공제
▶ 구내식당 식비 지원
▶ 생일/명절 선물 및 상여금

역량강화 지원
▶ 외부교육훈련비 지원(연간 2회)
▶ 사내 OJT 및 역량강화 소모임 지원
▶ 직무발명보상 우수기업 지정
▶ 우수직원 포상제도 운영

가족친화기업
▶ 가정의 달 가족여행 지원금 지급
▶ 유연근무제
▶ 출산장려(출산휴가, 육아휴직, 배우자 출산휴가)
▶ 자유로운 휴가 사용
","대전 유성구 가정로 168, 신관 4층",['안전관리'],['생산관리/품질관리'],['안전관리']
(주)디와이엠솔루션,정규직,"['설비', '안전', 'kpi', '설비관리']","A Member of Borealis Group

초고압 반도전 컴파운드, 친환경형 무독 난연재료, 고압EPR절연재료 및 고무재료 제작
폴레올리핀, 염기 화학 물질, 비료의 국제적인 공급사 오스트리아계 Borealis Group 소속","ㆍ설비관리팀 KPI 관리 업무 (고장율, MTTR, MTBF, 예방정비 이행율 등)
ㆍ설비 보전 관련 각종 문서에 대한 작성 및 관리 업무(정비 작업표준, 체크 시트 등)
ㆍ생산라인 설비들에 대한 정보 관리, 문제점 해결 방안 도출 업무 안정화 업무
ㆍ관련부서들과의 긴밀한 업무 협조 진행 (생산, 안전, 생산관리 등)
ㆍ팀원들에 대한 안전 작업 준수 의무 교육 및 감독 업무
ㆍ공사 업체들에 대한 관리 (발주, 공사, 감독 등 제반 업무)
ㆍ신규 라인 프로젝트 관련한 설비에 관련된 제반 업무 공사 관련 계획과 실행 업무
ㆍ설비 보전에 대한 계획 작성 및 실행 업무 (사후 정비, 예방 정비, 예지 보전 등)
ㆍ기계 및 전기 도면에 대한 해석 능력과 작성 능력 보유(CAD 및 P&ID 등)
ㆍ생산 설비 및 제어 장치에 대한 팀원 교육 업무 (PLC, 통신/제어 장치, 유공압, 배관 업무 등)
ㆍ스페어파트 및 설비 윤활 정책 작성과 운영","ㆍ비즈니스 영어 초급 ~ 중급자
ㆍ기계/전기/전자 공학 전공자
ㆍ경력 10년~15년","ㆍ초급 ~ 중급 수준의 비니지스 영어로 업무가 가능한 자
ㆍTPM 등의 현장 개선 활동 경험자","서류전형 > 1차면접 > 2차면접 > 최종합격

ㆍ이력서, 자기소개서 (최종 합격자는 추후 제출 서류 안내)
ㆍ최종 합격자에 한하여 제출 서류 통보함","지원금/보험
건강검진, 각종 경조사 지원, 단체 상해보험

급여제도
장기근속자 포상, 우수사원포상, 퇴직금, 휴일(특근)수당, 연차수당, 직책수당, 자격증수당, 장기근속수당, 가족수당, 4대 보험

선물
명절선물/귀향비, 창립일선물지급, 생일선물/파티

교육/생활
창립일행사, 우수사원시상식, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 사이버연수원운영, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사우회(경조사회), 아침식사 제공, 식비 지원, 음료제공(차, 커피)

근무 환경
사원증, 사무용품 지급, 직원 기숙사

조직문화
회식강요 안함, 야근강요 안함

리프레시
연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직",충남 천안시 서북구 2공단8길 50,['안전관리'],['생산관리/품질관리'],['안전관리']
(주)에스알,정규직,"['안전', '안전관리', '산업안전', '안전관리자']","We make a Innovative Way of Future Railway Industry.

국내 철도신호장비업계 Top 3
철도업계에서 혁신제품인 통합 모듈형 임펄스궤도 회로장치를 최초 개발 및 유일한 생산, 공급 회사
전기/전자 신호제품 중 High-End Provider이자 loT Sensoring Solution Provider
철도 신호제어 시스템 구축의 설계부터 제조, 시공, 감리까지 사업영역을 통합 제공하는 유일한 Total Solution 회사

","ㆍ입찰서류 작성 및 인력 관리(교육, 자격, 실적 등)
ㆍ안전진단, 설계 및 감리","ㆍ경력 : 무관 (신입도 지원 가능)
ㆍ학력 : 대졸 이상 (2,3년)","ㆍ전기기사, 철도신호분야(감리)
ㆍ철도 신호 관련 업무 경력자 우대",,"지원금/보험
건강검진, 각종 경조사 지원

급여제도
퇴직금, 성과급, 4대 보험

선물
명절선물/귀향비

교육/생활
점심식사 제공, 간식 제공, 음료제공(차, 커피)

근무 환경
회의실, 유니폼지급, 사원증

조직문화
회식강요 안함, 야근강요 안함

리프레시
연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가
",경기 의왕시 오봉산단1로 50-8,['안전관리'],['생산관리/품질관리'],['안전관리']
(주)우아한청년들,정규직,"['안전', '데이터분석', '안전관리', '안전관리자']","| 우아한청년들은요?

대한민국 퀵커머스 시장을 선도하는 배민B마트와 한 번에 한 집만 빠르게, 실시간 위치도 확인 가능한 배달 서비스 배민1(one).
그리고 B마트와 배민1(one)의 배달 인프라로서 누구나 걸어서, 자동차/오토바이/자전거 등으로 배달할 수 있는 플랫폼 배민커넥트까지
우아한청년들은 일상 속 배달 소비자 경험의 새 패러다임을 열었습니다.

물류 트렌드의 중심에서 물류 네트워크 혁신을 함께 만들어갈 인재를 찾고 있습니다!

| 산업안전팀은요?

임직원 및 사업장, 협력회사에서 발생 가능한 안전보건 리스크를 사전에 점검하고 대응책을 강구하여 리스크 예방을 실천하고 있어요
산업안전보건법, 중대재해처벌법 등 법적 기준 준수 여부를 사전에 확인하고
위험요인을 제거하여 우아한청년들의 안전을 책임지고 있어요.","- 우아한청년들 사업장(본사, DC물류센터, MFC) 현장 순회 점검
- 사업장 위험성 평가 및 요인 분석
- 안전사고 예방을 위한 구성원 교육 진행
- 법적 안전기준(매뉴얼/절차/지침 등) 이행 및 안전 프로세스 운영
- 안전사고 현황 및 데이터분석을 통한 개선점 도출","- 3년 이상 안전관리 경력이 있으신 분
- 현장 안전 점검을 통해 안전사고 예방 및 개선 경험이 있으신 분
- 서로 다른 이해관계에 있는 사람들과 협업하기 위한 유연한 커뮤니케이션 역량을 보유하신 분","- 물류 및 유통업의 업무체계를 잘 이해하고 있는 분
- 안전보건경영시스템(ISO 45001, KOSHA-MS) 운영 및 관리 경험이 있으신 분
- 산업안전기사 또는 산업안전산업기사 자격증을 보유하고 계신 분",,"[우아한혜택 미리보기]

• 일한 만큼 드립니다. 주 35시간 근무 초과시 분 단위로 지급되는 연장수당
• 일할 땐 일하고, 쉴 땐 푹 쉬는 4.5일제! 월요일 오전은 쉬어요. 
• 코로나 이후에도 쭉~ 주 2일 상시 재택근무제로 효율적으로 일해요!(매월 10만원의 업무 지원금 지급)
• 복지포인트 연 200만 포인트 제공
• 자기 성장에 필요한 도서구입비 무제한 지원. 살까 말까 망설이지 마세요. 
• 가족까지 챙겨드리는 단체 상해보험 지원. 본인, 배우자, 자녀, 양가 부모님까지 실손보험 제공!
• 집 걱정을 덜어드리는 주택자금 대출 이자 지원
• 휴가에는 사유가 없습니다. 마음편하게 나눠 쓰세요 30분 단위로 쪼개서 사용하는 시간연차 제도!
• 매주 경영진과 구성원이 자유롭게 의견을 나누는 소통의 장, 우수타!(우아한수다타임, 무엇이든 물어보세요!)
• 관심과 애정으로 구성원을 챙기는 피플팀! 어디서도 볼 수 없는 차별화된 문화, 배민다움을 만들어갑니다.
• 신나게 일하실 수 있도록 최신형 장비를 지원합니다. 맥북프로, 윈도우 노트북 선택 가능! (더 쾌적하게 사용하실 수 있도록 노트북은 2년마다 최신형으로 교체해드려요)","서울 송파구 올림픽로35다길 32, 9층",['안전관리'],['생산관리/품질관리'],['안전관리']
