직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
디자인,현직원,서울,2023. 10,5.0,"""복지가 너무 좋고 자율근무제라 일정 챙기면서 편하게 근무할 수 있어서 좋아요!""","
다양한 분야의 일을 경험할 수 있어서 개인의 성장에 많이 도움이 돼요!
","
불가피한 야근이 가끔 생기지만 개선 중인 부분이라 불편하진 않은 것 같아요!
","
앞으로도 회사를 위해 힘써주시면 감사드리겠습니다!
"
미디어/홍보,현직원,서울,2023. 10,5.0,"""성장하고 발전하는 조직으로 앞으로가 더 기대됨""","
성과에 대한 보상과 독려가 명확한 편. 인정욕구 강한 본인은 덕분에 엄청 자극받아 많은 성장을 하기도 함.
","
평가가 냉정한 편이고 지속적으로 발전된 모습을 요구받는데 자신이 계속 성장해야함.
","
복지가 많이 좋아졌지만 계속 발전했으면 합니다.
"
디자인,현직원,서울,2023. 10,4.0,"""크리에이티브를 원한다면 자유롭게 펼쳐볼 수 있는 곳""","
큰 규모의 프로젝트가 많으며, 다양한 분야의 기업/브랜드들과 일해볼 수 있음. 직급은 있지만 커뮤니케이션이 편함. 본인이 이루어 낸 성과에 따라 승진기회도 좋은고같음. 본인이 적극적으로 하면 뭐든 할 기회가 생김
","
수동적인 사람이라면 버티기 힘들수도? 일이 힘든것보다 에이전시 숙명인 빠듯한 일정이나 클라이언트에 따라 달라지는 프로젝트 성격에 피곤할 수 있음. 인센이 조금 아쉬워졌기도.. 야근한 시간에 공정하게 휴가나 수당 주는데 기간이 좀 늘어났슴
","
야근은 본질적인게 좀 커서.. 그걸 바꾸기 어렵지만 많이 노력하시는 것 같아서 좋음. 사내 문화도 대부분 만족하는편..
"
마케팅/시장조사,전직원,서울,2023. 09,2.0,"""다양한 프로젝트를 진행할 수 있지만, 그만큼 체력이 요구되고열정이 곧 무기인 회사""","
점심비용 제공, 음료 및 간식 제공, 야근 시 택시비 지원
","
오래된 직원들의 주먹구구식 일처리, 다른 직원의 열정마저 잡이먹음
","
직급이란 것은 일만 많이 처리하는 것이 아니라 그만큼의 페이로 대우해주는 것이라 생각합니다. 승진 시 연봉협상이 의무는 아니지만 해주지 않는 곳은 이 회사 뿐입니다.
"
"
          전직원
      ",서울,2023. 09,,3.0,"""힙한 걸 따라가는 일을 하지만 사람은 갈려나감""","
브랜드 행사를 많이 하다보니, 브랜드 행사의 유행을 알게 되고, 업계현황에 대해서 대략 파악할 수 있습니다. 업계간의 상호작용도 많다보니 친밀감도 높아지고요. 다른 곳에서 이 회사를 다닌다고 했을 때 표면적으로 대단하다는 말을 들을 수 있습니다.
","
사람이 너무 갈려나갑니다. 매출이나 순익을 떠나서, 기본 1인 2~3프로젝트씩 안고있어야하고, 프로젝트가 끝나기도 전에 이 다음 프로젝트가 끊이질 않습니다.노동에 대한 보장을 받지 못합니다.이렇게 일이 많다보니 도미노처럼 악영향을 받습니다.직원들끼리 친하긴 하나, 안친하다면 남보다 더 못한 사이입니다. 전반적으로 날이 서있습니다.
","
딱히 없습니다. 사람을 노동 기계처럼 생각하지 말고, 사람으로 대해주시길.
"
디자인,현직원,서울,2023. 10,5.0,"""복지가 너무 좋고 자율근무제라 일정 챙기면서 편하게 근무할 수 있어서 좋아요!""","
다양한 분야의 일을 경험할 수 있어서 개인의 성장에 많이 도움이 돼요!
","
불가피한 야근이 가끔 생기지만 개선 중인 부분이라 불편하진 않은 것 같아요!
","
앞으로도 회사를 위해 힘써주시면 감사드리겠습니다!
"
미디어/홍보,현직원,서울,2023. 10,5.0,"""성장하고 발전하는 조직으로 앞으로가 더 기대됨""","
성과에 대한 보상과 독려가 명확한 편. 인정욕구 강한 본인은 덕분에 엄청 자극받아 많은 성장을 하기도 함.
","
평가가 냉정한 편이고 지속적으로 발전된 모습을 요구받는데 자신이 계속 성장해야함.
","
복지가 많이 좋아졌지만 계속 발전했으면 합니다.
"
디자인,현직원,서울,2023. 10,4.0,"""크리에이티브를 원한다면 자유롭게 펼쳐볼 수 있는 곳""","
큰 규모의 프로젝트가 많으며, 다양한 분야의 기업/브랜드들과 일해볼 수 있음. 직급은 있지만 커뮤니케이션이 편함. 본인이 이루어 낸 성과에 따라 승진기회도 좋은고같음. 본인이 적극적으로 하면 뭐든 할 기회가 생김
","
수동적인 사람이라면 버티기 힘들수도? 일이 힘든것보다 에이전시 숙명인 빠듯한 일정이나 클라이언트에 따라 달라지는 프로젝트 성격에 피곤할 수 있음. 인센이 조금 아쉬워졌기도.. 야근한 시간에 공정하게 휴가나 수당 주는데 기간이 좀 늘어났슴
","
야근은 본질적인게 좀 커서.. 그걸 바꾸기 어렵지만 많이 노력하시는 것 같아서 좋음. 사내 문화도 대부분 만족하는편..
"
마케팅/시장조사,전직원,서울,2023. 09,2.0,"""다양한 프로젝트를 진행할 수 있지만, 그만큼 체력이 요구되고열정이 곧 무기인 회사""","
점심비용 제공, 음료 및 간식 제공, 야근 시 택시비 지원
","
오래된 직원들의 주먹구구식 일처리, 다른 직원의 열정마저 잡이먹음
","
직급이란 것은 일만 많이 처리하는 것이 아니라 그만큼의 페이로 대우해주는 것이라 생각합니다. 승진 시 연봉협상이 의무는 아니지만 해주지 않는 곳은 이 회사 뿐입니다.
"
"
          전직원
      ",서울,2023. 09,,3.0,"""힙한 걸 따라가는 일을 하지만 사람은 갈려나감""","
브랜드 행사를 많이 하다보니, 브랜드 행사의 유행을 알게 되고, 업계현황에 대해서 대략 파악할 수 있습니다. 업계간의 상호작용도 많다보니 친밀감도 높아지고요. 다른 곳에서 이 회사를 다닌다고 했을 때 표면적으로 대단하다는 말을 들을 수 있습니다.
","
사람이 너무 갈려나갑니다. 매출이나 순익을 떠나서, 기본 1인 2~3프로젝트씩 안고있어야하고, 프로젝트가 끝나기도 전에 이 다음 프로젝트가 끊이질 않습니다.노동에 대한 보장을 받지 못합니다.이렇게 일이 많다보니 도미노처럼 악영향을 받습니다.직원들끼리 친하긴 하나, 안친하다면 남보다 더 못한 사이입니다. 전반적으로 날이 서있습니다.
","
딱히 없습니다. 사람을 노동 기계처럼 생각하지 말고, 사람으로 대해주시길.
"
