회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)에이아이트릭스,정규직,"['python', 'EMR', 'Linux', '유지보수', 'JIRA', 'git', '소프트웨어개발', '소프트웨어테스트', '배포', '커뮤니케이션 능력']","""AI Right Next to you”
AITRICS는 인공지능의 경계를 허물어 인류를 위한 기술로 당신과 함께하겠습니다.

AITRICS는 인공지능 원천기술을 연구/개발하고 이를 실산업영역에 접목하여 해당 분야의 혁신을 지향하는 팀입니다.

인공지능은 사람들의 삶의 양상을 근본적으로 바꿀 수 있는 파급효과가 큰 연구 분야이며 산업적으로도 아직 Early Stage로 기회가 큰 분야입니다.

AITRICS는 의료인공지능, 디지털 휴먼 등 다양한 분야에 인공지능을 활용하고 있습니다.


[ Medical AI Division ]

Medical AI는 환자의 의료 여정에서 환자와 의료진 모두에게 의미 있는 임상적 가치를 제공하는 팀입니다.
VitalCare는 AITRCIS의 기술이 적용된 첫 제품으로 환자의 의료데이터를 분석하여 병원 내 급성 중증 이벤트를 예측하는 인공지능 의료기기 소프트웨어입니다. 

조기 진단은 환자에게는 치료의 시기를 앞당기고 사망률 감소 및 예후를 향상시킬 수 있게 하고, 동시에 병원의 리소스 효율화를 가능하게 합니다.

AITRICS는 단순히 연구 주제로서의 인공지능이 아닌 의료 산업 전문 영역에서의 활용이 가능하고 이를 통해 실질적인 솔루션을 제공하는 것을 추구합니다.

아직 풀리지 않은 우리의 삶을 변화시킬 문제를 해결해 나가기 위해 함께할 팀원을 찾습니다.", 외부 커뮤니케이션 데이터 연동 Interface 협의 EMR 시스템과 제품 간 데이터 연동 소프트웨어 개발 제품 및 연동 소프트웨어 배포 유지보수 및 트러블 슈팅,,"1. Work
자율 출근제
자율 휴가제(장기 휴가 사용 가능)
대체 휴가제(주말 근무 시 연차와 별도로 제공)
고급 장비 지원
완전 자율 복장
뛰어난 동료들과 함께 일할 수 있는 환경

2. Life
중식 비용(1만원까지) 지원
야근 시 석식 비용 지원
간식(토스트, 과자, 우유 등) 무제한 제공
고급 원두와 커피머신 제공
경조 휴가와 화환 지원
출산전후휴가, 육아휴직, 임신기/육아기 단축근무제도 운영

3. Growth & Refresh
AITRICS 구성원 전용 업무/휴식 공간과 카페테리아
장기근속 휴가 제도(3/5/7/10년 근속 시 유급 휴가 각각 5/10/15/20일 추가 제공)
세미나/컨퍼런스 참가비 지원
사내 도서(역사, 인문, 자기계발, 자연과학, 경제/경영, IT 등) 구입 지원

","서울특별시 강남구 테헤란로218, AP Tower 13층", LinuxUbuntu 시스템 구축 관리가 가능하신 분 docker compose를 통해 서비스 배포 관리가 가능하신 분 python 개발 및 테스트 코드 작성이 가능하신 분 Relational Database에 대한 이해가 있으신 분 협업 도구git jira 사용 경험이 있으신 분 병원 EMR 시스템에 대한 이해가 있으신 분 의료 도메인에 대한 관심이 있으신 분 개발 및 다른 직군과의 협업 고객과의 커뮤니케이션이 능숙하신 분 꼼꼼하게 업무를 진행하시는 분 golang 개발 및 테스트 코드 작성이 가능하신 분,3106
(주)우원기술,정규직,"['소프트웨어개발', '알고리즘 개발', '연구 개발 R&D', '컴퓨터공학']",,기업부설 연구소 소프트웨어 개발 업무,"서류전형-면접전형- 최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
급여제도 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 가족수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 생일선물/파티
교육/생활 워크샵, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 카페테리아, 전용 사옥, 장애인 전용주차장, 유니폼지급, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 자유로운 연차사용
출퇴근 기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가


복지
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,학력  대졸 이상 23년경력  무관 신입도 지원 가능컴퓨터시스템공학,3110
(주)우원기술,정규직,"['소프트웨어개발', '알고리즘 개발', '연구 개발 R&D', '컴퓨터공학', '연구 plc 설계']",,기업부설 연구소 PLC프로그램 업무,"서류전형-면접전형- 최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
급여제도 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 가족수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 생일선물/파티
교육/생활 워크샵, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 카페테리아, 전용 사옥, 장애인 전용주차장, 유니폼지급, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 자유로운 연차사용
출퇴근 기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가


복지
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,학력  대졸 이상 23년경력  무관 신입도 지원 가능컴퓨터시스템공학,3112
(주)알세미,정규직,"['java', 'c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. 
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다", 개발팀 주니어 SW 개발자전문연구요원 글로벌 Toptier 반도체 기업 및 연구기관에 제공할 엔지니어링 솔루션 소프트웨어 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 온라인 인터뷰 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다","[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 컴퓨터 과학 또는 관련 공학기술 분야의 석사 이상 학위 취득자 새로운 기술 습득 및 도입에 적극적인 태도 소프트웨어 개발 라이프 사이클에 대한 이해 뛰어난 구두 및 서면 커뮤니케이션 능력 적절한 데이터 구조 및 알고리즘을 사용한 문제 해결 기술 CC JAVA Python 또는 유사한 프로그래밍 언어로 고품질 코드 개발 경험 객체 지향 소프트웨어 설계에 대한 이해 CICD 파이프라인 유지 및 구축 경험 AWS GCP Kubernetes 를 이용한 클라우드 솔루션 구축 경험 머신러닝과 딥러닝에 대한 지식 반도체에 대한 지식,3144
(주)알세미,정규직,"['java', 'c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. :)
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다 :)", 개발팀 주니어 SW 개발자 글로벌 Toptier 반도체 기업 및 연구기관에 제공할 엔지니어링 솔루션 소프트웨어 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 온라인 인터뷰 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다.","[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 :)

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 컴퓨터 과학 또는 관련 공학 학사 또는 이와 동등한 경험 새로운 기술 습득 및 도입에 적극적인 태도 소프트웨어 개발 라이프 사이클에 대한 이해 뛰어난 구두 및 서면 커뮤니케이션 능력 적절한 데이터 구조 및 알고리즘을 사용한 문제 해결 기술 CC JAVA Python 또는 유사한 프로그래밍 언어로 고품질 코드 개발 경험 컴퓨터 과학 또는 관련 기술 분야의 석사 또는 박사 학위 객체 지향 소프트웨어 설계에 대한 이해 CICD 파이프라인 유지 및 구축 경험 AWS GCP Kubernetes 를 이용한 클라우드 솔루션 구축 경험 머신러닝과 딥러닝에 대한 지식 반도체에 대한 지식,3145
(주)알세미,정규직,"['c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. 
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다", AI 기반의 반도체 소자 Compact model과 회로 시뮬레이터를 연결하는 인터페이스 개발 Neural compact model을 보완하는 수치 해석 기법 개발 Neural compact model을 위한 Spice 시뮬레이터 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다.","[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 반도체 전자공학 또는 관련 분야 석사 이상 HSPICE SPECTRE등을 활용한 회로 설계 업무 경험 BSIM model 관련 연구 경험 스스로 문제를 찾고 같이 해결하려는 마인드 새로운 기술 습득 및 도입에 적극적인 태도 소프트웨어 개발 라이프 사이클에 대한 이해 뛰어난 구두 및 서면 커뮤니케이션 능력 뛰어난 CC 파이썬 skill 반도체 전자공학 또는 관련 기술 분야의 박사 학위 Spice simulator의 common model interface에 대한 경험 리눅스 기반 library system 개발 경험 전문가용 SW 개발 경험 머신러닝과 딥러닝에 대한 지식,3146
(주)알세미,정규직,"['c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. 
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다", AI 기반의 반도체 소자 Compact model과 회로 시뮬레이터를 연결하는 인터페이스 개발 Neural compact model을 보완하는 수치 해석 기법 개발 Neural compact model을 위한 Spice 시뮬레이터 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다.","혜택 및 복지
[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 반도체 전자공학 또는 관련 분야 학사 이상 HSPICE SPECTRE등을 활용한 회로 설계 업무 경험 새로운 기술 습득 및 도입에 적극적인 태도 뛰어난 구두 및 서면 커뮤니케이션 능력 CC 파이썬 skill 반도체 전자공학 또는 관련 기술 분야의 석사 학위 머신러닝과 딥러닝에 대한 지식 Spice simulator의 common model interface에 대한 경험 BSIM model 관련 연구 경험 리눅스 기반 library system 개발 경험 전문가용 SW 개발 경험,3147
(주)앤씨앤,정규직,"['Linux', '임베디드', '솔루션개발', 'embedded software', '어플리케이션 개발']",,Embedded Multimedia 솔루션 개발Embedded Application Framework 개발,,,"경기 성남시 분당구 판교로 323, 8층 (삼평동,투썬벤처포럼빌딩)",학력전공  학사이상이공계열경력  3년이상  20년 이하C언어 숙련자Embedded Linux 개발 경험영상 처리 개발 경험Multimedia Framework 유경험자 Gstreamer ffmpeg 등Multimedia Device 제어 유경험자 V4L2 Codec 등오픈소스 활용 유경험자Linux 숙련자Allwinner Rockchip Hisilicon SigmaStar AP 유경험자,3148
(주)앤씨앤,정규직,"['c', 'C++', '펌웨어 개발', '임베디드 리눅스', '어플리케이션 개발']",,BlackBox 단말 Application개발BlackBox 단말 GUI 개발Micom Firmware 개발,,,"경기 성남시 분당구 판교로 323, 8층 (삼평동,투썬벤처포럼빌딩)",학력  전공  학사 이상무관경력  3년이상  10년이하Embbed Linux 개발 환경에서 개발 가능자CC 언어 사용 가능자Embbed Linux 장치 개발 경험자BlackBox 개발 경험자단말 GUI 개발 경험자,3149
(주)앤씨앤,정규직,"['c', 'pm', 'C++', '소프트웨어개발', '전장설계', '선행개발', '임베디드 리눅스', '선행기술']",,선행 기술 검증 및 SW 개발 업무전장 소프트웨어 개발 PM 업무,,,"경기 성남시 분당구 판교로 323, 8층 (삼평동,투썬벤처포럼빌딩)",학력전공  학사 이상공학계열경력  경력 5년 이상전장 SW 개발 및 시스템 PM 경력자CC 사용 능통자Embedded linux 익숙한 자전장용 센서 관련 FW 개발 경험자ADAS 관련 업계 종사자 혹은 경험자신기술 Trend에 대한 기술 기획 마인드 보유외주 개발사사업자 등과의 원활한 소통 역량 보유,3150
