주요 업무,자격요건 및 우대사항
 솔루션 및 프로젝트 기획  콘셉트와 내외부의 문제 요구 사항 필요한 기능 등 정의  초기 기획을 위해 구현하고자 하는 기술을 분석하고 고도화를 위한 방안 모색  기획한 바에 대한 일정 및 로드맵 수립 및 고도화 과정 전반 관여, 해당 직무에서 2 년 이상 경험을 보유하시고 스토리보드 작성이 가능하신 분  수단을 불문하고 협업자에게 정확한 의사와 의도 전달이 가능하신 분  직군을 불문하고 누구와도 적극적이고 원활한 소통이 가능하신 분  클라우드의 A to Z를 알고 싶고 기획자로서 서비스의 A to Z를 경험하고 싶으신 분  포트폴리오 제출 필수 다양한 B2B 프로젝트 케이스를 경험해 보신 분  애자일 방법론으로 Jira 또는 협업 Tool 사용을 해 보신 분  Web 특히 Back Office 기획 경험이 있으신 분  도메인을 불문하고 기술 기반의 Web Service 정책 수립 및 프로세스를 설계해 보신 분  DevOps에 대한 관심이 있으신 분  개발 경험이 있으신 분
 디지털광고 상품DSP 등 전략 수립 및 기획 고객행동 데이터 분석 및 분석서비스 개발 자사 솔루션과 서비스의 Value를 고객에게 전파, 데이터 기반 솔루션 전략 수립 및 기획 5년 이상 경력이 있는 분 서비스 기획 또는 POPM 경력 5년 이상 혹은 이에 준하는 실력을 갖춘 분 원활한 커뮤니케이션 능력을 보유한 분 담당 업무를 명시한 포트폴리오를 제출한 분 산업공학 통계학 데이터 관련 학위 또는 이에 준하는 지식을 보유한 분 DataDriven 사고를 바탕으로 문제를 파악하고 해결하는 역량을 갖춘 분 RTB 광고 도메인AD Network에 대한 이해 또는 경험이 있는 분 마케팅 지표에 대한 이해도가 있는 분 AWS GAGTM 컨설팅 및 운영 경험이 있는 분
성장 포인트에 대해 알려드려요하나 기획자로서 거래소라는 복잡한 Application을 가장 빠르게 변하는 산업에서 대응하는 스킬을 향상시켜 추후 어떤 프로덕트를 기획하더라도 느리게 움직이는 효과를 체감할 수 있습니다둘 거래소는 글로벌 금융경제와 밀접하게 관련 있는 서비스이기 때문에 금융지식이 포괄적으로 상승합니다셋 Web3 생태계에서 기획자의 경험을 쌓을 수 있습니다 Web3가 미개척 산업인만큼 국내 Web3 기획자가 희귀하고 실력있는 Web3 기획자는 세계적으로도 희귀합니다넷 빈번하게 Web3 event를 스폰하고 있고 적극적으로 네트워킹하고 있습니다 정기적으로 열리는 KBW Upbit conference와 같은 Web3 행사 참여를 적극 권하고 있기 때문에 자신만의 네트워크 형성하기 좋은 환경입니다다섯 Web3 산업 특성상 고객파트너VC 모두 해외사입니다 자유롭게 해외사와 교류 할 수 있고 추후 해외 회사에서 일하고 싶다면 VC와 연결하여 Web3 해외사를 경험해 볼 수 있습니다 추후 두바이 진출도 염두해두고 있어 선택적으로 국내잔류 혹은 해외진출을 선택할 수 있습니다여섯 Web3는 타산업보다 빠르게 프로덕트 0to1을 만들 수 있습니다 스타트업 프로덕트의 모든 과정을 컴팩트하게 경험하면서 어느 단계에서 어떤 문제들이 생기고 어떻게 해결하고 어떻게 협업하는지 전체적으로 경험할 수 있습니다이런 일을 해요 개발 디자인 사업 마케팅 팀들을 매니징하며 크립토 거래소DEX Web3 기반 서비스를 기획운영합니다 가설검증 사이클들을 운영하며 핵심 피쳐들을 정의합니다 일단위 유저인터뷰를 통해 유저의 페르소나와 니즈를 세밀화하고 팀과 공유합니다 Web3 UIUX를 혁신할 새로운 기술을 리서치하고 적용합니다 ex Walletless DeFi LP Asset Flexibility etc DeFi의 장점을 살려 투명한 리스크관리 타 서비스들과 상호운용성을 적용하고 CeFi의 walletless 거래를 제공하는 크립토 거래소의 최종 형태인 end game 프로덕트를 만듭니다, 3년 이상의 경력자 0to1을 해보셨거나 하고자 하는 강한 의지가 있으신 분 가설검증 사이클을 린하게 돌려본 경험이 있으신 분 프로덕트 단계마다 데이터를 이해해가며 방향성을 유기적으로 제안할 수 있는 분 UX에 대해 높은 가치를 두고 있는 분 주도성 오너십을 가지고 업무를 이끌어 나가실 수 있는 분 새로운 걸 배우는데 두려움이 없고 폭발적으로 성장할 준비가 된 분 다른 팀원과 적극적으로 대화할 수 있는 의사소통 능력이 있으신 분 Web3와 DeFi의 철학에 공감하시거나 관심있으신 분 금융수학에 대한 관심이나 지식이 있는 분 주식크립토 트레이딩 경험이 있으신 분 글로벌 고객과 소통할 수 있는 분
서비스 기획모바일 서비스 인투펫 앱 서비스 기획IA 서비스 정책 수립 요구사항 정의 플로우차트 기능정의 등을 포함한 기획서 작성유저 데이터를 기반으로 인사이트를 도출하고 이를 통한 개선 방향 기획디자인개발마케팅팀과의 협업을 통해 서비스 구체화프로젝트 운영관리서비스 운영 및 고도화업데이트 스펙 및 일정관리스킬Adobe XD Figma Zeplin dooray,학력  대졸이상경력  310년IT 서비스 기획 3년 이상사용자 관점에서 문제를 발견하고 해결책을 제시할 수 있는 분타부서와 정확하고 원활한 소통이 가능한 분다양한 도메인의 서비스 구축 및 운영 경험이 있으신 분내외부 서비스의 정책 수립 및 운영개선 경험이 있는 분프로젝트 관리 경험자데이터에 기반하여 문제를 파악하고 지표를 개선한 경험이 있으신 분신규서비스 런칭 운영 경험자반려동물을 좋아하고 반려 산업에 관심이 많으신 분Adobe XDFigma  ZeplinDooray
 VitalCare 서비스 기획 웹 UIUX설계 시스템 구축에 대한 요구사항 분석 및 개선사항 도출 프로세스 및 정책 수립, 웹 서비스 기획 및 운영 5년 이상 경력 유저 스토리 기반의 요구사항을 기반으로 UIUX 디자인 경험 보유  데이터 흐름을 기반으로 흐름 제어 로직 디자인 경험 보유 개발 디자인 등 다양한 관련부서와 대면문서 커뮤니케이션 경험 보유 데이터를 통한 서비스 개선 전략 도출이 가능하신 분 고객 중심의 business 개발 서비스 기획 마인드 가지신 분 AIML 서비스 기획 경험이 있으신 분 머신러닝 서비스 개발 전체 파이프라인 데이터 구축 및 검수 모델 학습에 익숙하신 분  메디컬 도메인 기획 경험이 있으신 분
 온라인 마케팅 자동화 플랫폼 서비스 기획 및 운영 사용자의 문제를 정의하고 해결하는 서비스 전략의 설계 프로젝트의 성과 지표를 정의하고 타 포지션의 동료들과 협업해 프로젝트 운영 Customer Success 팀과의 커뮤니케이션 통해 고객의 성공을 위한 서비스 점검 및 개선, 3년 이상의 웹 서비스 기획 경험이 있는 분 IA 설계 와이어프레임 Flow Chart User Journey Map 등 전략적인 기획 역량이 있는 분 신규 프로젝트의 초기기획 및 런칭 경험이 있는 분 포트폴리오 제출 필수 B2B SaaS 기획 및 운영 경험이 있는 분 동영상 서비스를 기획한 경험이 있는 분 광고 도메인에서의 서비스 기획 및 운영 경험이 있는 분 글로벌 서비스를 기획한 경험이 있는 분 광고 산업에서 커리어를 쌓은 분
 전기차 충전 사업 사업개발Project Management 조직 리드 전국 단위 전기차 충전기 시공 프로젝트 관리 시공 공정 관리  준공 검수 사용 허가 등 충전기 설치 전 프로세스 정책 수립 및 운영 투자 주체에 따른 자산관리 및 재고관리 시공 파트너사 발굴협업  운영정책 수립, 전기 시설 관련 시공 프로젝트 관리 경험 5년 이상 보유하신 분 시공 파트너사 협업 및 관리 경험을 보유하신 분 문제해결에 흥미를 가지고 적극적으로 개선하는 성향을 보유하신 분 동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분 5인 이상 조직에서 조직인력 관리 미션 관리 구성원 피드백 등 리더 경험을 보유하신 분 새로운 시도와 실패를 두려워하지 않는 도전적인 성격을 지니신 분 전기차 충전기 등 에너지사업 시공관리 유관 경력을 보유하신 분 전기공학 등 유관 전공 학사이상 전공자 전기기사전기산업기사전기공사기사 등 전기 관련 자격을 보유하신 분 조직 신설 경험 및 주니어 육성 관련 경험을 보유하신 분 창업 혹은 스타트업 관련 커리어를 보유하신 분
 프로젝트 매니징 업무 자사 서비스웹모바일 신규 기획 및 개선 데이터 분석 경쟁사 분석 등을 통한 인사이트 발굴, 웹모바일 기획 경력 5년 이상 PM 경력 보유자 B2C 플랫폼 경험 포트폴리오 제출 필요 기여도 50 이상 석사 이상 학위를 보유하셨거나 학술 시장에 대한 이해가 높으신 분 서비스에 대한 Ownership을 보유하신 분 적극적이고 능동적인 성향을 보유하신 분 팀 협업 타 부서와 원활하고 유연한 커뮤니케이션이 가능하신 분 데이터 기반으로 문제 파악 등 지표 개선을 경험하신 분
서비스 기획자 ShipGo서비스 는 이런 일을 해요 글로벌 SCM 솔루션  Visibility 솔루션 기획 및 개발해요 수출입 물류 공급망 관리를 위한 솔루션 기획합니다 물류 빅데이터를 활용한 Business Intelligence 시각화 솔루션을 기획해요 요구사항 분석 및 우선순위 도출을 통해서 프로젝트를 관리해요 UIUX를 기획해요 서비스 VOC를 통한 개선과 고도화를 담당해요 디자인 개발 부서와의 협업을 넘어 주도적 역할 수행을 통해 자사 Product 를 고도화합니다,이런 분과 함께 하고 싶어요 웹 서비스 기획 경력 3년 이상이 필요해요 상용화 서비스 기획개선 경험이 필요해요 대용량 데이터를 통한 기획 경험이 있다면 좋아요 해외기업과 영어로 기본적인 비즈니스 커뮤니케이션이 필요해요 개발팀 현업부서와의 활발한 커뮤니케이션 역량이 있는 분이라면 좋겠어요 고객 인터뷰의견수렴를 통한 서비스 개선 노력이 가능하신 분이 필요해요 담당하는 프로젝트를 끝까지 완수하는 책임감이 강한 분이 필요해요 산업지식 현업의 업무 프로세스를 깊이 스터디 하실 준비가 되어있으신 분이라면 좋겠어요이런 경험이 있으면 더 좋아요 수출입 물류 경험화주 or 포워더이 있으신 분 IT 스타트업에서 서비스 기획 경험이 있으신 분 개발자와 협업 경험이 있으신 분
 사업팀의 리더로서 팀 내 업무 가이드 및 팀원 역량 강화 Account Manager로서 이동통신사 부가서비스 담당자대행사 포함와 협업 Product Owner로서 사업서비스 전략 수립 법제도감독기관 이슈 대응 서비스 기획 Manager와 함께 기존 서비스 2종 운영리뉴얼 포함 및 기획 서비스 운영 상 이슈 사항 대응 지원 서비스 정책 제휴사 대응 기존 서비스 2종에 대한 회원 활성화 프로모션 기획운영, 경력   7년 이상 10년 이하 기획자로서 협력사 및 내부 개발팀과 협업할 수 있는 기본적인 소양 함양 Product Owner로서 사업서비스 활성화 및 이슈 대응을 위한 적극성 통신사 플랫폼토스 카카오페이 포털 서비스에 관심과 높은 이해 수준 적극적인 자세로 업무를 대하고 빠르게 습득하여 내재화 역량 보유 필요4 모집인원  경력 1명5 우대사항 월정액 구독형 서비스 기획운영 경험을 보유 Mweb  App 서비스 기획 및 운영 경험을 보유 이동통신사 본인확인 대행사 근무 혹은 제휴 업무 경력을 보유 제안서 기획안 등 문서작성 역량을 보유MS Power Point Excel word 채널 마케팅 업무 수행이 가능GDN 3rd Party partner 발굴 등6 이력서 내용 중 주목하는 부분을 말씀드릴게요 신규 서비스를 기획하여 런칭 운영을 전반적으로 수행해 보셨는지 여부
