회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
몬드리안에이아이(주),정규직,"['마케팅', '영업', 'AI', '세일즈마케팅', '기술영업', '세일즈', '솔루션영업', '아웃바운드', '인바운드']","Mondrian AI와 함께할 IT 기술영업 및 사업개발 담당자를 모십니다!

몬드리안에이아이(Mondrian AI)는 ‘Beyond Digital Transformation,We Accelate Al Transformation’ 이라는 비전을 가진 기술 스타트업입니다!  우리가 가진 전문성과 효율적인 프로세스를 통해 복잡한 데이터 속에서 핵심 의미를 발견하고, 다양한 산업분야에서의 혁신과 변화를 이끌어내기 위한 목표를 향해 나아가고 있습니다. 

산업환경은 데이터를 통해 가치를 발견하고 새로운  비즈니스 창출을 위해 인공지능으로의 전환을 앞두고 있습니다. 이 과정에서 몬드리안에이아이에서 자체 개발한 인공지능 플랫폼 ‘예니퍼(Yennefer)’는 기업 또는 조직에서 데이터 중심의 AI를 도입하고자 할 때 가장 핵심적인 기반 인프라와 도구 및 서비스를 통합적으로 제공하여 인공지능으로의 전환을 위한 든든한 파트너가 되어드리고 있습니다.


1. 연구자와 개발자 중심의 문화 
프로젝트 성공은 효율적 프로세스와 사람들 간의 자유로운 소통에 있습니다. KAIST출신의  연구자와 개발자들로 구성된 초기 창업팀은 설립 이후로 자유로운 환경 속에서 개인과 개인 간의 상호작용을 효율적이고 효과적으로 하기 위해 노력하였고 최신의 기술 변화에 함께 빠르게 대응해 오고 있습니다. 

2. 효과적인 업무 프로세스와 협업 환경 
팀원간 올바른 협업을 위한 애자일 기반의 Collaboration 프로세스를 갖추고 있습니다. 또한, Jira를 통해 업무를 관리 및 추적하며, Bitbucket를 통한 코드 관리와 Code Review 를 통한 품질관리를 진행합니다. 
전사적으로는 Google Drive를 통해 프로젝트 문서를 작성하며, Google Meet을 통해 재택근무 / 원격 회의를 진행하고, 슬랙을 통한 업무 협의와 팀 단위의 주기적인 산책과 대화를 통해 서로를 알아가고 팀워크를 키워갑니다. 

3. 자기 조직화 (self-organizing, self-motivated team player)
혁신적인 제품은 뛰어난 개인에게서 나오는 것이 아니라 각각의 팀원이 자율성을 지닌 채 각자 비즈니스 환경 변화에 대처하는 방법을 탐색하고 상호 협력할 때 나옵니다. 팀장  중심의 일방향 커뮤니케이션 보다 팀원들이 다각도로 소통하며 제품을 개발합니다. 우리는 서로의 업무를 보완하고 함께 고민하며 팀 단위로 업무를 수행합니다.

4. 함께 성장하는 조직 
우리는 개인의 성장이 조직의 성장이라고 믿습니다. 다양한 스터디와 교육기회, 신기술에 대한 실험과 자유로운 토론을 진행합니다. 


몬드리안에이아이(Mondrian AI)와 함께 성장하실 분들을 기다립니다!
", 인공지능 플랫폼  AI솔루션 고객리드 확보 및 관리 신규사업 개발 시장 트렌드 분석,"[채용 진행 절차]
1. 서류 전형
*자사 양식을 통해 지원
hwp: https://bit.ly/3YQ51Nd
docx: https://bit.ly/3LpFSpA
  서류 전형의 경우, 합격자에 한하여 연락 드리고 있습니다.
2. 인터뷰 (1차/2차) 
  인터뷰는 1차 비대면 인터뷰 및 2차 대면 인터뷰로 진행합니다.
  인터뷰에서는 직무역량 및 인성, 기업문화에 맞는 인재인지를 확인하며, 
  지원자분께서 회사에 대해 궁금한 사항에 대한 질문을 받습니다. 
3. 레퍼런스 체크 및 처우 협의
4. 입사확정 및 오퍼레터 발송","■ 몰입을 위한 최고의 근무 환경

 유연근무제 운영(매일 자유로운 8-10시 출근)
 주 4일 출근(매주 수요일 재택근무)
 최신 업무장비 및 다양한 업무 툴 지원(맥북 프로 & 그램, 모니터 등)
 평가에 따른 성과급 및 스톡옵션 지급
 직무 발명 보상
 인재추천 보상
 야간 교통비 지원
 외근 및 출장 시 경비 및 출장비 지원


■ 끊임없는 성장을 위한 지원

외부 세미나, 교육, 컨퍼런스 등의 비용 지원
도서 구입, 학습 등 성장에 필요한 자기계발비 지원
내부 세미나 및 스터디 활동 지원
데일리 스크럼, 리뷰 문화
위클리 쉐어링, 위클리 세미나, 라이트닝 토크
팀, 부서 별 회식비 지원


■ 도약과 재충전을 위한 지원

 자유로운 연차 사용
 장기근속자 워케이션 및 지원금 제공
 포상 휴가
 인턴 월세 지원
 로케이션 비용 지원
 경조휴가 및 경조비 지원
 명절 선물
 퇴직연금제도


■ 건강과 행복을 위한 지원

 든든한 점심, 저녁식사 제공
 맛있는 간식과 음료, 에스프레소머신 커피 무제한 제공
 건강증진 활동비 지원
 사내 동호회 활동비 지원
 건강검진 반차 제공
 매월 축하파티 진행


■ 병역지정업체(전문연구,산업기능요원, 보충역, 편입가능)
■ 중소기업 소득세 감면



Mondrian AI에서는 임직원분들을 위해 더 좋은 방향을 고민하고, 실천해 나가고 있습니다!","인천 연수구 송도문화로 119, B1층 B1020호, B1033-1호", 고객사와의 관계 구축 및 유지 능력 커뮤니케이션과 협상 능력 SW AI 빅데이터 클라우드 등 최신 기술에 대한 이해도 우수한 문서 작성 역량 제안서 발표자료 보고서 등 고객지향적인 마인드와 긍정적이고 유연한 태도 소프트웨어 개발 및 정보통신 관련 학과 전공 기술지원 컨설팅 영업 등 관련 업무 경력이 있는 분 IT분야 기술영업 경험이 있는 분 B2B B2G 사업개발영업마케팅 경험이 있는 분,1248
오비오(주),정규직,"['해외영업', '영업', '영어', '영업관리', 'pm', '전략']","오비오는 지난 20여년간 냉온수기, 정수기 분야에서 고객의 성공을 위해 끊임없이 노력하여 2017년 2,000만불 수출탑을 수상하고 전 세계 50개국 100여개 고객사를 유치하는 등 시장을 선도하는 글로벌 제조사로 자리매김 해 왔습니다.
저희 임직원 모두는 고객님이 보내주신 믿음과 신뢰가 지금의 오비오를 있게 한 원동력이라는 사실을 잊지 않고, 고객 만족을 넘어 고객 감동을 실현하기 위해 최선을 다하고 있습니다.

고객 여러분의 성공은 이제부터입니다.

정수기, 냉온수기 시장은 국가별, 지역별, 시장별로 매우 다르고 다양한 경우의 수 만큼이나 많은 소비자들의 니즈와 고객의 애로점이 존재함을 알고 있습니다. 하지만 저희 오비오는 고객의 어떠한 요청에도 대응할 수 있는 기술력과 제품력을 가지고 있습니다. 특히 최근 2019년, 대규모 제조라인 증설 및 R&D역량 강화를 통해 세계 일류 상품에 도전할 핵심 역량을 확보했습니다.

저희 임직원 모두는 지금까지 그래왔듯이, 연구와 제품 혁신에 매진하여 고객의 니즈를 만족하는 제품을 공급함으로써 고객의 성공과 함께 하는
최고의 파트너가 되겠습니다.

고객 여러분의 성공과 행복을 진심으로 기원합니다.

감사합니다.",신규거래선 개척기존거래선 관리 및 전략 수립제품 개발 PJT PM해외 바이어 개발 및 관리해외 영업관련 전략 및 사업계획 수립전시회 참가 기획준비진행 및 참가선적 업무 및 무역 서류 업무해외 빅마켓 거래경험    아마존 알리바바 등    오프라인 백화점  양판  시판,,"• 건강검진, 각종 경조사 지원
• 생일선물
• 휴게실, 유니폼지급, 사무용품지급
• 연차, 반차, 여름휴가, 근로자의 날 휴무
• 퇴직연금
• 교육비 지원
• 중/석식 제공
• 회식강요 안함, 자유로운 연차사용, 자유복장
• 통근버스 운영",경기도 화성시 마도면 청원산단2길 76,학력  대졸경상계열경영경제이공계열기계전자통신경력  510년영어가능자ERP영림원 사용가능자동종업계 경력자 우대제2외국어 스페인어 무역관련 자격증,5252
(주)샌즈랩,정규직,"['해외업무', '라이센스', '기술 지원', 'OEM', '영업기획 제안 계약지원 견적작성 해외영업']","2023년 하반기 ㈜샌즈랩 채용 계획
---

사이버 위협 인텔리전스(CTI, Cyber Threat Intelligence) 전문기업으로서 다양한 채널로부터 수집한 악성코드 등의 사이버 위협 정보를 인공지능, 빅데이터를 활용한 자체 분석 기술을 활용하여 자동 분석하고 이를 기반으로 생성된 사이버 보안 위협 대응, 예측을 수행할 수 있는 인텔리전스를 고객에게 제공하는 사업을 영위하고 있습니다.
안", 당사 해외 사업 관련 전담 업무 해외 파트너사들 정보 교류 해외 기술 교류 채널 업체들과 지속적인 업무 미팅 및 협약 진행 OEM 라이센스 등 해외 계약 업무 진행 기술 지원 요청 및 사이버 보안 관련 업무 진행 해외 컨퍼런스 참여 국외용 컨텐츠 브로셔 등 제작 및 검수,"1.서류 전형 
2.1차 면접( 인성/직무면접)
3. 최종 합격
","* 자율출퇴근제도 (08:00~10:00)
* 단체상해보험 가입
* 복지비 지급 (상/하반기 2회)
* 인센티브
* 휴가비 지원
* 인센티브 지급 
* 명절선물 지급 
* 야간 식대/교통비 지원
* 건강 검진 지원
* 자율복장","서울 강남구 선릉로 577, 4층", 국내외 4년제 대학 관련학과 전공자 보안 시장 및 트렌드를 파악하고 있고 당사가 가지고 있는 다양한 서비스와 제품을 영문으로 고객에게 제안 할 수 있는 역량 보유 해외 담당자와 영어로 의사 소통 메일 전화 등 원활하게 업무 수행 가능자 의사소통이 원활하고 타부서와 협업을 바탕으로 커뮤니케이션 역량 보유 관련 경력 8년 이상 미국 유럽 등 해외 출장 가능자 영어로 자유로운 소통 가능자 IT 기반 지식이 있어 관련 전문 용어 등의 이해가 있는자,5253
(주)디어유,정규직,"['해외영업', '영업기획', '영업', '영업관리', '일본어']","(주)디어유는 코스닥상장사로서 (주)SM엔터테인먼트의 IT계열사 입니다. 팬과 아티스와의 소통 할 수 있는 커뮤니케이션 & 커뮤니티 서비스를 런칭하여 사업을 운영, 확장 중에 있습니다. 주요 사업은 커뮤니케이션 플랫폼 기반 APP ""버블""이 있습니다.  엔터테인먼트의 팬덤을 바탕으로 보다 다양한 국가에서 서비스를 확장. 제공하고 있습니다. 2022 브랜드 고객충성도 대상 팬덤플랫폼 부문 1위를 수상하였습니다. 2022 수출의 탑 천만불탑을 달성하였습니다.",일본 JV 및 일본 아티스트 버블 런칭 프로젝트 관리 및 이슈 대응IT 프로젝트 관리 경험 필수주요 임원 대상 보고 자료 작성 및 시장 트렌드 경쟁사 조사 일본 연예기획사 소속 아티스트 배우 성우 스포츠 선수 유튜버 인플루언서 중 Bubble 서비스에 적합한 스타 선정 및 관련 영업일본어 회사bubble 등 소개 자료 계약서 등 각종 문서 작성 및 업데이트,서류전형 > 면접전형 > 최종합격,"• 출퇴근: 자율(시차)출퇴근제
• 교육: 신입사원 교육(OJT) / 리더쉽,직무교육/ 사내 외국어 강좌운영
• 지원금/보험: 단체상해보험 / 건강검진지원/ 독감예방접종 지원
• 조직문화: 수평적 조직문화 / 자율복장/ 님,닉네임 문화
• 근무환경 : 사원증지급 / 카페테리아운영/ 스낵바 운영, 웰컴KIT지급
• 급여제도 : 4대보험/연차수당/퇴직연금/ 회식비, 중식비 지원, 임직원 우수인재 추천보상제도 운영/ 통신비 지원
• 선물: 명절선물/귀향비 지급
• 리프레쉬: 연차,반차/ 경조휴가 / 장기근속 포상
• 기타: 계열사 할인","서울 강남구 삼성로 633, 4층",한국어 및 일본어 커뮤니케이션 능통한 자모바일 앱 관련 IT 프로젝트 관리 경험자일본 회사일본인 대상 영업 및 일본 IP연예계 관련 경력자자료계약서 작성 보고 발표 및 분석 능력 우수한 자한국어 및 일본어일본 일본 회사 및 일본인에 대한 이해도가 높은 자일본 현지 생활 경험자IT엔터 분야에 대한 지식이 풍부한 자영어 회화 및 영문 문서 작성이 가능한 자일본 등 해외 출장이 가능한 자,5254
(주)더밤부,정규직,"['해외영업', '마케팅', '영업', '영업관리']","(주)더밤부 해외영업 담당자 채
더밤부에서 역량있는 인재를 기다립니다.",해외 시장 분석 및 진출 전략 수립신규 바이어 발굴 및 관리해외 영업 및 해외 입점몰 관리해외지원사업 운영무역 업무 전반,서류전형 > 1차면접(실무자) > 2차면접(임원) > 최종합격,"- 지원금/보험 : 건강검진, 출산장려금 지급
- 선물 : 명절선물/귀향비, 생일선물
- 출퇴근 : 주차장제공
- 리프레시 : 연차, 반차, 근로자의 날 휴무, 휴가비지원
- 급여제도 : 퇴직연금, 성과급, 시간외수당, 4대 보험
- 교육/생활 : 워크샵, 신입사원교육(OJT), 점심식사 제공, 음료제공(차, 커피)
- 근무 환경 : 전용사옥, 물류동/기업부설연구소 보유, 자회사 제품할인, 사무용품 지급
- 조직문화 : 회식강요 안함, 야근강요 안함, 자유복장
- 청년내일배움채움공제 가입가능",대전 중구 성산로14번길 36,유관경력 5년 이상자비즈니스 어학 능통자영어해외 출장 결격사유 없는 자출산유아동 카테고리 경험자해외지원사업 운영 경험자해외 온라인 채널 운영 경험자해외상표 및 저작권 유경험자원환한 커뮤니케이션 가능자제2외국어 능통자,5255
(주)티피씨인터넷,정규직,"['해외영업', '영업', '제휴', '사업개발', '아웃바운드']","[압도적인 국내 1위 크리에이터 비즈니스 플랫폼'Likey'를 만들고 있습니다.]
런칭 후 112만명 글로벌 회원, 후원금액 120억원을 돌파한 압도적인 국내 1위 크리에이터 비즈니스 플랫폼을 운영중입니다. 서비스 출시 이후 단기간 안에 만들어낸 성과와 앞으로의 글로벌 성장 가능성을 인정받아 누적 36억원의 투자를 유치하였습니다.

[크리에이터의 수익화, 팬덤 관리, 브랜딩을 모두 책임지는 All-in-one 비즈니스 플랫폼입니다.]
크리에이터는 자신의 성향에 맞는 방식으로 팬들과 소통하고 안정적인 수익을 올릴 수 있습니다. 불안정한 광고/도네이션 수익에 더 이상 의존하지 않고, 팬들과의 가까운 소통 활동으로 팬덤을 강화해나갑니다. SNS에서 보여주지 않았던 일상을 멤버십을 구독한 팬들에게 공개하고 1:1 채팅, 영상 팬미팅을 통해 팬들과 더욱 친밀한 관계를 만들어갑니다. 자신의 IP를 활용한 굿즈와 디지털 콘텐츠를 스토어를 통해 국내/해외 팬에게 편리하게 판매할 수 있습니다. 

[업계 최고수준의 동료들과 함께 일에 몰입하는 즐거움을 느낄 수 있습니다.]
공동 창업자들은 MAU 2억명 이상 글로벌 유저를 모은 서비스를 만들고 키워낸 경험을 가지고 있습니다. 개발팀은 KAIST를 졸업하고 카카오, LG전자, 티몬, 봉봉 등에서 경험을 쌓은 시니어 개발자들을 중심으로 키워나가고 있습니다. 우리는 구성원 각자의 결정과 의견을 믿고 존중하며 높은 자율성을 갖고 일합니다. 이를 위해서 서로에게 강한 책임감을 요구합니다. 누군가의 지시를 받아 실행하지 않고, 스스로 의견을 내고 결정한 일이어야 몰입할 수 있다고 믿습니다. 회사와 프로덕트의 성장을 위한 것은 모든 분야에 대하여 누구나, 언제나 제안할 수 있습니다", 국내 크리에이터 계약 및 활동 관련 피드백 관리 국내 크리에이터 에이전시 또는 협업 작가 활동 관련 문의 응대 라이키 플랫폼을 다양한 분야의 크리에이터에이전시에게 소개하고 제안하는 아웃바운드 영업     신규 크리에이터에이전시 개척 및 기타 영업 활동 업무     라이키 핏에 맞는 크리에이터에이전시 카테고리 발굴     자사 플랫폼 서비스 소개 및 협업 제안을 위한 콜드 콜메일DM 발송주니어로서 현재 업무진을 서포트하며 같이 성장할 분을 찾고 있습니다,,"• 직원들의 식사를 책임지는 일 2만원의 예산 지원
• 원하는대로 요청하는 간식과 커피 원두
• 무제한 자율 휴가 제도(리더 승인 및 구성원과 사전 공유)
• 3년근속마다 주어지는 리프레시 휴가 2주 + 휴가비 200만원
• 전직원 최고급 장비(Mac, PC, 전동 스탠딩데스크 등) 지원
• 컨퍼런스 참가비, 도서 구입 등 개인 성장 적극 지원
• 직원들의 건강이 우선! 종합건강검진(약 100만원 상당)
• 명절 선물 및 경조사 지원금 지급","서울 강남구 선릉로93길 50, 11층", 구두 및 서면 커뮤니케이션 스킬로 다양한 크리에이터에이전시를 상대할 수 있는 분 내외부 인원과 적극적으로 커뮤니케이션 할 수 있는 분 능동적으로 목표를 설정하고 주도적으로 업무 진행하시는 분 빠르게 변화하고 성장하는 스타트업 환경에 두려움 없이 적응 가능한 분 자기 주도적으로 목표를 설정하며 항상 배우려고 노력하는 분 트렌드 서치에 관심이 많고 새로운 업무에 대한 빠른 습득력을 갖추신 분 크리에이터 비즈니스 시장의 흐름 전반에 대한 이해도가 높으신 분 크리에이터 에이전시 또는 스타트업에서의 근무 경험이 있으신 분 대인 관계가 좋으며 자사 서비스를 자신 있게 소개할 수 있는 분 스타트업의 특성을 이해하고 적극적이고 긍정적인 마인드셋을 갖추신 분,5256
(주)티피씨인터넷,정규직,"['해외영업', '영업', '제휴', '사업개발', '아웃바운드']","[압도적인 국내 1위 크리에이터 비즈니스 플랫폼'Likey'를 만들고 있습니다.]
런칭 후 112만명 글로벌 회원, 후원금액 120억원을 돌파한 압도적인 국내 1위 크리에이터 비즈니스 플랫폼을 운영중입니다. 서비스 출시 이후 단기간 안에 만들어낸 성과와 앞으로의 글로벌 성장 가능성을 인정받아 누적 36억원의 투자를 유치하였습니다.

[크리에이터의 수익화, 팬덤 관리, 브랜딩을 모두 책임지는 All-in-one 비즈니스 플랫폼입니다.]
크리에이터는 자신의 성향에 맞는 방식으로 팬들과 소통하고 안정적인 수익을 올릴 수 있습니다. 불안정한 광고/도네이션 수익에 더 이상 의존하지 않고, 팬들과의 가까운 소통 활동으로 팬덤을 강화해나갑니다. SNS에서 보여주지 않았던 일상을 멤버십을 구독한 팬들에게 공개하고 1:1 채팅, 영상 팬미팅을 통해 팬들과 더욱 친밀한 관계를 만들어갑니다. 자신의 IP를 활용한 굿즈와 디지털 콘텐츠를 스토어를 통해 국내/해외 팬에게 편리하게 판매할 수 있습니다. 

[업계 최고수준의 동료들과 함께 일에 몰입하는 즐거움을 느낄 수 있습니다.]
공동 창업자들은 MAU 2억명 이상 글로벌 유저를 모은 서비스를 만들고 키워낸 경험을 가지고 있습니다. 개발팀은 KAIST를 졸업하고 카카오, LG전자, 티몬, 봉봉 등에서 경험을 쌓은 시니어 개발자들을 중심으로 키워나가고 있습니다. 우리는 구성원 각자의 결정과 의견을 믿고 존중하며 높은 자율성을 갖고 일합니다. 이를 위해서 서로에게 강한 책임감을 요구합니다. 누군가의 지시를 받아 실행하지 않고, 스스로 의견을 내고 결정한 일이어야 몰입할 수 있다고 믿습니다. 회사와 프로덕트의 성장을 위한 것은 모든 분야에 대하여 누구나, 언제나 제안할 수 있습니다", 라이키 플랫폼을 다양한 분야의 해외 크리에이터에이전시에게 소개하고 제안하는 아웃바운드 영업     신규 크리에이터에이전시 개척 및 기타 영업 활동 업무     라이키 핏에 맞는 크리에이터에이전시 카테고리 발굴     자사 플랫폼 서비스 소개 및 협업 제안을 위한 콜드 콜메일DM 발송 관련 산업별 니즈 파악 접근 전략 및 구체적인 영업제휴 계획 수립 주요 의사결정권자 및 역할 파악 등 원활한 해외 크리에이터에이전시 서비스 제공 방안 검토 및 파트너십 관련 매출 확대 전략 수립 기존 해외 크리에이터에이전시의 서비스 문의를 응대하고 관리하는 인바운드 영업 신규 기존 해외 크리에이터에이전시 관리 및 커뮤니케이션,,"• 직원들의 식사를 책임지는 일 2만원의 예산 지원
• 원하는대로 요청하는 간식과 커피 원두
• 무제한 자율 휴가 제도(리더 승인 및 구성원과 사전 공유)
• 3년근속마다 주어지는 리프레시 휴가 2주 + 휴가비 200만원
• 전직원 최고급 장비(Mac, PC, 전동 스탠딩데스크 등) 지원
• 컨퍼런스 참가비, 도서 구입 등 개인 성장 적극 지원
• 직원들의 건강이 우선! 종합건강검진(약 100만원 상당)
• 명절 선물 및 경조사 지원금 지급","서울 강남구 선릉로93길 50, 11층", 해당 국가의 언어가 능통하신 분일어 또는 스페인어 한국어가 유창하신 분 다양한 사람들을 두려움이 없이 커뮤니케이션하는 것을 즐기시는 분 책임감을 가지고 주도적으로 일하시는 분 평소 인플루언서 경험이 있거나 관심이 많으신 분  현지어 1개영어 가능하신 분  현지 크리에이터 콘텐츠에 트렌드를 잘 캐치하시는 분  아이돌 BJ 코스프레 등 관심이 많으신 분  영업CS 업무 경험이 있으신 분,5257
(주)단군소프트,정규직,"['해외영업', '마케팅', '영업기획', '영업', '태국어']","2002년, 단군소프트는 기존에 없던 새로운 클라우드 시장을 토대로 출범했습니다.
Microsoft Gold Partner, Adobe Platinum Partner, Autodesk Gold Partner로서 국내 기업 고객에게 여러 분야의 경쟁력 있는 소프트웨어 서비스를 제공하고 있습니다. 국내 뿐만 아닌 Global IT 솔루션 기업과 긴밀한 제휴 관계를 통해 JetBrains, GitHub, Zeplin, Acronis 등 APAC 총판 비즈니스로 지속적인 성장을 하고 있습니다.
현재는 변화하는 IT 환경에 따라 DevOps, 디자인시스템, 제조설계디자인, 클라우드, 데이터보안 등
미래를 향한 비전과 철학이 뚜렷한 글로벌 리더로 성장 중입니다.

당사가 추구하는 글로벌 미래를 함께할 자신감과 도전의식을 가진 분의 지원을 적극 환영합니다.", 해외태국 소프트웨어 전략 마케팅 및 영업지원 업무 해외 소프트웨어 파트너십 관리 업무 해외 소프트웨어 주문  라이선스 발급 업무 유통  직판 영업 지원 업무 기타,,"• 4대 보험
• 년 1회 건강검진
• 연차, 경조 휴가제
• 인센티브제
• 퇴직금, 각종 경조듬, 체력단련비 지원
• 장기근속자 포상
• 우수사원 표창, 포상
• 기념선물 지급
• 교육비, 자기계발비, 도서구입비 지원

","서울 강남구 언주로 620, 7층", 학력  대졸 국적  태국 현지인 나이  무관 성별  무관 Microsoft Office 활용 능숙자 한국어 능숙자회화 및 작문 포함 TOPIK 5급 이상 외국어영어 능숙자 컴퓨터공학 경영학 능숙자 기본적인 소프트웨어 관련 지식 보유자,5258
(주)단군소프트,정규직,"['해외영업', '마케팅', '영업기획', '영업', '인도네시아']","2002년, 단군소프트는 기존에 없던 새로운 클라우드 시장을 토대로 출범했습니다.
Microsoft Gold Partner, Adobe Platinum Partner, Autodesk Gold Partner로서 국내 기업 고객에게 여러 분야의 경쟁력 있는 소프트웨어 서비스를 제공하고 있습니다. 국내 뿐만 아닌 Global IT 솔루션 기업과 긴밀한 제휴 관계를 통해 JetBrains, GitHub, Zeplin, Acronis 등 APAC 총판 비즈니스로 지속적인 성장을 하고 있습니다.
현재는 변화하는 IT 환경에 따라 DevOps, 디자인시스템, 제조설계디자인, 클라우드, 데이터보안 등
미래를 향한 비전과 철학이 뚜렷한 글로벌 리더로 성장 중입니다.

당사가 추구하는 글로벌 미래를 함께할 자신감과 도전의식을 가진 분의 지원을 적극 환영합니다.", 해외인도네시아 소프트웨어 전략 마케팅 및 영업지원 직무 해외 소프트웨어 파트너십 관리 업무 해외 소프트웨어 주문  라이선스 발급 업무 유통  직판 영업 지원 업무 기타,,"• 4대 보험
• 년 1회 건강검진
• 연차, 경조 휴가제
• 인센티브제
• 퇴직금, 각종 경조듬, 체력단련비 지원
• 장기근속자 포상
• 우수사원 표창, 포상
• 기념선물 지급
• 교육비, 자기계발비, 도서구입비 지원

","서울 강남구 언주로 620, 7층", 학력  대졸 국적  인도네시아 현지인 나이  무관 성별  무관 Microsoft Office 활용 능숙자 한국어 능숙자회화 및 작문 포함 TOPIK 5급 이상 외국어영어 능숙자 컴퓨터공학 경영학 전공자 기본적인 소프트웨어 관련 지식 보유자,5259
(주)단군소프트,정규직,"['해외영업', '마케팅', '영업기획', '영업', '일본어']","2002년, 단군소프트는 기존에 없던 새로운 클라우드 시장을 토대로 출범했습니다.
Microsoft Gold Partner, Adobe Platinum Partner, Autodesk Gold Partner로서 국내 기업 고객에게 여러 분야의 경쟁력 있는 소프트웨어 서비스를 제공하고 있습니다. 국내 뿐만 아닌 Global IT 솔루션 기업과 긴밀한 제휴 관계를 통해 JetBrains, GitHub, Zeplin, Acronis 등 APAC 총판 비즈니스로 지속적인 성장을 하고 있습니다.
현재는 변화하는 IT 환경에 따라 DevOps, 디자인시스템, 제조설계디자인, 클라우드, 데이터보안 등
미래를 향한 비전과 철학이 뚜렷한 글로벌 리더로 성장 중입니다.

당사가 추구하는 글로벌 미래를 함께할 자신감과 도전의식을 가진 분의 지원을 적극 환영합니다.", 해외일본 소프트웨어 전략 마케팅 및 영업지원 직무 해외 소프트웨어 파트너십 관리 업무 해외 소프트웨어 주문  라이선스 발급 업무 유통  직판 영업 지원 업무 기타,,"• 4대 보험
• 년 1회 건강검진
• 연차, 경조 휴가제
• 인센티브제
• 퇴직금, 각종 경조듬, 체력단련비 지원
• 장기근속자 포상
• 우수사원 표창, 포상
• 기념선물 지급
• 교육비, 자기계발비, 도서구입비 지원

","서울 강남구 언주로 620, 7층", 학력  대졸 국적  일본 나이  무관 성별  무관 Microsoft Office 활용 능숙자 한국어 능숙자회화 및 작문 포함 TOPIK 5급 이상 외국어영어 능숙자 컴퓨터공학 경영학 전공자 기본적인 소프트웨어 관련 지식 보유자,5260
